Frame,Onset time,Narrative details (external events),Narrative details (internal state),Characters on screen,Music presence,Speech,Character speaking,Indoor/outdoor,Setting,Scene name
0,0.0,"A black screen fades into a woman opening an office filing cabinet. In the background, a man stands behind a glass door. There is a clock on the wall.",,,no,,,indoor,Jail waiting room,County Jail Exposition
100,4.0,"The woman pulls a folder out of the file cabinet. The man in the holding cell stares. Paper Boy recounts his ride in the police car to Earn, complaining that the cop kept talking to him.","Alfred Paper Boy and Earn is not concerned about being arrested, and is calm",,no,"Man, he gon keep talking to me the whole ride too, man. He was like, he was like, 'So, uh, how you doing back there?'",Alfred Paper Boy,indoor,Jail waiting room,County Jail Exposition
229,9.16,"The woman steps aside to reveal Alfred Paper Boy and Earn sitting in chairs against the wall with the clock. Alfred Paper Boy recounts his conversation with the cop to Earn, and Earn laughs.",Alfred Paper Boy and Earn are relaxed and not concerned with being arrested.,"Alfred Paper Boy, Earn",no,"I was like, 'well, I'm going to jail, nigga, not great, right?'",Alfred Paper Boy,indoor,Jail waiting room,County Jail Exposition
298,11.92,Alfred Paper Boy imitates the cop scolding him and telling him to own his actions. Earn laughs.,"Alfred Paper Boy and Earn appear to still be high, and are relaxed","Alfred Paper Boy, Earn",no,"'Well you know you need to, need to own up to what you did.'",Alfred Paper Boy,indoor,Jail waiting room,County Jail Exposition
367,14.68,"Alfred Paper Boy sits in his chair and shrugs in disbelief at the cop telling him to own up to what he did. He says there was no victim and he didn't ""do"" anything.",Alfred Paper Boy and Earn are calm an unconcerned because nobody was killed and there is no evidence of a crime.,"Alfred Paper Boy, Earn",no,"Like what did I do, man? There's no victim, nigga, get the fuck out my face",Alfred Paper Boy,indoor,Jail waiting room,County Jail Exposition
475,19.0,Earn looks at Alfred Paper Boy and tells him that the police offer tried to get him to snitch on Alfred Paper Boy. The man in the holding cell moves and looks around anxiously.,Earn disapproves of the cop's sneaky approach,"Alfred Paper Boy, Earn",no,The cop tried to get me to snitch on you.,Earn,indoor,Jail waiting room,County Jail Exposition
525,21.0,Alfred Paper Boy looks at Earn and ask about the cop.  The prisoner in the holding cell moves and looks around anxiously.,Alfred Paper Boy is mildly surprised.,"Alfred Paper Boy, Earn",no,Word?,Alfred Paper Boy,indoor,Jail waiting room,County Jail Exposition
550,22.0,Earn repeats the cop's words while trying to get him to turn in Alfred Paper Boy,"Earn mocks the police officer, disgusted with his efforts.","Earn, Alfred Paper Boy",no,"Yeah, he was like, 'we both know whose fault this is. What was he thinking?'",Earn,indoor,Jail waiting room,County Jail Exposition
662,26.48,Earn and Alfred Paper Boy laugh at their stories of their arrest.,Earn and Alfred Paper Boy are surprisingly lighthearted.,"Earn, Alfred Paper Boy",no,"It was like, a total trap.",Earn,indoor,Jail waiting room,County Jail Exposition
750,30.0,Alfred Paper Boy rubs his face and expresses his dislike of the police's methods. The two are still sitting in chairs in the waiting room.,Alfred Paper Boy feels this is an example of how police treat potential criminals who are black.,"Alfred Paper Boy, Earn",no,"Man, you see? You see how the do?",Alfred Paper Boy,indoor,Jail waiting room,County Jail Exposition
800,32.0,Earn looks sideways at Alfred Paper Boy,Earn agrees,"Earn, Alfred Paper Boy",no,,,indoor,Jail waiting room,County Jail Exposition
833,33.32,Two police officers and three men in orange jumpsuits walk past. Earn tells Alfred Paper Boy that he has never been arrested before.,Earn's tone suddenly turns more serious.,"Earn, Alfred Paper Boy, prisoners",no,"I've never been arrested before, man.",Earn,indoor,Jail waiting room,County Jail Exposition
963,38.52,Alfred Paper Boy looks at Earn and sarcastically scoffs. The man in the holding cell shakes his head.,Alfred Paper Boy does not believe Earn has never been arrested.,"Alfred Paper Boy, Earn",no,Yeah.,Earn,indoor,Jail waiting room,County Jail Exposition
1039,41.56,"Earn looks sideways at Alfred Paper Boy, then rubs his eye. Alfred Paper Boy regrets not ditching their marijuana before the cops came","Earn is frustrated Alfred Paper Boy does not believe him, but says nothing.",Earn,no,Should've ditched that weed though.,Alfred Paper Boy,indoor,Jail waiting room,County Jail Exposition
1144,45.76,Earn says facetiously that there was a lot going on at the time and he forgot.,,"Earn, Alfred Paper Boy",no,Yeah there was a lot going on so I kind of forgot to do that.,Earn,indoor,Jail waiting room,County Jail Exposition
1235,49.4,"Earn laments the small amount of marijuana he had on him. He asks Alfred Paper Boy how bad it is, since he has been arrested for possession before.",,Earn,no,"It was just, like, half a blunt, like... you've been arrested for weed, it's not that bad, right?",Earn,indoor,Jail waiting room,County Jail Exposition
