SO,0.9,1.4
THE,1.4,1.8
EPISODE,1.8,2.2
STARTED,2.2,2.8
WITH,2.8,3.4
ALFRED,3.4,9.0
MAKE,9.0,9.7
A,9.7,9.9
PAPER,9.9,10.4
BOY,10.4,10.5
AND,10.5,11.5
ARGUABLY,11.5,14.3
THE,14.3,14.5
PROTAGONIST,14.5,15.2
MAIN,15.2,15.5
CHARACTER,15.5,15.9
OF,15.9,18.9
A,18.9,18.9
CAR,18.9,19.2
TO,19.2,19.6
TALK,19.6,19.8
TO,19.8,20.3
ANOTHER,20.3,21.5
GUY,21.5,21.8
HIS,21.8,24.6
GIRLFRIEND,24.6,26.8
WHATEVER,26.8,27.7
OTHER,27.7,31.3
GUY,31.3,31.5
HAD,31.5,32.0
BROKEN,32.0,32.3
THE,32.3,32.6
OFF,32.6,36.1
OF,36.1,36.2
A,36.2,37.2
FRIEND'S,37.2,37.7
CAR,37.7,38.3
AND,38.3,38.7
SO,38.7,38.9
I,38.9,38.9
FORGOT,38.9,39.2
MAD,39.2,40.1
GOT,40.5,41.1
OUT,41.1,41.1
OF,41.1,41.2
THE,41.2,41.3
CAR,41.3,41.4
AND,41.4,43.3
HAD,43.3,44.2
A,44.2,44.4
GUN,44.4,45.0
AND,45.0,45.9
THREATENED,45.9,46.5
TO,46.5,46.6
SHOOT,46.6,47.0
THE,47.0,47.2
GUY,47.2,47.5
YEAH,52.5,53.0
I,53.0,53.3
THREATENED,53.3,53.6
TO,53.6,53.6
SHOOT,53.6,53.8
LEAVING,53.8,54.1
EVEN,54.1,54.3
SAYING,54.3,54.5
LIKE,54.5,54.7
I,54.7,54.7
NEED,54.7,54.9
THEM,54.9,55.0
I,55.0,55.2
NEED,55.2,55.3
THE,55.3,55.5
CASH,55.5,55.8
TO,55.8,56.1
REPLACE,56.1,56.5
WEED,56.5,58.2
I,58.2,58.3
WAS,58.3,58.5
LIKE,58.5,58.7
GOING,0.0,1.4
OUT,1.4,1.6
AND,1.6,2.0
EARN,2.0,2.3
AND,2.3,9.3
OTHER,9.3,12.4
GUY,12.4,12.6
IS,12.6,14.4
NAMED,14.4,14.7
I,14.7,14.7
FORGET,14.7,14.9
BUT,14.9,15.6
HE,15.6,15.8
SEEMS,15.8,16.0
HIGH,16.0,16.3
PRETTY,16.3,16.7
MUCH,16.7,16.8
ALL,16.8,17.1
THE,17.1,17.2
TIME,17.2,17.2
JUST,17.2,18.3
TALKING,18.3,18.5
ABOUT,18.5,18.8
A,18.8,18.9
DOG,18.9,19.6
ON,19.6,22.1
THE,22.1,22.1
CORNER,22.1,22.5
AND,22.5,23.1
HAVE,23.1,23.2
ALEX,23.2,23.6
SOMETHING,23.6,24.3
AND,24.3,26.1
THEN,26.1,26.6
ALFRED,26.6,27.8
SOMEHOW,27.8,28.1
HAD,28.1,28.4
ANOTHER,28.4,28.7
GUN,28.7,29.0
URGENT,29.0,30.6
TAKE,30.6,30.8
AWAY,30.8,30.9
WITH,30.9,31.1
ME,31.1,31.2
I'M,31.2,33.1
NOT,33.1,33.2
SURE,33.2,33.3
BUT,33.3,42.0
LOOKS,42.0,43.5
LIKE,43.5,43.6
AT,43.6,44.5
THE,44.5,44.6
END,44.6,44.9
OF,44.9,45.0
THAT,45.0,45.2
INITIAL,45.2,45.9
FIRST,45.9,46.2
INITIAL,46.2,47.1
SCENE,47.1,47.3
LOOKS,48.4,49.2
LIKE,49.2,49.3
ALFRED,49.3,49.7
SHOP,49.7,50.1
IN,50.1,50.3
A,50.3,50.4
GUY,50.4,50.5
AND,50.5,52.1
THEN,52.1,52.3
IT,52.3,52.4
LOOKS,52.4,52.5
LIKE,52.5,52.8
THE,52.8,53.0
FLASHBACK,53.0,54.3
IN,54.3,54.4
THE,54.4,54.5
EPISODE,54.5,55.3
WHERE,55.3,56.0
ERIN,56.0,56.7
WAS,56.7,57.0
LYING,57.0,57.5
ABOUT,57.5,57.5
IT,57.5,57.9
WITH,57.9,58.4
LAWN,58.4,59.9
AND,3.4,4.1
I,4.1,4.2
HE,4.2,4.5
WAS,4.5,4.7
LISTENING,4.7,4.8
TO,4.8,5.1
MUSIC,5.1,5.5
AND,5.5,6.8
SHE,6.8,9.3
TOOK,10.5,11.0
OFF,11.0,11.3
THE,11.3,11.7
INSIDE,11.7,12.4
PHONES,12.4,12.8
I,12.8,12.9
WANT,12.9,13.2
TO,13.2,13.3
HEAR,13.3,13.4
IT,13.4,13.6
WAS,13.6,13.8
LIKE,13.8,14.0
WHY,14.0,14.1
ARE,14.1,14.1
YOU,14.1,14.2
UP,14.2,14.6
AND,14.6,15.6
HE,15.6,16.0
SAID,16.0,16.1
THAT,16.1,16.2
HE,16.2,16.4
HAD,16.4,16.4
A,16.4,16.5
WEIRD,16.5,16.8
DREAM,16.8,17.0
OR,17.0,17.9
HE,17.9,18.0
WAS,18.0,18.4
SWIMMING,18.4,18.8
AND,18.8,19.2
COOL,20.8,21.5
IT,21.5,21.6
WAS,21.6,21.8
ACTUALLY,21.8,22.3
AN,22.3,22.4
OCEAN,22.4,23.1
OR,23.1,23.2
NOTIONS,23.2,23.8
ACTION,23.8,24.2
POOL,24.2,24.8
AND,24.8,25.1
NEVER,25.1,25.3
SEE,25.3,25.6
ME,25.6,25.8
BUT,25.8,26.1
I,26.1,26.1
WAS,26.1,26.3
ACTUALLY,26.3,26.4
HANDS,26.4,27.3
THERE,27.3,28.1
WAS,28.1,28.2
A,28.2,28.3
GIRL,28.3,28.5
WHO,28.5,29.5
SAID,29.5,30.1
IF,30.1,30.6
YOU,30.6,31.4
LEFT,31.4,31.7
YET,31.7,32.0
SO,32.0,32.2
IT'S,32.2,32.5
ONE,32.5,32.6
PUSHING,32.6,34.4
ME,34.4,34.4
BECAUSE,34.4,34.7
OTHERWISE,34.7,35.0
I,35.0,35.2
CAN,35.2,35.4
STILL,35.4,35.6
CATCH,35.6,35.7
HIM,35.7,35.9
AND,35.9,36.5
HE,36.5,36.6
WAS,36.6,40.2
GOING,40.2,40.4
TO,40.4,40.4
TALK,40.4,40.6
ABOUT,40.6,40.8
HOW,40.8,41.0
CHROMA,41.0,45.4
DREAM,45.4,45.7
IMMEDIATELY,48.5,49.9
SAID,49.9,50.1
THAT,50.1,50.4
SHE,50.4,51.0
WAS,51.0,51.2
500%,51.2,52.3
AND,52.3,52.9
THEN,52.9,53.1
SHE'S,53.1,53.4
LIKE,53.4,53.5
AND,13.0,13.5
LIKE,13.5,13.7
THIS,13.7,14.5
IS,14.5,14.7
LIKE,14.7,14.8
ROMANTICALLY,14.8,16.2
INVOLVED,16.2,16.5
THEN,16.5,19.3
SHE,19.3,20.6
TOLD,20.6,20.9
HIM,20.9,21.4
TO,21.4,21.6
TELL,21.6,21.9
HER,21.9,22.1
THAT,22.1,22.6
YOU,22.6,23.0
LOVE,23.0,23.0
HER,23.0,23.4
AND,23.4,24.2
YOU,24.2,24.4
LIKE,24.4,24.5
LAST,24.5,24.8
WEEK,24.8,25.0
BUT,25.0,26.4
SHE,26.4,26.5
PULLED,26.5,26.8
BACK,26.8,27.1
AND,27.1,28.7
SHE,28.7,28.9
WAS,28.9,29.1
LIKE,29.1,29.2
WHY,29.2,30.5
DIDN'T,30.5,30.7
YOU,30.7,31.0
SAY,31.0,31.6
THAT,31.6,31.7
AND,35.3,37.3
LIKE,37.3,37.5
I,37.5,37.7
WAS,37.7,37.8
LIKE,37.8,38.4
SALLY,38.4,38.7
OF,38.7,38.8
COURSE,38.8,39.1
I,39.1,39.1
DO,39.1,39.3
AND,39.3,39.5
SHE'S,39.5,39.7
LIKE,39.7,39.9
WELL,39.9,39.9
THEN,39.9,40.2
WHY,40.2,40.3
DIDN'T,40.3,40.6
YOU,40.6,40.6
JUST,40.6,40.7
SAY,40.7,41.0
IT,41.0,41.2
WAS,41.2,42.5
LIKE,42.5,42.7
DOESN'T,42.7,43.0
RESPOND,43.0,43.3
AND,43.3,43.4
SHE,43.4,43.6
GETS,43.6,43.7
UP,43.7,43.9
AND,43.9,44.0
