SO,0.0,1.0
IT,1.0,1.4
BEGAN,1.4,1.6
WITH,1.6,2.3
A,2.3,2.6
WEDGE,2.6,4.1
TO,4.1,4.3
EYES,4.3,4.9
AND,4.9,7.8
SOMEONE,7.8,8.1
WISHES,8.1,10.7
BY,10.7,10.8
RELEVANT,10.8,11.3
TO,11.3,11.4
THIS,11.4,11.5
NUMBER,11.5,14.2
TO,14.2,14.4
BUCKEYE,14.4,15.2
STINGER,15.2,15.5
CAR,15.5,15.8
OUT,15.8,15.9
OF,15.9,16.0
THE,16.0,16.1
GUY,16.1,16.2
WALKED,16.2,16.5
BY,16.5,16.7
AND,16.7,16.8
BY,16.8,18.8
ALSO,18.8,19.8
BLACK,19.8,21.2
AND,21.2,21.4
THE,21.4,22.3
REAR,22.3,22.9
VIEW,22.9,23.0
MIRROR,23.0,23.4
ON,23.4,23.8
THE,23.8,23.9
DRIVER,23.9,24.2
SIDE,24.2,24.4
OF,24.4,25.5
CAR,25.5,25.9
SITTING,25.9,29.0
IN,29.0,29.1
THE,29.1,29.2
DRIVER'S,29.2,29.6
SEAT,29.6,29.6
I,32.9,33.3
DON'T,33.3,33.6
REMEMBER,33.6,33.7
HIS,33.7,34.0
NAME,34.0,34.0
OF,34.0,34.2
THE,34.2,34.9
PERSON,34.9,35.3
PRINCE,43.5,45.2
THE,45.2,45.2
SINGER,45.2,45.3
HIS,45.3,47.4
NAME,47.4,47.8
WAS,47.8,48.8
WOW,53.8,54.2
I,54.2,54.4
DON'T,54.4,54.6
KNOW,54.6,54.7
I,54.7,54.9
REALLY,54.9,55.0
DON'T,55.0,55.3
REMEMBER,55.3,55.5
ABOUT,55.5,56.6
MISHKA,56.6,56.8
REFERRED,56.8,57.3
TO,57.3,57.4
HIM,57.4,57.8
AS,57.8,57.9
THE,57.9,58.0
ARTIST,58.0,58.2
GETS,0.0,0.4
OUT,0.4,0.5
OF,0.5,0.5
THE,0.5,0.6000000000000001
CAR,0.6000000000000001,0.7000000000000001
AND,0.7000000000000001,1.7000000000000002
IT'S,1.7000000000000002,1.8
