SO,1.5,2.0
IN,2.0,3.6
THE,3.6,3.7
SHOW,3.7,4.0
ATLANTA,4.0,6.3
EPISODE,6.3,7.8
BEGINS,7.8,8.6
ANY,9.6,10.9
PARKING,10.9,11.5
LOT,11.5,12.2
AREA,12.2,13.4
MISSED,15.1,18.5
PAPER,22.2,22.9
BOY,22.9,23.1
I,23.1,23.3
DON'T,23.3,23.5
REMEMBER,23.5,23.9
THE,23.9,24.1
NAME,24.1,24.5
OF,24.5,24.5
THE,24.5,24.6
RAPPER,24.6,25.0
OR,25.0,27.3
ALFRED,27.3,27.7
IS,27.7,27.9
IN,27.9,28.0
THE,28.0,28.1
OFFICE,28.1,28.4
I,28.4,28.5
THINK,28.5,28.7
ARE,28.7,29.3
HARD,29.3,31.0
BUT,31.0,33.5
HIS,34.4,35.0
THE,35.0,37.4
MIRRORS,37.4,37.9
CAR,37.9,38.5
CUZ,38.5,39.9
I'LL,39.9,40.1
DROP,40.1,40.2
BY,40.2,40.4
SOME,40.4,40.6
GUY,40.6,40.8
AND,40.8,41.7
SOME,41.7,41.9
DAIRY,41.9,47.4
COWS,47.4,48.0
OR,48.0,48.2
WHATEVER,48.2,48.3
ALFRED,50.6,51.2
STRAND,51.2,51.9
IT'S,51.9,52.6
ALL,52.6,52.7
THE,52.7,52.8
CAR,52.8,52.9
TO,52.9,53.1
YOU,53.1,53.2
NOT,57.3,57.9
WINDSHIELD,0.0,1.8
ARE,1.8,2.0
THEY,2.0,2.2
ON,2.2,2.6
REARVIEW,2.6,3.0
MIRROR,3.0,3.5
OFF,3.5,3.7
AND,3.7,4.1
SO,4.1,4.4
THIS,5.7,6.1
GUY'S,6.1,6.7
WITH,6.7,6.9
A,6.9,7.0
SCROLL,7.0,7.3
THEY,8.4,10.6
HAVE,10.6,11.0
A,11.0,11.1
PRETTY,11.1,11.2
SURE,11.2,11.8
THAT,11.8,12.3
GOES,12.3,12.6
ON,12.6,12.8
M,12.8,13.5
REALIZES,15.2,17.4
THE,18.5,19.4
COUPLE,19.4,19.7
REALIZES,19.7,20.3
THAT,20.3,20.6
HIS,20.6,21.4
OTHER,21.4,32.9
SONGS,32.9,34.0
DOES,34.0,42.5
HE,42.5,42.7
DISLIKE,42.7,42.9
DOG,42.9,44.5
TRANSLATE,52.3,53.2
DANCES,55.9,57.6
LIKE,57.6,57.8
THE,57.8,57.9
WINE,57.9,58.3
HE,58.3,58.5
IS,58.5,58.7
TRYING,58.7,59.0
TO,59.0,59.1
PLACATE,59.1,59.6
INSULT,0.0,3.3
BASICALLY,5.8,7.2
JUST,7.2,8.7
CUZ,8.7,9.0
I'M,9.0,9.2
A,9.2,9.4
BIT,9.4,9.7
AND,9.7,10.0
THEN,10.0,10.2
I'LL.,10.2,10.8
AND,13.7,14.7
THE,14.7,15.0
OTHER,15.0,15.2
GUYS,15.2,15.6
LIKE,15.6,15.9
ALSO,17.5,18.9
HAS,18.9,19.1
A,19.1,19.2
GUN,19.2,19.6
IN,19.6,19.7
HIS,19.7,19.8
POCKET,19.8,20.3
AND,20.3,21.1
SO,21.1,21.3
EARNEST,21.3,21.7
DON'T,26.0,26.4
FORGET,26.4,26.6
TO,26.6,26.7
BACK,26.7,28.7
ACROSS,30.7,32.7
THE,32.7,33.2
SCREEN,33.2,33.7
RISE,33.7,34.2
TO,34.2,34.4
THIS,34.4,34.5
DIVE,36.7,37.4
YOU,37.4,37.7
AND,37.7,39.3
YOU,39.3,39.4
DON'T,39.4,39.5
REALLY,39.5,39.7
SEE,39.7,39.9
THAT,39.9,40.0
IT,40.0,40.3
HAPPENS,40.3,40.5
BUT,40.5,40.9
IT,40.9,41.1
SOUNDS,41.1,44.7
THEN,45.7,46.3
THE,46.3,46.7
THEME,46.7,47.5
SONG,47.5,47.8
OF,47.8,47.9
THESE,47.9,48.3
PICTURES,48.3,48.7
OF,48.7,48.8
THE,48.8,48.9
SHOW,48.9,53.8
BEGINS,53.8,54.5
WITH,1.7000000000000002,2.9
BRIDGET,2.9,4.1
NOW.,4.1,4.8
TIME,4.8,5.4
BUT,5.4,5.5
IS,5.5,5.8
THE,5.8,5.9
MOTHER,5.9,7.2
OF,7.2,7.3
HIS,7.3,8.4
CHILD,8.4,8.6
SOUND,12.4,13.5
JESUS,14.6,15.2
A,15.2,15.3
RAP,15.3,15.7
MUSIC,15.7,15.8
AND,15.8,16.5
HIS,17.9,20.0
WOMAN,21.3,22.6
YUA,22.6,26.5
OR,26.5,26.7
SOMETHING,26.7,27.3
AND,27.3,27.5
THEN,27.5,27.6
HE,30.2,30.6
IS,30.6,30.7
A,30.7,30.8
GUY,30.8,30.9
THAT,30.9,31.1
REALLY,31.1,31.4
GO,31.4,32.1
SWIMMING,32.1,32.9
WITH,32.9,33.1
A,33.1,33.2
PULLING,33.2,34.7
ME,34.7,34.8
DOWN,34.8,35.0
SHE,41.4,43.4
LIKE,43.4,43.7
SHE,47.5,49.6
SAID,49.6,49.8
SHE'S,49.8,50.1
FAT,50.1,50.5
AND,50.5,59.9
MUSIC,0.0,0.9
SHE,6.4,6.9
SAYS,6.9,8.2
SAY,9.6,10.4
YOU,10.4,10.8
LOVE,10.8,10.9
ME,10.9,11.2
IT'S,16.6,17.5
JUST,17.5,17.8
KIND,17.8,18.0
OF,18.0,18.2
SMILES,18.2,18.8
WHEN,18.8,19.1
SHE,19.1,20.1
GETS,20.1,20.8
SERIOUSNESS,20.8,21.2
LAKE,21.2,21.8
ELEVEN,23.2,24.1
EVEN,24.1,24.4
MUSIC,24.4,25.1
I,25.1,25.2
LOVE,25.2,25.4
YOU,25.4,25.8
BUT,25.8,26.0
I,26.0,26.0
HAVE,26.0,26.1
THIS,26.1,26.3
WEIRD,26.3,26.6
FACE,26.6,27.6
WHICH,31.6,32.0
IS,32.0,32.2
CONVERSATION,32.2,34.1
SONG,34.1,34.3
BEFORE,34.3,38.0
THAT,38.0,38.3
I,38.3,44.9
LOVE,44.9,45.2
YOU,45.2,45.3
LIVE,0.0,13.0
SEND,21.1,22.1
ME,22.1,22.2
CUT,22.2,22.5
TO,22.5,22.6
ALLERGIES,22.6,23.6
THAT,23.6,23.7
SHE,23.7,23.9
HAS,23.9,24.0
A,24.0,24.1
DATE,24.1,24.5
TO,24.5,25.5
PARENT-TEACHER,25.5,25.9
NIGHT,25.9,26.5
AT,26.5,29.1
WORK,29.1,33.3
NICE,34.4,35.5
HOUSES,35.5,36.0
WITH,36.0,36.2
THE,36.2,36.2
SKY,36.2,36.6
THERE,36.6,36.9
AT,36.9,37.1
THE,37.1,37.2
AIRPORT.,37.2,38.6
HE'S,38.6,39.2
HE'S,39.2,39.5
BASICALLY,39.5,47.0
DOING,47.0,47.3
THE,47.3,49.9
JOB,49.9,55.9
SHE,57.1,57.5
IS,57.5,58.3
DOING,58.3,58.5
A,58.5,58.8
GOOD,58.8,59.0
JOB,59.0,59.1
AND,59.1,59.9
YOUNGER,0.0,1.8
GUY,1.8,2.9
AND,2.9,3.5
HE,3.5,5.0
ACTS,5.0,5.4
LIKE,5.4,5.4
A,5.4,7.6
OLD,7.6,7.9
LADY,7.9,8.0
BUT,8.0,8.4
THEN,8.4,8.6
REALLY,8.6,8.9
IS,8.9,9.1
LIKE,9.1,9.3
KIND,9.3,9.5
OF,9.5,9.7
NASTY,9.7,11.3
LIKE,11.3,12.6
BRITTANY,12.6,13.1
CHILI,13.1,13.4
GRIND,13.4,13.7
ON,13.7,14.0
HIM,14.0,14.1
LIKE,14.1,14.5
MOCKING,14.5,15.1
THE,15.1,15.2
GUYS,15.2,15.6
AGAINST,15.6,16.0
LEANING,16.0,16.4
AND,16.4,18.5
THEN,18.5,18.9
THEY,18.9,19.0
GOT,19.0,19.1
TO,19.1,19.3
TALKING,19.3,19.4
AND,19.4,21.0
MAN,22.8,23.4
LOOK,23.4,23.6
AT,23.6,23.6
THIS,23.6,23.8
MUSIC,23.8,24.8
VIDEO,24.8,25.0
FOR,25.0,25.5
PEOPLE,25.5,25.8
BOYS,25.8,26.4
NEW,26.4,26.7
SONG,26.7,27.0
FIDGET,28.5,29.3
SPINNER,29.3,29.5
SPIN,31.4,32.1
A,32.1,32.2
VIDEO,32.2,32.6
OF,32.6,32.8
YOUR,32.8,33.0
VOICE,33.0,33.4
I,34.9,36.3
GOT,36.3,36.7
TO,36.7,36.8
GO,36.8,36.9
THAT,36.9,37.1
CAUSE,37.1,37.5
LIKE,37.5,37.7
HOT,37.7,38.0
AND,38.0,38.3
SUNNY,38.3,47.0
I,49.1,49.5
NEED,49.5,49.7
A,49.7,49.8
GYRO,49.8,50.1
DISCUSS,57.2,58.3
HIS,58.3,58.5
PARENTS,58.5,58.9
HOUSE,58.9,59.2
PRINCE,0.0,0.2
WILLIAM,0.2,0.9
I,11.0,11.0
DON'T,11.0,11.5
KNOW,11.5,11.6
IF,11.6,11.7
IT'S,11.7,11.9
LIKE,11.9,12.0
I,12.0,12.1
USED,12.1,12.3
TO,12.3,12.4
COME,12.4,12.8
IN,12.8,12.9
HERE,12.9,12.9
ANYWAYS,12.9,13.4
IT'S,13.4,13.6
UNLOCKED,13.6,14.2
AND,14.2,14.3
SHE'S,14.3,14.5
LIKE,14.5,14.8
OH,14.8,15.6
MY,15.6,18.2
GOSH,18.2,18.5
I'M,18.5,18.9
LIKE,18.9,19.1
A,19.1,19.2
BREAK,19.2,25.4
BREAK,25.4,26.5
A,26.5,26.7
C,26.7,27.0
Y,27.0,27.2
A,27.2,27.4
N,27.4,27.4
I,27.4,28.1
NEED,28.1,35.6
YOU,35.6,35.9
TO,35.9,36.1
ON,36.1,36.3
CALM,36.3,37.8
WATCH,37.8,38.2
DAUGHTER,41.0,43.4
MEANING,43.4,43.9
LANDS,47.4,49.6
END,49.6,49.8
IS,52.6,53.1
WALKING,53.1,53.5
AN,53.5,53.8
ACTUAL,53.8,54.9
PARKING,54.9,55.2
LOT,55.2,55.5
WHITE,0.0,1.5
GUY,1.5,1.7000000000000002
WORKS,3.5,4.1
AT,4.1,4.3
THE,4.3,4.5
RADIO,4.5,6.1
STATION,6.1,6.3
IN,6.3,6.8
SEES,8.0,9.5
ERNEST,9.5,9.9
MUSIC,9.9,10.1
DOES,12.7,13.6
BRUSHING,13.6,13.9
OFF,13.9,14.1
DISEASE,14.1,14.5
CLINIC,14.5,14.9
MAINTENANCE,14.9,15.7
GUY,15.7,15.9
COOKING,22.2,22.9
CATCHING,22.9,23.3
UP,23.3,23.9
A,23.9,24.1
BIT,24.1,24.5
AND,24.5,25.8
WORKS,26.2,27.5
AT,27.5,27.7
THE,27.7,27.8
RADIO,27.8,28.1
STATION,28.1,28.2
IS,28.2,28.7
PLAYING,28.7,38.4
IRISH,38.4,38.6
MUSIC,38.6,39.1
WHICH,46.1,46.5
IS,46.5,46.6
CLEARLY,46.6,47.0
COMFORTABLE.,47.0,48.5
HE,48.5,48.6
SAID,48.6,48.8
THAT,48.8,48.9
BUT,48.9,49.5
THE,49.5,49.8
BOY,49.8,50.0
KYLIE,50.0,50.4
DOES,50.4,50.9
NOT,50.9,51.2
PICK,51.2,51.4
UP,51.4,51.5
ON,51.5,51.7
ANY,51.7,51.9
OF,51.9,52.0
THAT,52.0,52.0
KNOWS,53.9,55.6
IT'S,55.6,55.7
WRONG,55.7,55.8
BUT,55.8,56.1
JUST,56.1,56.4
IN,56.4,56.5
CASE,56.5,57.4
IT'S,57.4,57.7
OKAY,57.7,58.0
THIS,10.3,11.0
HAPPENS,11.0,11.4
LATER,11.4,11.7
SO,11.7,12.0
THERE'S,12.0,12.2
AMIGOS,20.1,21.1
2,21.1,21.6
TWO,25.1,25.5
PEOPLE,25.5,25.7
BOYS,25.7,26.1
HOUSES,26.1,26.5
LIKE,26.5,26.9
PROBABLY,26.9,27.1
DEFINITION,27.1,27.7
AND,31.7,32.3
SO,32.3,32.5
WE,32.5,33.5
FIRST,33.5,33.7
SEE,33.7,34.0
PAPERBOY,34.0,34.6
DOCUMENTS,34.6,35.3
GUIDE,35.3,35.6
ARIOSO,35.6,36.4
EVER,36.4,36.7
ALFRED,36.7,37.9
BEEN,42.7,43.5
SMOKING,43.5,44.9
IN,44.9,45.1
THE,45.1,45.2
HOUSE,45.2,45.4
THAT,46.7,49.3
GUY,49.3,49.6
YOU,49.6,53.9
KNOW,53.9,54.1
I,54.1,54.2
DON'T,54.2,59.8
KNOW,0.0,0.7000000000000001
HE,0.7000000000000001,0.9
IS,0.9,1.1
HIDING,1.1,1.3
BEHIND,1.3,1.6
THE,1.6,2.0
WALL,2.0,2.2
AISLE,8.2,8.7
AND,8.7,9.2
EASY,9.2,10.4
TO,10.4,10.6
TURN,10.6,10.8
IN,10.8,10.9
MANAGER,13.9,23.2
GOOGLE,26.5,27.9
MUSIC,27.9,28.3
SEARCH,28.3,40.6
HAWKING,40.6,41.6
THEN,43.8,44.3
THEY,44.3,44.4
GO,44.4,44.5
OUT,44.5,44.8
THEN,44.8,45.0
THEY'RE,45.0,45.1
OUTSIDE,45.1,45.7
AND,45.7,48.0
THEY'RE,48.0,48.4
SMOKING,48.4,48.8
AND,48.8,49.8
HE'S,49.8,50.3
LIKE,50.3,50.6
NO,50.6,50.7
I,50.7,50.9
DON'T,50.9,51.0
AND,51.0,57.6
THEN,57.6,58.0
HE,58.0,58.0
WAS,58.0,58.2
LIKE,58.2,58.2
JUST,0.30000000000000004,3.1
RENEWING,3.1,3.6
AGE,3.6,4.9
GROUPS,4.9,5.8
THAT,5.8,18.3
OBVIOUSLY,21.9,23.8
SHE,23.8,24.0
HAS,24.0,24.3
LIKE,24.3,24.4
NO,24.4,24.7
SORRY.,24.7,25.4
I,27.5,27.9
DON'T,27.9,28.2
LIKE,28.2,28.5
WHEN,28.5,29.0
SHE'S,29.0,29.2
LIKE,29.2,29.4
SO,29.4,35.6
THE,35.6,40.9
CD,40.9,41.3
OR,41.3,42.3
PLAY,42.3,42.5
THE,42.5,42.7
SONG,42.7,43.0
SALAMI,48.7,50.9
I'M,52.0,52.4
SORRY,52.4,52.8
IT'S,52.8,53.0
IN,53.0,53.0
THE,53.0,53.1
NEW,53.1,53.3
I,53.3,53.9
GOT,53.9,54.1
TO,54.1,54.1
GO,54.1,54.2
INTO,54.2,54.4
WORK,54.4,54.5
THIS,0.0,1.5
GENEROUS,1.5,2.1
BY,2.1,2.4
YOU,2.4,2.6
SLACKING.,2.6,3.5
I,8.9,9.2
WANT,9.2,9.5
YOU,9.5,9.7
TO,9.7,9.8
FEEL,9.8,9.9
LIKE,9.9,10.0
I,10.0,10.2
SAID,10.2,10.4
NO,10.4,10.5
MORE,10.5,10.7
TO,10.7,10.8
YOU,10.8,10.9
AND,10.9,11.1
HE'S,11.1,11.2
LIKE,11.2,11.5
HOW,11.5,11.6
I,11.6,11.8
LIKE,11.8,12.1
BEING,12.1,12.3
MOTLEY,12.3,12.9
I,12.9,13.1
THINK,13.1,21.9
HIS,21.9,22.1
NAME,22.1,22.1
IS,22.1,22.4
