SO,2.6,3.0
THE,5.1,5.5
EPISODE,5.5,6.1
BEGINS,6.1,6.9
WITH,6.9,8.2
ALFRED,8.2,9.2
IN,9.2,9.4
KEARNS,9.4,10.2
IN,11.9,12.4
JAIL,12.4,13.0
CHAIRS,13.0,14.6
IN,14.6,14.7
LIKE,14.7,14.9
A,14.9,15.0
COMMON,15.0,15.6
AREA,15.6,16.5
ALEX,18.0,19.0
LIKE,23.0,24.2
I,24.2,24.5
WAS,24.5,24.7
TRYING,24.7,25.1
TO,25.1,25.1
GET,25.1,25.4
MEET,25.4,25.8
UP,25.8,25.9
HOW,27.4,27.8
LONG,27.8,28.2
YOU,28.2,28.7
WAS,28.7,30.3
LIKE,30.3,30.4
YOUR,30.4,30.5
FATHER,30.5,31.0
INSIDE,33.6,34.5
OUT,34.5,34.9
BRAIDS,34.9,35.4
TODAY,40.6,41.2
WAS,41.2,41.4
KIND,41.4,41.6
OF,41.6,41.9
DANCES,49.0,50.3
LIKE,50.3,50.6
GUYS,55.3,58.7
OKAY,58.7,58.9
I,58.9,59.4
DON'T,59.4,59.5
KNOW,59.5,59.7
THIS,2.6,3.2
IS,3.2,3.4
LIKE,3.4,3.5
YOU,3.5,3.8
THAT'S,3.8,4.0
NOT,4.0,4.1
THE,4.1,4.4
WAY,4.4,4.6
THAT,4.6,4.8
I'M,4.8,5.0
GOING,5.0,5.0
TO,5.0,5.2
TALK,5.2,5.4
TO,5.4,5.4
YOU,5.4,5.5
ALL,5.5,5.7
THIS,5.7,5.8
RIGHT,5.8,6.2
NOW,6.2,6.2
STANDING,8.7,10.7
WAITING,10.7,12.1
ALSO,12.1,12.5
AND,12.5,13.3
SHE,13.3,13.7
DON'T,13.7,27.1
LOOK,27.1,27.3
AT,27.3,27.5
HER,27.5,33.0
LAUGHS,33.6,35.1
AND,35.1,36.3
THEN,36.3,36.8
EARNEST,37.9,39.3
LEE,39.3,39.5
I'VE,39.5,39.6
NEVER,39.6,39.8
BEEN,39.8,40.5
ARRESTED,40.5,40.7
BEFORE,40.7,41.2
I,6.0,6.4
SLEPT,6.4,6.7
WELL,6.7,6.9
I,6.9,7.0
LIKE,7.0,7.3
HOW,7.3,8.1
MUCH,8.1,8.4
BETTER,8.4,9.4
THAT,9.4,9.6
IS,9.6,9.8
TAKES,11.4,12.2
A,12.2,12.2
LOT,12.2,12.3
BETTER,12.3,12.6
THAN,12.6,12.7
HAVING,12.7,12.9
ANY,12.9,13.4
ARRESTS,13.4,15.2
I'M,19.1,19.6
IN,19.6,19.9
EARNEST,19.9,20.2
OFFERS,20.2,21.3
NAME,21.3,21.5
IS,21.5,21.6
CALLED,21.6,21.9
SO,21.9,22.1
YOU,22.1,22.2
CAN,22.2,22.4
COPY,22.4,22.8
LIKE,26.8,28.5
IS,28.5,28.7
YOUR,28.7,28.9
COURT,28.9,29.1
DATE,29.1,29.3
LIKE,29.3,29.7
YOU,29.7,29.9
SHOULD,29.9,30.1
RETURN,30.1,30.3
IT,30.3,30.4
THIRTY,THIRTY.4,31.3
ROUTE,31.3,31.6
SO,31.6,31.7
I,31.7,31.8
CAN,31.8,31.9
WHERE,31.9,32.1
I,32.1,32.2
WILL,32.2,32.5
BE,32.5,32.6
SUBJECT,32.6,33.4
TO,33.4,34.2
SEARCH,34.2,34.6
AND,34.6,37.3
WHAT,38.1,38.7
ABOUT,38.7,39.1
MY,39.1,39.3
FRIEND,39.3,40.3
HE'S,47.0,47.4
LIKE,47.4,47.7
A,47.7,48.0
GOD,48.0,53.1
IS,53.1,54.4
WAS,54.4,54.6
FOR,54.6,54.8
PUBLIC,54.8,55.1
INTOXICATION,55.1,55.3
SHOOTING,55.3,59.5
CELL,0.0,0.8
ALFRED,3.4,4.1
IS,4.1,4.3
LIKE,4.3,4.6
I,5.7,6.2
THINK,6.2,6.4
THE,6.4,6.5
ONES,6.5,6.7
I,6.7,6.9
CHOOSE,6.9,7.3
I,7.3,7.5
SAY,7.5,8.1
TRYING,15.2,15.7
TO,15.7,15.9
STOP,15.9,16.1
ELY'S,16.1,16.5
NEITHER,16.5,16.8
I,16.8,17.0
HATE,17.0,17.1
THIS,17.1,17.4
PLACE,17.4,17.7
GUCCI,19.5,21.0
MIKE,22.4,23.0
DARIO,23.0,24.0
DONE,26.0,26.5
RIGHT,26.5,26.8
DISLIKE,31.1,31.8
MAKE,31.8,32.0
YOU,32.0,32.2
FAMOUS,32.2,32.5
LIKE,32.5,33.0
YOUR,33.0,33.2
SONGS,33.2,33.5
IN,33.5,33.6
ALL,33.6,33.7
OF,33.7,33.8
THE,33.8,34.0
VIDEO,34.0,34.3
AND,38.7,40.1
SO,40.1,40.3
THEY'RE,40.3,40.6
GOING,40.6,40.8
HOME,40.8,41.3
AND,41.3,41.8
CAUSE,41.8,46.1
BABY,46.1,47.5
MAMA,47.5,47.9
AND,47.9,48.7
DADDY,48.7,51.7
INSTA,1.9,2.4
TOX,2.4,2.6
MUSIC,2.6,3.0
BEHIND,3.0,3.2
AND,3.2,3.4
LAUGHING,3.4,4.1
AND,4.1,4.3
ALSO,4.3,5.8
FOR,5.8,6.6
THAT,6.6,6.8
STOP,6.8,15.0
LOOKING,15.0,15.4
AT,15.4,15.5
THAT,15.5,15.7
HOUSE,15.7,26.2
WHEN,26.2,26.4
I,26.4,26.5
CAN,26.5,26.8
PAY,26.8,27.4
YOU,27.4,27.5
BACK,27.5,27.6
YET,27.6,28.1
LIGHTS,39.2,40.5
OUT,40.5,40.7
BAD,40.7,41.0
NEWS,41.0,41.3
SHE,56.0,56.4
IS,56.4,56.7
LIKE,56.7,56.9
THE,56.9,58.2
GUY,58.2,58.5
WHO,58.5,58.9
COMES,58.9,59.2
OVER,59.2,59.3
THE,59.3,59.6
KIDS,59.6,59.8
NEEDS,0.0,13.9
TO,13.9,14.0
