SAW,0.6000000000000001,1.0
THE,1.0,1.0
LAST,1.0,1.2
EPISODE,1.2,1.7000000000000002
BEGAN,1.7000000000000002,2.0
WITH,2.0,2.8
A,2.8,3.7
CONFRONTATION,3.7,4.7
OUTSIDE,4.7,5.3
OF,5.3,5.5
OUTSIDE,5.5,7.8
OF,7.8,7.9
THE,7.9,8.0
NIGHTCLUB,8.0,8.2
BETWEEN,8.2,9.0
THE,9.0,9.5
MAIN,9.5,9.7
CHARACTER,9.7,10.1
AND,10.1,10.4
THE,10.4,10.8
PAPERBOY,10.8,11.2
THE,11.2,11.4
RAPPER,11.4,11.9
AND,11.9,14.5
THERE,14.5,14.7
WERE,14.7,14.8
TWO,14.8,14.9
MAN,14.9,17.4
WHO,17.4,17.5
CALLED,17.5,18.1
OUT,18.1,18.4
PAPERBOY,18.4,20.4
DITTY,20.4,24.6
BY,24.6,24.8
PAPERBOY,24.8,25.1
AFTER,25.1,27.7
THEY,27.7,27.8
INSERTED,27.8,28.2
LIKE,28.2,28.6
HIS,28.6,30.2
CAR,30.2,30.5
THAT'S,33.4,34.2
WHAT,34.2,34.4
ARE,34.4,34.4
YOU,34.4,34.6
BRINGING,34.6,34.7
ALL,34.7,35.0
THE,35.0,35.1
SUDDEN,35.1,35.4
YOU'RE,35.4,35.4
A,35.4,35.7
GUNSHOT,35.7,36.2
SURE,36.2,37.7
WHO,37.7,38.0
SHOT,38.0,38.2
YOU,38.2,38.4
AND,38.4,40.0
THERE'S,40.0,41.2
JUST,41.2,41.3
A,41.3,41.3
BUNCH,41.3,41.4
OF,41.4,41.6
CHAOS,41.6,42.0
AT,42.0,42.2
THE,42.2,42.3
SAME,42.3,42.6
TIME,42.6,42.9
HIS,42.9,58.0
COUSIN,58.0,58.5
AND,58.5,59.5
THEN,59.5,59.7
TWO,0.0,0.30000000000000004
OTHER,0.30000000000000004,1.3
MEN,1.3,1.6
WITH,1.6,2.9
HIP,2.9,13.2
HOP,13.2,13.3
MUSIC,13.3,13.4
THEME,13.4,14.8
SONG,14.8,15.0
WHAT,23.2,24.2
HAPPENS,24.2,24.7
EPISODE,24.7,26.0
EPISODE,26.0,28.5
BEGINS,28.5,29.0
WITH,29.0,29.9
THE,29.9,30.6
NEXT,30.6,30.8
SCENE,30.8,31.0
BEGINS,31.0,31.2
WITH,31.2,31.8
THE,31.8,32.0
MAIN,32.0,32.2
CHARACTER,32.2,32.2
I'M,32.2,33.5
STAYING,33.5,33.8
RIGHT,33.8,34.5
NOW,34.5,34.7
BUT,34.7,35.1
I,35.1,35.1
WANT,35.1,35.3
TO,35.3,35.4
SAY,35.4,35.6
ROOF,36.7,38.2
WITH,38.2,40.8
HIS,40.8,40.9
GIRLFRIEND,40.9,41.2
AND,41.2,41.5
HE'S,41.5,48.2
LISTENING,48.2,48.9
MUSIC,48.9,49.3
OVER,49.3,50.5
AND,50.5,50.7
SURPRISED,50.7,51.1
BY,51.1,51.2
THE,51.2,51.3
FACT,51.3,51.4
THAT,51.4,51.6
HE'S,51.6,51.7
AWAKE,51.7,52.1
SARAH,53.0,53.6
TELLS,53.6,53.9
HER,53.9,54.0
ON,54.0,54.5
THAT,55.5,56.1
SHE,56.1,57.6
HAD,57.6,57.8
A,57.8,57.9
NIGHTMARE,57.9,58.1
AND,58.1,58.3
HE,58.3,58.4
WAS,58.4,58.5
HAVING,58.5,58.8
TROUBLE,58.8,58.8
SLEEPING,58.8,59.3
SO,59.3,59.7
THAT'S,59.7,59.8
WHY,59.8,59.9
ABOUT,0.0,1.8
TO,1.8,2.4
STEP,2.4,12.3
INTO,12.3,12.4
A,12.4,12.7
JEALOUS,12.7,13.0
BY,13.0,13.1
THIS,13.1,13.3
TWITTER,13.3,13.7
REVISE,13.7,14.2
NOW,14.2,14.4
YOU,14.4,14.6
KNOW,14.6,14.7
MR.,23.2,23.8
LAPID,23.8,24.2
OVEN,24.2,24.6
AND,24.6,24.8
START,24.8,24.9
MAKING,24.9,25.0
OUT,25.0,25.3
FOR,25.3,27.7
A,27.7,27.8
LITTLE,27.8,27.9
WHILE,27.9,28.0
TO,28.0,28.3
DECIDE,28.3,28.6
TO,28.6,28.6
START,28.6,28.8
A,28.8,28.8
BIT,28.8,29.0
UP,29.0,29.1
AND,29.1,29.2
START,29.2,29.4
THE,29.4,29.5
DAY,29.5,29.6
AND,29.6,30.6
AS,30.6,30.8
THIS,30.8,31.0
HAPPENS,31.0,31.6
IS,31.6,32.6
TALK,32.6,32.8
ABOUT,32.8,32.9
THEIR,32.9,33.1
PLANS,33.1,33.6
THAT,33.6,35.8
SHE'LL,35.8,36.0
BE,36.0,36.1
SPENDING,36.1,36.5
THE,36.5,36.7
DATE,36.7,38.9
THAT,38.9,39.1
NIGHT,39.1,39.2
WAS,39.2,39.4
SITUATION,44.6,45.4
IS,45.4,45.5
AS,45.5,45.6
CLEAR,45.6,45.9
AS,45.9,46.0
THAT,46.0,46.3
AS,46.3,46.7
THE,46.7,46.8
MAIN,46.8,47.0
AND,47.0,47.9
SHE'LL,47.9,48.0
BE,48.0,48.1
GOING,48.1,48.2
ON,48.2,48.3
A,48.3,48.4
DATE.,48.4,48.7
NICER,48.7,49.1
WILL,49.1,49.5
BE,49.5,49.5
STUCK,49.5,50.3
WATCHING,50.3,50.5
THE,50.5,50.7
DAUGHTER,50.7,51.1
THAT,51.1,51.9
THEY,51.9,52.0
HAVE,52.0,52.2
REDUCED,52.2,53.9
AS,53.9,54.0
EARTH,54.0,54.3
GOES,54.3,54.6
I'M,54.6,57.3
STILL,57.3,57.6
HAVE,57.6,57.7
A,57.7,57.8
DAUGHTER,57.8,58.1
AND,58.1,58.8
HER,58.8,58.9
TO,58.9,59.0
STOP,59.0,59.2
WATCHING,59.2,59.5
HER,59.5,59.6
UNTIL,59.6,59.7
NXIVM,3.9,5.7
SHOWS,5.7,6.0
ARE,6.0,6.1
ON,6.1,6.2
AT,6.2,7.0
WORK,7.0,7.2
HE,7.2,7.8
WORKS,7.8,7.9
AT,7.9,8.1
AN,8.1,8.2
AIRPORT,8.2,8.5
AND,8.5,9.8
HE,9.8,9.9
HAS,9.9,10.1
CO-WORKER,10.1,10.5
STANDING,10.5,10.9
THERE,10.9,11.1
AS,11.1,11.2
PEOPLE,11.2,11.5
COME,11.5,11.6
BY,11.6,11.7
TRYING,11.7,12.0
TO,12.0,12.1
SELL,12.1,12.4
THEM,12.4,12.7
THESE,12.7,13.1
CARDS,13.1,13.7
THESE,13.7,13.8
CREDIT,13.8,14.1
CARDS,14.1,14.5
THAT,14.5,14.7
IF,14.7,15.6
THEY,15.6,15.8
BUY,15.8,15.9
THEM,15.9,16.2
ANYWHERE,16.2,18.0
THEY,18.0,18.1
WANT,18.1,18.3
THE,18.3,18.4
WORLD,18.4,18.7
REALLY,18.7,28.8
NOT,28.8,29.1
TRYING,29.1,30.9
TO,30.9,31.0
SELL,31.0,31.2
THESE,31.2,31.4
THESE,31.4,31.8
CREDIT,31.8,32.1
CARDS,32.1,32.4
MESSAGE,32.4,40.1
TO,40.1,40.2
SORT,40.2,40.5
OF,40.5,40.5
TEST,40.5,43.1
PERFORMED,43.1,43.5
SEXUAL,43.5,43.7
SEXUAL,43.7,44.9
ACTS,44.9,45.2
ON,45.2,45.3
THE,45.3,45.4
CUSTOMERS,45.4,46.0
AND,46.0,46.7
SUCCESS,46.7,47.8
URGING,47.8,49.2
HER,49.2,49.3
CUSTOMERS,49.3,49.9
AND,49.9,50.4
SHE'S,50.4,52.6
GETTING,52.6,52.7
ROBBED,52.7,53.0
BUY,54.8,55.2
THE,55.2,55.3
MAIN,55.3,55.5
CHARACTER,55.5,55.9
AND,55.9,56.0
HIS,56.0,56.1
COWORKERS,56.1,56.6
ARE,56.6,56.9
NOT,56.9,57.0
HAVING,57.0,57.3
MUCH,57.3,57.4
SUCCESS,57.4,57.5
SO,57.5,58.3
THEY'RE,58.3,58.9
SO,58.9,59.1
BORED,59.1,59.4
FROM,59.4,59.5
THERE,59.5,59.7
PEOPLE,0.0,0.7000000000000001
COMING,0.7000000000000001,1.0
UP,1.0,1.1
IN,1.1,1.3
THE,1.3,1.3
MORNING,1.3,1.6
HAS,3.1,5.0
COBRA,5.0,5.4
KAI,5.4,5.5
SHOWS,5.5,5.8
MY,5.8,5.9
VIDEO,5.9,6.3
OF,6.3,7.6
THE,7.6,7.6
UPCOMING,7.6,7.8
RAPPER,7.8,8.4
PAPERBOY,8.4,10.6
TO,10.6,11.8
WISH,11.8,12.0
SMILES,19.0,20.2
AND,20.2,20.2
SAYS,20.2,20.5
NO,20.5,20.6
ONE,20.6,20.6
LIKES,20.6,21.0
THAT,21.0,21.0
GIRL,21.0,21.4
IS,21.4,21.7
ACTUALLY,21.7,21.8
A,21.8,22.5
GIRL,22.5,24.1
IN,24.1,24.4
THE,24.4,24.4
VIDEO,24.4,24.6
TO,24.6,31.3
GO,31.3,34.3
TALK,34.3,34.5
TO,34.5,34.6
HIM,34.6,34.8
AND,34.8,34.9
MAYBE,34.9,35.1
POSSIBLY,35.1,35.4
MANAGE,35.4,36.4
THE,37.0,38.0
NEXT,38.0,38.3
CNA,38.3,38.6
CONCERNED,40.1,41.1
HE'S,41.1,42.3
GOING,42.3,42.5
TO,42.5,42.5
HIS,42.5,42.6
PARENTS,42.6,43.0
HOUSE,43.0,43.2
TO,43.2,44.8
TALK,44.8,50.0
TO,50.0,50.1
HIM,50.1,50.2
HIS,50.2,51.5
PARENTS,51.5,52.0
ARE,52.0,52.7
SKEPTICAL,52.7,53.1
OF,53.1,53.3
ITEMS,53.3,53.7
THEY,53.7,53.8
ARE,53.8,53.9
THEY,53.9,54.1
THAT,54.1,54.4
SHE,54.4,54.7
IS,54.7,55.1
ASKING,55.1,55.4
FOR,55.4,55.6
MONEY,55.6,55.8
AND,55.8,56.7
THEY,56.7,56.8
SAY,56.8,57.0
IN,57.0,57.2
EVERY,57.2,57.4
TIME,57.4,57.5
YOU,57.5,57.6
COME,57.6,57.8
SHE'S,57.8,58.0
LOOKING,58.0,58.3
FOR,58.3,58.4
SOMETHING,58.4,58.7
SAYS,0.0,0.5
WHAT,0.5,0.7000000000000001
DO,0.7000000000000001,0.8
YOU,0.8,0.8
MEAN,0.8,1.0
I,1.0,1.1
DON'T,1.1,1.1
CUT,1.1,1.5
THAT,1.5,1.6
OUT,1.6,1.7000000000000002
THEN,1.7000000000000002,2.0
SWITCHES.,2.0,2.4
SUPPLY,2.4,2.8
WILL,2.8,3.0
LAST,3.0,3.2
TIME,3.2,3.4
YOU,3.4,3.5
WERE,3.5,3.6
HERE,3.6,3.7
YOU,3.7,4.6
WERE,4.6,5.4
HERE,5.4,5.5
WHAT,5.5,5.9
YOU,5.9,6.0
JUST,6.0,6.1
YESTERDAY,6.1,6.3
2,24.3,24.7
M,24.7,24.9
TO,24.9,25.1
A,25.1,25.2
CHURCH,25.2,25.5
FRIEND,25.5,25.8
DARIUS,25.8,26.8
BUT,26.8,30.6
DARIUS,30.6,30.9
OR,30.9,31.2
WE,31.2,34.5
SHOULD,34.5,34.7
HAVE,34.7,34.7
JUST,34.7,35.0
HAD,35.0,35.2
A,35.2,49.4
KNIFE,49.4,49.7
AND,49.7,50.3
THERE,50.3,50.6
IS,50.6,50.6
HIDING,50.6,51.0
BEHIND,51.0,51.2
ONE,51.2,51.6
OF,51.6,51.7
THE,51.7,51.7
CORNERS,51.7,52.2
REALIZES,52.2,59.8
HIS,0.0,0.4
RAP,0.4,0.6000000000000001
CAREER,0.6000000000000001,0.9
AS,0.9,1.2
A,1.2,1.3
VIDEO,1.3,2.0
GAME,2.0,2.1
AND,2.1,3.6
I'LL,3.6,15.0
BE,15.0,15.1
GOING,15.1,15.2
TO,15.2,15.2
SMOKE,15.2,15.6
MARIJUANA,15.6,16.0
IF,16.0,16.6
YOU,16.6,16.6
TALKING,16.6,16.9
ABOUT,16.9,17.3
TWO,18.4,20.0
TALKING,20.0,20.3
ABOUT,20.3,20.4
PROSPECTS,20.4,21.5
OF,21.5,21.6
MANAGING,21.6,22.0
THEM,22.0,22.2
TWISTED,22.2,22.6
NOT,22.6,22.7
CONVINCED,22.7,23.1
THAT,23.1,30.5
SHE,30.5,30.6
USED,30.6,30.9
TO,30.9,30.9
WORK,30.9,31.2
IN,31.2,32.3
STARTS,32.3,32.7
ANY,32.7,33.1
HE,33.1,33.8
SEES,33.8,34.1
A,34.1,34.5
MAN,34.5,34.6
HAS,34.6,35.7
PASSED,35.7,36.4
MAYBE,36.4,36.6
YOU,36.6,36.8
IN,36.8,37.4
THE,37.4,37.5
RADIO,37.5,37.7
STATION,37.7,37.7
OR,37.7,38.1
WHITE,38.1,38.3
GUY,38.3,38.4
THIS,38.4,43.0
GUY,43.0,43.2
SEEMS,43.2,43.3
LIKE,43.3,43.5
SHE,43.5,43.6
WAS,43.6,43.8
A,43.8,43.9
FAST,43.9,44.3
TALKER,44.3,44.6
WHAT,44.6,45.0
KIND,45.0,45.2
OF,45.2,45.3
SMOKES,45.3,45.6
I,45.6,45.7
CAN,45.7,45.8
CHARACTER,45.8,46.2
AND,46.2,46.5
HE,46.5,46.6
STARTS,46.6,46.9
TALKING,46.9,47.0
TO,47.0,47.2
HER,47.2,47.3
AND,47.3,50.0
IT,50.0,50.1
WAS,50.1,50.2
SO,50.2,50.4
CRAZY,50.4,50.6
STATUS,50.6,54.8
OF,54.8,54.9
THE,54.9,55.0
PARTY,55.0,57.2
BACK,0.0,0.2
TO,0.2,0.2
BACK,0.2,0.6000000000000001
TO,0.6000000000000001,1.0
ITCH,1.0,1.2
THE,1.2,1.3
WHITE,1.3,1.6
MAN,1.6,1.8
SAID,1.8,2.0
TO,2.0,2.0
HIM,2.0,2.3
WHAT,2.3,12.0
TIME,12.0,12.1
IS,12.1,12.2
IT,12.2,12.3
IN,12.3,12.4
HIS,12.4,13.9
CHARACTER,13.9,14.3
AND,14.3,15.6
HIS,15.6,15.8
LET,15.8,24.1
ME,24.1,24.2
PLAY,24.2,24.3
PAPERBOY,24.3,24.7
WILL,24.7,26.1
COST,26.1,26.4
LIKE,26.4,26.4
$500,26.4,27.4
I,27.4,27.5
CAN,27.5,27.9
DO,27.9,28.1
THAT,28.1,28.3
SAD,45.9,47.6
TO,47.6,47.8
THE,47.8,47.8
GYM,47.8,48.0
IN,48.0,48.1
THE,48.1,48.1
WEST,48.1,48.3
IRVING,48.3,48.5
THE,48.5,48.7
BUILDING,48.7,49.1
FINALLY,49.1,49.9
GIVES,49.9,50.4
THE,50.4,50.5
$500,50.5,51.2
TO,51.2,51.3
DJ,51.3,51.7
WHO,51.7,52.9
PROMISES,52.9,53.3
RADIO,53.3,54.9
MEANWHILE,56.2,57.0
AT,57.0,57.2
THIS,57.2,57.3
TIME,57.3,57.7
I,57.7,58.3
THINK,58.3,58.5
I,58.5,58.6
SHOULD,58.6,58.8
HAVE,58.8,58.8
PREVIOUS,58.8,59.2
SCENE,59.2,59.5
BUT,0.0,0.2
I,0.2,0.30000000000000004
TERIUS,0.30000000000000004,0.9
AND,0.9,1.4
PAPERBOY,1.4,2.0
ROLL,2.0,2.4
UP,2.4,2.5
TO,2.5,2.8
PARENTS,2.8,4.1
HOUSE,4.1,4.4
WHERE,4.4,5.3
IS,5.3,7.5
JIM,7.5,12.0
BRYSON,12.0,12.2
BUT,12.2,12.9
I,12.9,14.2
DON'T,14.2,15.5
WANT,15.5,15.6
HIM,15.6,15.7
TO,15.7,15.8
GET,15.8,15.9
CLOSE,15.9,16.0
TO,16.0,16.3
HER,16.3,16.4
INSTEAD,16.4,16.7
DARIUS,16.7,17.9
PARENTS,17.9,21.2
ARE,21.2,24.0
ON,24.0,24.2
THEIR,24.2,24.2
WAY,24.2,24.4
AS,24.4,24.7
SOON,24.7,25.4
AS,25.4,25.7
HIS,25.7,25.8
DAUGHTER,25.8,26.0
SEEMS,26.0,26.6
TO,26.6,26.7
PICK,26.7,26.9
HER,26.9,27.0
UP,27.0,27.0
AT,27.0,27.2
THIS,27.2,27.3
POINT,27.3,27.4
MESSING,28.6,31.2
WITH,31.2,31.3
HIM,31.3,31.5
RIDING,31.5,31.7
A,31.7,31.8
BUS,31.8,32.1
RIDE,32.1,32.3
WITH,32.3,32.4
HIS,32.4,32.6
DAUGHTER,32.6,32.9
AND,32.9,33.1
SHE,33.1,33.4
IS,33.4,33.5
LISTENING,33.5,33.9
TO,33.9,34.0
HEADPHONES,34.0,34.2
ON,34.2,35.2
ABOUT,35.2,35.4
HIS,35.4,35.6
DAUGHTER,35.6,36.0
LOOKING,36.0,38.2
THE,38.2,38.3
RADIO,38.3,38.6
STATION,38.6,38.9
770,38.9,42.0
APP,42.0,42.4
IF,0.0,1.1
YOU,1.1,1.1
CAN,1.1,1.3
HELP,1.3,1.4
YOU,1.4,5.0
KNOW,5.0,5.1
WHAT'S,5.1,5.3
ON,5.3,5.4
YOUR,5.4,5.4
MIND,5.4,5.9
AND,5.9,12.1
SHE'S,12.1,13.2
LIKE,13.2,13.4
MAKING,13.4,13.7
A,13.7,13.7
SANDWICH,13.7,14.0
A,14.0,14.4
SANDWICH,14.4,14.9
OR,14.9,15.2
REFUSES,15.2,16.1
I,16.1,24.0
BELIEVE,24.0,24.4
IT'S,24.4,24.6
THE,24.6,24.6
SAME,24.6,24.9
DOG,24.9,25.0
THAT,25.0,25.2
SHE,25.2,25.5
IN,25.5,25.6
THE,25.6,25.7
BEGINNING,25.7,25.9
OPENING,25.9,27.5
SCENE,27.5,28.0
BUILDING,30.3,30.9
C,30.9,31.0
M,31.0,31.3
THAT,31.3,31.6
CAME,31.6,31.9
OUT,31.9,32.0
OF,32.0,32.1
ORDER,32.1,32.4
IN,32.4,32.5
WHICH,32.5,32.8
THERE,32.8,33.0
WAS,33.0,33.1
A,33.1,33.2
SHOOTOUT,33.2,33.4
IN,33.4,33.5
THE,33.5,33.5
PARKING,33.5,33.9
LOT,33.9,34.1
WITH,34.1,35.0
THE,35.0,35.0
RADIO,35.0,45.2
AND,45.2,46.4
TEXTING,46.4,47.0
HIS,47.0,49.1
GIRLFRIEND,49.1,49.6
IS,49.6,55.6
VERY,55.6,57.5
EXCITED,57.5,57.9
BECAUSE,57.9,58.0
IT'S,58.0,59.6
SO,59.6,59.9
PLAY,0.0,0.2
THE,0.2,1.0
SONG,1.0,3.5
ABOUT,3.5,12.2
THE,12.2,12.3
FACT,12.3,12.6
