I'M,0.0,1.4
SO,1.4,1.7000000000000002
AT,1.7000000000000002,1.8
THE,1.8,1.8
BEGINNING,1.8,1.9
OF,1.9,2.2
THE,2.2,2.3
EPISODE,2.3,2.5
IT,2.5,2.9
STARTS,2.9,3.3
IN,3.3,3.4
THERE,3.4,3.5
ON,3.5,3.6
A,3.6,3.7
BOAT,3.7,4.0
AND,4.0,4.2
YOU,4.2,4.3
SEE,4.3,4.5
MICHAEL,4.5,5.2
BUST,7.6,8.4
AND,8.4,12.2
HE'S,12.2,13.1
LIKE,13.1,13.3
TODAY'S,13.3,13.6
BEST,13.6,13.8
DAY,13.8,13.9
OF,13.9,13.9
MY,13.9,14.0
LIFE,14.0,14.1
BECAUSE,14.1,14.4
I'M,14.4,14.7
GOING,14.7,14.8
TO,14.8,14.9
GET,14.9,15.2
I'VE,15.2,15.7
BEEN,15.7,15.8
WAITING,15.8,16.1
TEN,16.1,16.3
YEARS,16.3,16.8
AND,16.8,16.9
I'M,16.9,17.0
GOING,17.0,17.2
TO,17.2,17.3
GET,17.3,17.3
A,17.3,17.4
PROMOTION,17.4,17.5
ANNIE,19.6,20.1
GOES,20.1,20.8
DOWNSTAIRS,20.8,21.2
AND,21.2,21.5
YOU,21.5,21.7
NEED,21.7,21.8
HIS,21.8,21.9
MOM,21.9,22.2
LUCILLE,22.2,22.7
AND,22.7,23.4
SHE'S,23.4,23.7
A,23.7,23.7
HOMOSEXUAL,23.7,24.6
END,32.6,34.6
THEN,35.5,36.0
YOU,36.0,36.1
NEED,36.1,36.3
HIS,36.3,37.2
TWIN,37.2,37.5
SISTER,37.5,37.7
LINDSEY,37.7,38.3
WHO,38.3,38.6
MARRIED,38.6,39.1
TOBIAS,39.1,39.5
IN,39.5,40.2
LIKE,40.2,40.5
AN,40.5,40.7
ACTRESS,40.7,40.9
AND,40.9,43.2
SHE,43.2,43.7
EVEN,43.7,44.5
SPOKEN,44.5,45.0
IN,45.0,45.2
MONTHS,45.2,45.5
JUSTIN,45.5,48.7
GEORGE,48.7,51.1
OSCAR,51.1,51.5
TWO,52.9,55.6
HE,0.0,2.3
SEEMED,2.3,2.5
REALLY,2.5,2.7
QUIRKY,2.7,3.2
AND,3.2,3.4
THEN,3.4,3.5
YOU,3.5,3.6
MEET,3.6,4.0
BUSTER,5.6,6.2
WHO,6.2,6.7
HAS,6.7,7.8
STUDIED,7.8,8.1
LIKE,8.1,8.5
AFRICAN,8.5,9.8
DRUMMING,9.8,10.1
FOR,10.1,10.3
GOD-KNOWS-HOW-LONG,10.3,10.9
AND,10.9,11.5
IS,11.5,11.9
LIKE,11.9,12.0
NOW,12.0,12.2
CARTOGRAPHY,12.2,12.6
ANY,12.6,14.8
MICHAELS,14.8,15.7
LIKE,15.7,15.9
WHY,15.9,16.0
YOU,16.0,16.3
DOING,16.3,16.5
THAT,16.5,16.6
HASN'T,21.1,22.0
ALL,22.0,22.1
OF,22.1,22.3
THE,22.3,22.4
WORLD,22.4,22.6
BEEN,22.6,22.8
DISCOVERED,22.8,23.4
BY,23.4,23.6
EVERYONE,23.6,24.8
ALREADY,24.8,25.0
AND,25.0,25.3
HE'S,25.3,25.4
LIKE,25.4,25.6
NOW,25.6,25.8
THEY,25.8,26.0
DID,26.0,26.2
A,26.2,26.2
PRETTY,26.2,26.4
GOOD,26.4,26.5
JOB,26.5,26.6
I,26.6,27.0
LIKE,27.0,27.1
NOT,27.1,27.3
ALL,27.3,27.4
OF,27.4,27.6
IT,27.6,27.7
AND,27.7,29.2
SO,29.2,29.6
THEN,29.6,31.2
IF,31.2,32.4
HAND,32.4,32.9
TO,32.9,34.0
THE,34.0,34.1
19,34.1,34.7
AND,34.7,35.0
YOU,35.0,35.2
DON'T,35.2,35.4
REALLY,35.4,35.5
KNOW,35.5,35.7
WHAT,35.7,35.8
HAPPENS,35.8,36.3
ON,36.3,36.4
THE,36.4,36.5
BOAT,36.5,36.8
BUT,36.8,36.9
YOU,36.9,37.1
JUST,37.1,37.2
KNOW,37.2,37.4
THAT,37.4,37.5
IT'S,37.5,37.8
LIKE,37.8,38.0
HIS,38.0,38.1
DAD'S,38.1,38.4
ARE,38.4,38.5
TRYING,38.5,38.8
TO,38.8,38.9
PARTY,38.9,39.1
AND,39.1,39.4
HIS,39.4,39.6
MOM,39.6,39.9
WORRIED,39.9,40.8
ABOUT,40.8,40.9
IT,40.9,41.2
BEING,41.2,41.4
RUINED,41.4,41.7
EVERYTHING,41.7,42.2
AND,42.2,43.3
THAT,43.3,43.6
MICHAEL,43.6,44.1
IS,44.1,44.2
EXPECTING,44.2,44.7
A,44.7,44.8
PROMOTION,44.8,45.4
AND,45.4,45.8
THEN,45.8,45.9
IT,45.9,46.0
PANTS,46.0,46.4
TO,46.4,46.7
MICHAEL,46.7,48.3
