SO,0.4,1.0
I,1.0,3.5
MENTIONED,3.5,4.7
LAST,4.7,5.0
TIME,5.0,5.2
YOU,5.2,5.6
STARTED,5.6,6.1
WITH,6.1,6.5
SCENE,10.0,10.5
WHERE,10.5,10.8
NAME,14.2,15.5
APP,15.5,16.5
CARE,21.4,21.8
OF,21.8,22.0
THE,22.0,22.1
MAIN,22.1,22.3
CHARACTER,22.3,22.6
GUYS,22.6,23.1
NAME,23.1,23.4
IT'LL,23.4,25.1
COME,25.1,25.3
BACK,25.3,25.4
TO,25.4,25.6
ME,25.6,25.7
I,25.7,25.8
THINK,25.8,26.0
THEY'RE,26.0,28.8
IN,28.8,29.0
THE,29.0,29.2
CAR,29.2,29.4
WENT,29.4,31.0
TO,31.0,31.1
THE,31.1,31.2
NEXT,31.2,31.4
GUY,31.4,35.3
WHO'S,35.3,35.7
WITH,35.7,35.8
A,35.8,35.9
GIRL,35.9,36.2
AND,36.2,36.3
THEN,36.3,36.5
THERE'S,36.5,36.6
A,36.6,36.7
CONFRONTATION,36.7,37.4
BETWEEN,37.4,37.5
THOSE,37.5,38.0
TWO,38.0,38.4
CHARACTERS,38.4,40.7
IN,40.7,41.5
PAPER BOY,41.5,42.7
HOW,42.7,46.0
DO,46.0,46.2
YOU,46.2,46.3
SAY,46.3,46.6
WHATEVER,46.6,47.7
HIS,47.7,48.0
NAME,48.0,48.0
IS,48.0,48.3
HEADED,50.2,51.2
UP,51.2,51.5
POINTING,52.9,53.8
A,53.8,53.9
GUN,53.9,54.1
HE'S,55.9,56.5
TELLING,56.5,56.6
PAPERWORK,56.6,57.3
TO,57.3,57.4
NOT,57.4,57.8
SHOOT,57.8,58.1
THE,58.1,58.2
GUN,58.2,58.7
AND,58.7,59.4
KNOW,0.0,1.7000000000000002
WHAT,1.7000000000000002,1.8
HAPPENS,1.8,2.1
WHEN,2.1,2.2
THE,2.2,2.8
GUN,2.8,3.1
GOES,3.1,3.2
OFF,3.2,3.5
A,3.5,5.1
FLASHBACK,5.1,5.7
TOO,5.7,6.5
SHORT,6.5,12.7
FOR,12.7,12.9
ERNEST,12.9,13.2
I'M,13.2,13.8
NOT,13.8,14.0
SURE,14.0,14.3
BUT,14.3,14.8
WE,14.8,15.5
SEE,15.5,15.7
HIM,15.7,16.1
FLASH-FORWARD,18.5,19.8
AFTER,19.8,20.3
THE,20.3,20.5
SCENE,20.5,20.8
SO,20.8,21.0
IT'S,21.0,21.2
SORT,21.2,21.3
OF,21.3,21.4
LIKE,21.4,21.4
A,21.4,21.6
RECALL,21.6,22.0
BACK,22.0,22.3
TO,22.3,22.4
HOW,22.4,22.6
THIS,22.6,22.8
ALL,22.8,22.9
BEGAN,22.9,23.2
AND,23.2,24.4
HE'S,24.4,24.8
IN,24.8,25.5
BED,25.5,25.9
WITH,25.9,26.7
PRESUMABLY,27.2,28.0
THE,28.0,29.4
MOTHER,29.4,29.9
OF,29.9,30.0
ONE,30.0,30.2
OF,30.2,30.3
HIS,30.3,30.6
MOTHER,30.6,31.0
OF,31.0,31.1
HIS,31.1,31.2
CHILDREN,31.2,31.3
DON'T,31.3,32.1
REALLY,32.1,32.3
KNOW,32.3,32.4
WHERE,32.4,32.5
THE,32.5,32.6
RELATIONSHIP,32.6,32.9
STANDS,32.9,33.9
THEIR,36.3,38.1
DAD,38.1,38.5
HE'S,38.5,38.9
AWAKE,38.9,39.9
AND,39.9,40.7
SHE,40.7,43.2
SCOLDS,43.2,43.8
HIM,43.8,43.9
ASKING,43.9,44.5
WHY,44.5,44.6
IS,44.6,44.7
ALWAYS,44.7,45.3
AWAKE,45.3,45.6
SO,45.6,45.8
EARLY,45.8,45.9
THEY,45.9,47.7
HAVE,47.7,47.8
A,47.8,47.9
VERY,47.9,48.0
INTIMATE,48.0,48.3
MOMENT,48.3,49.0
BEFORE,49.0,49.2
SHE,49.2,49.8
GETS,49.8,50.0
UP,50.0,50.2
OUT,50.2,54.1
OF,54.1,54.3
BED,54.3,54.4
TOO,54.4,54.7
AND,54.7,54.8
ALSO,54.8,55.0
GOES,55.0,55.4
TO,55.4,55.6
HIS,55.6,56.6
DAUGHTER'S,56.6,56.9
CRADLE,56.9,57.4
WHERE,57.4,58.1
HE'S,58.1,58.3
PLAYING,58.3,58.4
WITH,58.4,58.7
HER,58.7,58.9
WHILE,58.9,59.1
SHE,59.1,59.4
TELLS,59.4,59.7
HIM,59.7,59.8
THE,0.0,0.4
WASHER,0.4,0.7000000000000001
FOR,0.7000000000000001,0.9
THE,0.9,0.9
DAY,0.9,1.1
AND,1.1,2.2
AFTER,2.2,4.7
THAT,4.7,5.0
GOES,5.0,7.6
TO,7.6,7.8
WORK,7.8,8.0
THINK,8.0,10.6
THAT'S,10.6,10.8
EXACTLY,10.8,10.8
WHAT,10.8,11.2
HAPPENS,11.2,11.6
NEXT,11.6,11.8
AND,11.8,13.9
HIS,13.9,14.0
FRIEND,14.0,14.7
SWIFF,16.4,17.0
MAYBE,17.0,18.2
ARE,18.2,20.1
LIKE,20.1,20.4
SWIFF,29.9,31.1
I,31.1,31.2
THINK,31.2,31.5
BRINGS,31.5,31.9
UP,31.9,32.1
THIS,32.1,33.4
MIXTAPE,33.4,33.9
BY,33.9,34.3
PAPER BOY,34.3,34.9
AT,34.9,35.3
MY,35.3,38.0
COUSIN,38.0,38.6
AND,38.6,39.1
THEN,39.1,41.4
EPISODE,41.7,42.5
THIS,42.5,42.6
ALL,42.6,42.9
CAME,42.9,43.1
UP,43.1,43.3
BECAUSE,43.3,43.5
AARON,43.5,44.1
WAS,44.1,44.2
TALKING,44.2,44.5
ABOUT,44.5,44.6
HOW,44.6,44.8
HE,44.8,44.8
DOES,44.8,45.0
NOT,45.0,45.1
HAVE,45.1,54.2
IDEA,54.2,54.6
TO,54.6,54.7
GO,54.7,54.9
TO,54.9,54.9
PAPER BOY,54.9,55.4
OR,55.4,56.4
IN,56.4,57.6
THE,57.6,57.7
SKY,57.7,57.9
ACTUALLY,0.0,3.1
HIS,3.1,3.4
COUSIN,3.4,5.3
AND,5.3,7.3
HIS,7.3,8.7
PARENTS,8.7,9.0
HOUSE,9.0,9.3
AND,9.3,10.3
THEY,10.3,11.5
DON'T,11.5,11.7
ASK,11.7,14.1
FOR,14.1,14.3
MONEY,14.3,14.6
OR,14.6,15.0
WHATEVER,15.0,16.9
GOES,16.9,24.1
TO,24.1,24.2
AL'S,24.2,24.5
PLACE,24.5,24.9
AND,24.9,25.8
AL,25.8,26.4
IS,26.4,28.7
IN,28.7,28.9
THERE,28.9,29.0
WITH,29.0,29.2
HIS,29.2,29.4
FRIEND,29.4,30.2
I,31.1,31.9
CAN'T,31.9,32.1
REMEMBER,32.1,32.3
HIS,32.3,32.6
NAME,32.6,32.7
BUT,32.7,33.7
THEY'RE,33.7,35.3
JUST,35.3,35.5
HANGING,35.5,36.3
OUT,36.3,36.8
SMOKING,36.8,37.3
OR,37.3,37.5
SOMETHING,37.5,37.9
AND,37.9,38.0
THEN,38.0,38.1
WHEN,38.1,39.7
HE,39.7,40.5
KNOCKS,40.5,40.9
AT,40.9,42.8
THE,42.8,42.9
DOOR,42.9,43.0
OPEN,43.0,45.6
AND,45.6,46.3
TRYING,46.3,54.2
TO,54.2,54.3
MAKE,54.3,54.3
MONEY,54.3,54.6
SEE,5.9,6.4
THAT,6.4,6.5
THEY,6.5,6.7
GET,6.7,6.8
OUT,6.8,7.3
OF,7.3,7.3
THE,7.3,7.5
APARTMENT,7.5,7.6
OR,7.6,8.1
HOUSE,8.1,8.4
WHATEVER,8.4,8.8
THEY'RE,8.8,9.1
IN,9.1,9.3
AND,9.3,9.9
THEY'RE,9.9,10.0
SORT,10.0,10.4
OF,10.4,10.5
ON,10.5,10.6
THE,10.6,10.6
GRASS,10.6,11.0
SOMEWHERE,11.0,11.2
ON,11.2,11.4
A,11.4,11.5
COUCH,11.5,11.9
AND,11.9,12.2
CONTINUES,12.2,14.0
TO,14.0,14.1
TRY,14.1,14.3
TO,14.3,14.5
CONVINCE,14.5,15.2
PAPER BOY,15.2,15.8
BUT,15.8,16.0
IT,16.0,16.1
DOESN'T,16.1,16.3
REALLY,16.3,16.4
WORK,16.4,16.6
OUT,16.6,16.8
AFTER,20.0,20.6
THAT,20.6,20.9
I,20.9,23.0
THINK,23.0,23.0
THAT,23.0,25.4
MAKES,25.4,26.1
PAPER,26.1,26.4
BOY,26.4,26.6
MAD,26.6,27.2
SO,27.2,27.9
THEN,27.9,28.3
PAPER BOY,28.3,28.9
AND,28.9,29.3
HIS,29.3,29.8
NUMBER,29.8,32.2
IS,32.2,32.9
ALWAYS,32.9,33.1
HIGH,33.1,33.5
ALL,33.5,33.7
THE,33.7,33.7
TIME,33.7,33.8
INSTEAD,33.8,34.2
OF,34.2,34.4
COOKIES,34.4,36.4
WHEN,36.4,36.8
WALKING,36.8,37.7
THE,37.7,37.9
HOUSE,37.9,38.2
WHEN,38.2,39.1
HE,39.1,39.2
FIRST,39.2,39.5
ARRIVED,39.5,40.0
ALSO,40.0,41.1
USE,41.1,41.5
A,41.5,41.6
TIME,41.6,44.4
I,45.6,45.9
THINK,45.9,46.3
I,46.3,46.8
DON'T,46.8,47.4
REMEMBER,47.4,47.5
WHICH,47.5,47.8
COMES,47.8,48.1
FIRST,48.1,48.4
BUT,48.4,49.3
I,49.3,49.4
BELIEVE,49.4,49.9
THAT,49.9,50.0
PAPER,53.0,53.5
BOY,53.5,53.6
GOES,53.6,54.0
TO,54.0,54.2
EARN'S,54.2,55.9
PARENTS,55.9,57.2
HOUSE,57.2,57.6
TALKS,0.0,2.1
TO,2.1,2.4
FATHER,2.4,3.6
SAYS,3.6,7.2
HE'S,7.2,18.5
JOKING,18.5,18.8
WITH,18.8,19.2
HIS,19.2,20.3
MOM,20.3,20.7
ABOUT,20.7,20.9
ABOUT,20.9,21.9
SEEING,21.9,22.4
ME,22.4,22.4
SOME,22.4,23.3
EARN'S,24.8,25.8
DAUGHTER,25.8,26.2
AND,26.2,27.4
LEMON,28.4,29.1
BALM,29.1,29.3
AND,29.3,31.1
SONGS,37.0,37.9
WITH,37.9,38.0
YOU,38.0,41.0
SHE,41.0,44.3
CAN,44.3,44.5
SMELL,44.5,44.8
IT,44.8,44.9
ALL,44.9,45.0
THE,45.0,45.1
WAY,45.1,45.3
FROM,45.3,45.4
THERE,45.4,45.8
TO,45.8,46.0
FEW,50.4,52.0
BUMPS,52.0,52.2
INTO,52.2,52.8
HIS,52.8,54.1
FRIEND,54.1,54.9
AT,54.9,55.4
HIS,55.4,56.1
FRIEND,56.1,56.4
BUT,56.4,56.6
THE,56.6,56.7
GUY,56.7,56.8
AT,56.8,56.9
THE,56.9,57.0
RADIO,57.0,57.5
BROADCASTING,57.5,58.5
PLACE,58.5,58.9
TERMS,3.9,4.5
SORT,4.5,7.6
OF,7.6,7.9
PAPER,7.9,8.8
AND,8.8,10.8
SO,10.8,11.1
HE,11.1,12.0
MANAGERS,14.5,15.9
TO,15.9,16.2
BEFRIEND,16.2,17.0
THE,17.0,17.2
JANITOR,17.2,17.6
AFTER,17.6,18.0
IT,18.0,18.1
DOESN'T,18.1,18.4
REALLY,18.4,18.5
WORK,18.5,18.6
OUT,18.6,18.9
WITH,18.9,19.2
THE,19.2,19.5
GUY,19.5,20.1
WHO,20.1,20.3
WORKS,20.3,20.4
THERE,20.4,20.8
AS,20.8,21.8
ACQUAINTANCES,21.8,22.4
WITH,22.4,22.6
FOUR,22.6,23.1
BY,23.1,23.3
WHATEVER,23.3,23.5
REASON,23.5,24.1
AND,24.1,24.8
PROVOCATIVE,24.8,28.3
EARN,38.7,39.8
JANITOR,39.8,42.5
SLIPS,42.5,45.8
THE,45.8,47.9
MONEY,47.9,48.2
THAT,48.2,48.5
THE,48.5,49.1
GUY,49.1,49.2
TOLD,49.2,49.5
HIM,49.5,49.7
NOT,49.7,50.3
TO,50.3,50.4
GIVE,50.4,50.5
HIS,50.5,50.7
BOSS,50.7,50.9
IF,50.9,51.2
YOU,51.2,51.2
WANTED,51.2,51.5
MIXTAPE,51.5,51.8
UNDER,51.8,53.0
THE,53.0,53.1
DOOR,53.1,53.4
AND,53.4,53.7
THEN,53.7,53.8
MIXTAPE,53.8,54.5
PLAYED,54.5,56.0
ON,56.0,56.3
THE,56.3,56.4
RADIO,56.4,56.6
AND,56.6,57.0
THEN,57.0,57.2
EVERYONE,57.2,57.4
HEARS,57.4,57.9
FRIENDS,0.0,3.1
BY,3.1,3.3
FRIEND,3.3,3.8
AND,3.8,4.2
LEARN,4.2,7.2
AND,7.2,7.4
EARN,7.4,8.3
EYES,11.2,12.0
LIKE,12.0,12.2
FROM,14.0,21.5
THE,21.5,21.6
VERY,21.6,21.7
BEGINNING,21.7,22.0
AND,22.0,23.3
THAT'S,23.3,23.6
WHY,23.6,23.8
I,23.8,23.9
WAS,23.9,26.5
IN,26.5,26.6
THE,26.6,26.7
CAR,26.7,26.9
WITH,26.9,27.1
HIS,27.1,27.3
FRIEND,27.3,27.7
COMING,27.7,27.9
INTO,27.9,29.6
THE,29.6,29.7
PASSENGER,29.7,30.1
SIDE,30.1,30.4
ON,30.4,31.4
THE,31.4,31.7
OR,31.7,32.0
SHOTGUN,32.0,32.5
MANAGER,32.5,35.9
FOR,35.9,38.0
THE,38.0,39.2
CAMERA,39.2,39.8
ON,39.8,40.6
THE,40.6,40.7
CAMERA,40.7,40.9
THE,40.9,41.0
REARVIEW,41.0,41.3
MIRROR,41.3,41.6
IS,41.6,42.6
ALSO,42.6,43.0
KNOCKED,43.0,44.1
OFF,44.1,44.4
AGAIN,44.4,44.6
AND,44.6,45.0
SO,45.0,45.3
THAT'S,45.3,46.6
WHEN,46.6,46.9
THE,46.9,47.0
AFOREMENTIONED,47.0,48.5
FIGHT,48.5,49.9
OR,49.9,51.4
CONFRONTATION,51.4,52.1
BETWEEN,52.1,52.1
THE,52.1,52.8
GIRL,52.8,53.3
WHO,53.3,53.6
PAPER,54.4,56.3
WITCH,56.3,56.6
HAT,56.6,56.7
CALLED,56.7,57.3
AND,57.3,58.5
WERE,58.5,59.0
SUPPOSED,59.0,59.9
BOYFRIEND,0.0,0.5
HURT,0.5,0.7000000000000001
BY,0.7000000000000001,3.5
THAT,3.5,3.6
SHE,3.6,3.8
WAS,3.8,4.6
WITH,4.6,4.9
AND,4.9,5.5
THAT'S,5.5,5.6
WHEN,5.6,5.9
WE,5.9,6.0
SAY,6.0,6.1
THAT,6.1,6.2
YOU'RE,6.2,6.4
ALL,6.4,6.6
UP,6.6,6.7
IN,6.7,6.8
THEIR,6.8,7.0
FACES,7.0,7.3
WITH,7.3,7.5
EACH,7.5,7.6
OTHER,7.6,7.9
ABACK,11.5,12.6
CIRCULATED,12.6,13.3
