SO,0.0,2.7
THE,2.7,2.8
EPISODE,2.8,3.6
STARTED,3.6,4.4
ON,4.4,4.7
A,4.7,6.4
YACHT,6.4,6.8
AND,6.8,15.2
SO,18.5,19.1
AND,19.1,20.1
THEN,20.1,20.5
IT,20.5,20.8
KIND,20.8,21.0
OF,21.0,21.1
PAN,21.1,22.0
TO,22.0,22.1
INTRODUCE,22.1,22.7
ALL,22.7,23.0
THE,23.0,23.2
CHARACTERS,23.2,24.1
SO,24.1,25.3
THERE'S,25.3,25.8
MICHAEL,25.8,26.5
WAS,26.5,27.7
THE,27.7,28.8
MOST,28.8,29.4
NORMAL,29.4,30.0
HIGH,30.0,30.9
WORKING,30.9,31.2
ONE,31.2,31.6
OF,31.6,32.3
YOU,32.3,32.8
IS,32.8,32.9
EXPECTING,32.9,33.7
A,33.7,34.0
PROMOTION,34.0,35.2
FOR,35.2,37.9
ON,37.9,39.4
THAT,39.4,39.5
DAY,39.5,39.8
BECAUSE,39.8,40.0
IT,40.0,40.2
WAS,40.2,40.5
HIS,40.5,41.3
FATHER'S,41.3,41.6
RETIREMENT,41.6,42.5
PARTY,42.5,43.0
WHO,43.0,43.1
OWNS,43.1,43.5
THE,43.5,43.6
BRUCE,43.6,44.0
COMPANY,44.0,44.3
ON,44.3,45.8
AND,45.8,46.3
THEN,46.3,46.4
WE,46.4,46.6
MEET,46.6,46.8
MICHAEL'S,46.8,49.4
MOTHER,49.4,50.0
ON,50.0,51.0
WHAT'S,51.0,51.3
A,51.3,51.4
SEAL,51.4,52.0
AND,52.0,52.5
READ,52.5,52.6
ME,52.6,52.8
MICHAEL,52.8,53.5
SISTER,53.5,54.3
AND,54.3,54.5
MICHAEL'S,54.5,57.6
OLDEST,57.6,58.0
BROTHER,58.0,58.4
JOE,58.4,59.1
GOB,0.0,1.4
ANY,3.9,4.7
WAGES,4.7,5.0
OF,5.0,5.2
EACH,5.2,6.1
OF,6.1,6.3
THEM,6.3,6.5
SO,6.5,6.7
LINDSAY'S,6.7,7.0
SHES,9.2,9.8
AN,9.8,10.0
ACTIVIST,10.0,10.7
AND,10.7,11.0
SHE,11.0,11.3
DOES,11.3,12.8
A,12.8,12.8
LOT,12.8,13.0
OF,13.0,13.1
WINE,13.1,13.9
AND,13.9,14.2
CHEESE,14.2,14.5
FUNDRAISERS,14.5,15.3
AND,15.3,16.1
THEN,16.1,16.5
JOVE,16.5,18.3
IS,18.3,18.5
A,18.5,18.7
MAGICIAN,18.7,19.7
PART-TIME,19.7,20.4
MAGICIAN,20.4,20.9
DIES,24.2,26.0
AND,27.6,28.5
HE'S,28.5,28.7
PART,28.7,29.0
OF,29.0,29.1
LIKE,29.1,30.1
AN,30.1,30.2
ALLIANCE,30.2,30.6
MAGICIAN,30.6,31.2
TO,31.2,31.6
SHINE,31.6,32.9
AGAINST,32.9,33.2
ANY,33.2,33.4
MAGICIAN,33.4,33.9
WHO,33.9,34.0
REVEALS,34.0,34.1
THEIR,34.1,34.7
SECRETS,34.7,34.8
AND,34.8,37.4
THEN,37.4,38.2
THERE'S,38.2,38.6
BUSTER,38.6,39.1
IS,39.1,40.2
MICHAEL'S,40.2,41.3
YOUNGEST,41.3,41.3
FATHER,41.3,41.8
WAS,41.8,42.1
A,42.1,42.2
GRADUATE,42.2,42.6
STUDENT,42.6,42.7
AND,42.7,45.1
HE,45.1,45.5
HAS,45.5,46.4
BEEN,46.4,46.6
GOING,46.6,47.0
TO,47.0,47.5
COLLEGE,47.5,47.8
FOR,47.8,48.0
YEARS,48.0,48.1
ON,48.1,48.7
SCARE,48.7,49.2
INCLUDING,49.2,52.6
PHOTOGRAPHY,52.6,53.5
AND,53.5,54.8
AZTEC,54.8,55.5
DRAWING,55.5,55.9
SO,0.0,0.30000000000000004
AND,0.30000000000000004,0.9
THEN,0.9,1.1
WHILE,1.1,1.6
