IN,1.3,1.7000000000000002
THE,1.7000000000000002,1.8
BEGINNING,1.8,2.0
THERE,2.0,4.0
ARE,4.0,4.2
FIVE,4.2,4.9
AFRICAN,6.0,6.8
AMERICAN,6.8,7.3
MEN,7.3,7.4
IN,7.4,8.0
A,8.0,8.4
PARKING,8.4,9.2
LOT,9.2,9.3
OF,9.3,10.2
A,10.2,10.4
LIQUOR,10.4,10.8
STORE,10.8,11.3
AND,11.3,14.2
SO,14.8,15.3
THERE,15.3,15.8
ARE,15.8,15.9
THREE,15.9,16.4
OF,16.4,16.6
THEM,16.6,16.7
THAT,16.7,17.2
COME,17.2,17.6
OUT,17.6,17.8
OF,17.8,17.9
THIS,17.9,18.2
CAR,18.2,18.8
AND,18.8,19.2
THEN,19.2,19.6
TWO,19.6,20.8
OF,20.8,20.9
THEM,20.9,21.2
ARE,21.2,21.4
JUST,21.4,21.4
STANDING,21.4,22.8
I'M,23.6,24.1
SO,24.1,24.3
IT,24.3,24.5
SEEMS,24.5,24.9
THAT,24.9,25.1
THE,25.1,25.3
THREE,25.3,25.7
ARE,25.7,26.0
ARGUING,26.0,26.5
WITH,26.5,26.6
THE,26.6,26.8
TWO,26.8,27.2
ACTUALLY,27.2,29.0
THERE'S,29.0,29.6
FOUR,29.6,30.3
MEN,30.3,30.5
AND,30.5,30.7
ONE,30.7,31.0
WOMAN,31.0,31.5
AND,31.5,32.8
THE,32.8,33.6
WOMAN,33.6,34.1
AND,34.1,34.8
THE,34.8,35.7
MAN,35.7,35.8
SEEMED,35.8,36.5
TO,36.5,36.6
BE,36.6,36.8
A,36.8,36.8
COUPLE,36.8,37.2
AND,37.2,37.7
THEN,37.7,38.1
THEY,38.1,38.9
ARE,38.9,39.3
IN,39.3,39.9
A,39.9,40.0
ARGUMENT,40.0,40.7
WITH,40.7,40.9
THE,40.9,41.1
OTHER,41.1,41.4
THREE,41.4,41.8
ONE,42.9,47.0
OF,47.0,47.1
THE,47.1,47.3
THREE,47.3,48.0
PEOPLE,48.0,49.9
PULLED,49.9,50.7
OUT,50.7,51.1
A,51.1,51.3
GUN,51.3,51.3
AND,51.3,52.7
POINTED,52.7,53.1
IT,53.1,53.4
AT,53.4,53.6
THE,53.6,54.2
OTHER,54.2,54.4
GUY,54.4,54.8
AND,54.8,58.2
AFTER,59.0,59.7
THERE'S,0.0,1.7000000000000002
ALSO,1.7000000000000002,1.9
A,1.9,2.1
DOG,2.1,2.8
UNLIKE,2.8,4.4
THE,4.4,4.6
SIDE,4.6,5.0
OF,5.0,5.1
THE,5.1,5.3
PARKING,5.3,5.7
LOT,5.7,6.1
THAT,6.1,8.2
THE,8.9,9.3
ONE,9.3,9.7
GUY,11.1,11.6
KEEPS,11.6,12.1
LOOKING,12.1,12.3
AT,12.3,12.7
AND,12.7,15.2
THEN,15.2,15.9
I,16.8,17.1
THINK,17.1,18.0
I'M,18.0,19.3
NOT,19.3,19.5
SURE,19.5,19.7
IF,19.7,20.3
HE,20.3,20.4
SHOT,20.4,21.3
HIM,21.3,21.9
BUT,21.9,22.8
AFTER,22.8,23.8
THAT,23.8,24.0
IT,24.0,24.1
KIND,24.1,24.3
OF,24.3,24.4
FADED,24.4,24.7
AWAY,24.7,24.9
AND,24.9,25.3
THEN,25.3,25.6
IT,25.6,26.2
STARTED,26.2,26.7
HANDING,26.7,28.4
OVER,28.4,28.6
A,28.6,29.8
TOWN,29.8,30.2
WHICH,30.2,33.2
WAS,33.2,33.4
PRETTY,33.4,33.6
RUN,33.6,34.0
DOWN,34.0,34.1
AND,34.1,35.4
THEN,35.4,35.7
AFTER,35.7,36.2
THAT,36.2,36.2
IT,36.2,36.9
WENT,36.9,37.1
INTO,37.1,37.2
A,37.2,37.5
SCENE,37.5,38.1
IN,38.1,38.3
A,38.3,38.4
HOUSE,38.4,38.9
I,39.9,40.2
SAID,40.2,40.5
YES,40.5,41.9
SO,41.9,42.0
ONE,42.0,43.0
OF,43.0,43.1
THE,43.1,43.2
GUYS,43.2,43.6
FROM,43.6,43.8
THE,43.8,44.2
SHOOTING,44.2,45.3
FROM,45.3,45.5
THE,45.5,45.8
PARKING,45.8,46.2
LOT,46.2,46.4
SCENE,46.4,46.9
IN,46.9,48.1
BAD,48.1,48.5
WITH,48.5,48.7
A,48.7,48.8
GIRL,48.8,49.3
AND,49.3,50.7
SHE,50.7,52.3
WAKES,52.3,53.0
UP,53.0,53.1
FROM,53.1,53.5
A,53.5,53.8
DREAM,53.8,54.2
OR,54.2,55.8
SOMETHING,55.8,56.2
LIKE,56.2,56.5
THAT,56.5,56.5
AND,56.5,57.7
HE,57.7,57.9
ALSO,57.9,58.1
HAS,58.1,58.2
HEADPHONES,58.2,58.9
ON,58.9,59.0
AND,0.0,0.4
THEN,0.4,0.9
SHE'S,0.9,1.9
LIKE,1.9,2.0
WHY,2.0,2.3
ARE,2.3,2.5
YOU,2.5,2.7
AWAKE,2.7,3.1
AND,3.1,3.5
THEN,3.5,3.9
HE'S,3.9,4.2
LIKE,4.2,4.3
I,4.3,4.5
HAD,4.5,4.6
A,4.6,4.7
DREAM,4.7,5.0
AND,5.0,5.4
THEN,5.4,5.5
SHE,5.5,6.2
STARTS,6.2,6.5
ASKING,6.5,6.8
