ALRIGHT,2.1,2.8
SO,2.8,3.3
LAST,3.3,4.5
WEEK,4.5,4.6
AT,4.6,5.3
THE,5.3,5.5
BEGINNING,5.5,6.0
OF,6.0,6.0
THE,6.0,6.2
EPISODE,6.2,6.4
THEY,6.4,7.5
OPENED,7.5,8.1
IN,8.1,8.2
LIKE,8.2,8.5
PARKING,8.5,9.3
LOT,9.3,9.5
AND,9.5,9.6
I'VE,9.6,9.8
CONVENIENCE,9.8,10.7
STORE,10.7,11.1
SOMETHING,11.1,11.8
AND,11.8,13.2
THERE,13.2,13.6
WAS,13.6,14.0
BETWEEN,16.1,18.0
A,18.0,18.7
BOY,18.7,19.2
AND,19.2,19.9
A,19.9,20.4
MAN,20.4,20.5
WHO,20.5,21.2
HAD,21.2,21.4
DAMAGED,21.4,22.1
HIS,22.1,22.5
LIKE,22.5,22.9
SIDE,22.9,24.0
MIRROR,24.0,24.5
SO,24.5,25.4
EARNEST,25.4,26.7
WAS,26.7,26.8
THERE,26.8,27.0
TO,27.0,27.3
THE,27.3,30.0
SCENES,30.0,30.6
WITH,30.6,30.7
THE,30.7,31.0
TWO,31.0,31.6
OF,31.6,31.6
THEM,31.6,31.7
WENT,31.7,32.0
BACK,32.0,32.2
AND,32.2,32.4
FORTH,32.4,32.8
ON,32.8,33.0
PAPER,33.0,33.7
BOY,33.7,33.9
AND,33.9,35.2
THE,35.2,37.3
THE,38.2,38.6
GUY,38.6,38.8
WHO,38.8,39.1
IS,39.1,40.3
MIRROR,40.3,40.7
AND,40.7,41.1
HE,41.1,41.2
HAD,41.2,41.4
THAT,41.4,41.5
GIRLFRIEND,41.5,42.0
WITH,42.0,42.2
HIM,42.2,42.3
SO,42.3,42.6
THEY,42.6,42.7
WERE,42.7,42.9
LIKE,42.9,42.9
IN,42.9,43.2
A,43.2,43.2
CIRCLE,43.2,43.7
AND,43.7,44.8
AND,47.0,47.4
I,47.4,47.5
DID,47.5,47.8
WITH,47.8,48.3
A,48.3,49.0
GUNSHOT,49.0,49.4
AND,49.4,49.7
WE'VE,49.7,49.9
SEEN,49.9,50.1
FLASHES,50.1,51.2
OVER,51.2,51.4
TO,51.4,51.6
THIS,51.6,51.7
LIKE,51.7,52.1
BLACK,52.1,53.0
LIKE,53.0,53.4
DOGS,53.4,54.4
AND,54.4,55.0
WE,55.0,55.2
DIDN'T,55.2,55.4
REALLY,55.4,55.4
KNOW,55.4,55.7
WHAT,55.7,55.7
THE,55.7,55.9
DOG,55.9,56.2
WAS,56.2,56.3
THERE,56.3,56.5
FOR,56.5,56.8
BUT,56.8,57.1
WE,57.1,57.2
SAW,57.2,57.5
THE,57.5,57.6
DOG,57.6,57.9
ANYWAY,57.9,58.3
GUY,0.0,1.4
SHOT,1.4,1.8
AT,1.8,1.9
THE,1.9,2.1
BLACK,2.1,2.6
AND,2.6,3.6
THE,3.6,3.8
NEXT,3.8,4.3
SCENE,4.3,4.7
WE,4.7,5.6
GOT,5.6,5.8
LIKE,5.8,6.0
THE,6.0,6.2
OPENING,6.2,6.7
WHICH,6.7,7.5
WAS,7.5,8.2
AN,8.2,8.5
OVERVIEW,8.5,8.9
OF,8.9,9.2
THE,9.2,9.3
CITY,9.3,9.7
AND,9.7,10.0
A,10.0,10.1
LOT,10.1,10.4
OF,10.4,10.4
GREAT,10.4,11.5
EXTREME,11.5,11.9
LIKE,11.9,15.0
SUBURB,15.0,15.7
OF,15.7,16.8
THE,16.8,20.0
CITY,20.0,20.1
THAT,20.1,21.0
THEY,21.0,21.8
WERE,21.8,22.1
LIVING,22.1,22.4
IN,22.4,22.7
SO,24.5,24.9
THEN,24.9,26.3
WE,26.3,26.8
OPEN,26.8,27.3
WITH,27.3,27.5
A,27.5,27.6
SCENE,27.6,28.1
OF,28.1,28.6
ERNEST,28.6,29.0
AND,29.0,29.6
VAN,29.6,30.1
AND,30.1,31.6
THEY,31.6,32.1
WERE,32.1,32.2
LIKE,32.2,32.5
IN,32.5,33.7
BED,33.7,33.9
TOGETHER,33.9,34.1
I,34.1,35.1
HEARD,35.1,35.3
HE,35.3,35.4
WAS,35.4,35.5
LIKE,35.5,35.8
LISTENING,35.8,36.2
TO,36.2,36.5
MUSIC,36.5,36.8
AS,36.8,37.9
HEADPHONE,37.9,38.4
DEAD,38.4,38.8
MUSIC,38.8,40.3
IS,40.3,40.5
PRETTY,40.5,40.7
LOUD,40.7,41.1
ANYWAY,49.7,50.4
SO,50.4,51.1
AND,52.4,52.9
THE,52.9,53.0
TWO,53.0,53.2
OF,53.2,53.2
THEM,53.2,53.3
START,53.3,53.8
TALKING,53.8,54.4
DISCUSS,55.3,56.4
LIKE,56.4,56.7
KIND,56.7,57.1
OF,57.1,57.2
WHY,57.2,57.5
IT,57.5,57.7
WASN'T,57.7,57.9
WORKING,57.9,58.0
OUT,58.0,58.4
I,58.4,59.0
STARTED,59.0,59.2
MAKING,59.2,59.5
OUT,59.5,59.8
SHE,0.0,1.2
SORT,1.2,1.4
OF,1.4,1.5
LIKE,1.5,1.8
I,1.8,2.0
DON'T,2.0,5.7
REMEMBER,5.7,6.0
ALL,6.0,6.2
