OKAY,1.3,1.9
SO,1.9,4.8
AT,4.8,6.0
THE,6.0,6.1
BEGINNING,6.1,6.2
OF,6.2,6.8
THE,6.8,7.0
LAST,7.0,7.2
EPISODE,7.2,7.7
I,11.0,11.5
THINK,11.5,12.9
IT,12.9,12.9
WAS,12.9,13.0
ALREADY,13.0,13.6
HER,15.2,15.5
KNEE,15.5,15.8
IS,15.8,16.5
MAIN,16.5,17.0
CHARACTER,17.0,17.1
AND,17.1,18.2
HE'S,18.2,18.4
WITH,18.4,18.7
HIS,18.7,19.1
COUSIN,19.1,20.2
I,20.2,22.0
BRING,22.0,22.2
HIS,22.2,22.4
COUSINS,22.4,22.8
REAL,22.8,23.0
NAME,23.0,23.3
BUT,23.3,23.4
HIS,23.4,23.6
RAPPER,23.6,23.9
NAME,23.9,24.0
IS,24.0,24.4
LIKE,24.4,24.8
PAPER BOY,24.8,26.0
AND,27.4,28.2
I,28.2,29.5
THINK,29.5,29.7
IT'S,29.7,29.8
SUPPOSED,29.8,30.0
TO,30.0,30.1
BE,30.1,30.2
LIKE,30.2,30.4
A,30.4,30.5
FOUR,30.5,30.8
SHADOW,30.8,31.0
THE,31.0,31.4
VERY,31.4,31.8
ENDING,31.8,32.1
SCENES,32.1,32.6
ARE,32.6,32.6
THERE,32.6,32.7
IN,32.7,32.9
A,32.9,33.0
PARKING,33.0,33.4
LOT,33.4,33.4
TOGETHER,33.4,33.7
AND,33.7,35.9
WHAT,35.9,36.9
LOOKS,36.9,37.2
LIKE,37.2,37.3
A,37.3,37.5
GAS,37.5,38.7
STATION,38.7,38.7
7-ELEVEN,38.7,40.7
TYPE,40.7,41.4
STORE,41.9,44.8
THERE,44.8,45.4
AND,45.4,45.6
THEY'RE,45.6,45.8
SITTING,45.8,46.1
IN,46.1,46.3
THE,46.3,46.3
CAR,46.3,46.7
AND,47.7,48.4
SOMEONE,48.4,49.5
WALKS,49.5,49.7
BY,49.7,50.1
AND,50.1,50.4
KNOCKS,50.4,50.8
THE,50.8,50.9
REARVIEW,50.9,51.9
MIRROR,51.9,52.0
OFF,52.0,52.6
THE,52.6,52.7
CAR,52.7,53.1
AND,53.1,53.3
THE,53.3,53.4
PAPERWHITE,53.4,53.8
GETS,53.8,54.1
OUT,54.1,54.5
AND,54.5,55.7
IS,55.7,56.5
WORRIED,56.5,56.7
ABOUT,56.7,56.7
IT,56.7,57.0
THIS,57.0,57.8
GUY,57.8,58.2
HAS,58.2,58.5
GIRLFRIEND,58.5,58.9
UNFORGOTTEN,0.30000000000000004,1.2
COSTUME,1.2,1.6
ARE,1.6,1.9
AND,1.9,2.8
ERNIE,2.8,3.5
TRIES,4.8,5.3
TO,5.3,5.4
STOP,5.4,5.7
HOME,5.7,6.0
ANOTHER,9.2,9.8
RANDOM,9.8,10.2
DETAIL,10.2,10.9
WAS,10.9,11.3
THAT,11.3,11.4
THERE,11.4,11.6
WAS,11.6,11.7
A,11.7,11.8
DOG,11.8,12.3
THAT,12.3,13.1
THEY,13.1,13.3
NOTICED,13.3,13.8
IN,13.8,13.8
THE,13.8,13.9
PARKING,13.9,14.3
LOT,14.3,14.6
AND,14.6,16.1
I,16.1,16.2
LIKE,16.2,16.4
SHOWS,16.4,16.7
UP,16.7,16.8
LATER,16.8,17.0
IN,17.0,17.2
THE,17.2,17.3
EPISODE,17.3,17.4
WHICH,17.4,18.4
HAS,18.4,18.7
SOME,18.7,19.0
MEANING,19.0,19.3
I'M,19.3,19.6
NOT,19.6,19.7
SURE,19.7,20.0
WHAT,20.0,20.5
BUT,20.5,20.7
THERE,20.7,21.0
WAS,21.0,21.2
A,21.2,21.3
DOG,21.3,21.6
