OKAY,1.6,2.3
SO,2.3,2.7
THE,2.7,3.3
EPISODE,3.3,3.9
STARTS,3.9,4.6
WITH,4.6,5.1
THESE,5.1,5.3
THREE,5.3,5.6
GUYS,5.6,5.8
AND,5.8,6.9
THEN,6.9,7.8
WHO,8.8,9.2
WHO,9.2,9.3
ARE,9.3,9.6
IN,9.6,9.7
THE,9.7,9.8
CAR,9.8,10.3
AND,10.3,10.6
THEN,10.6,10.8
THIS,10.8,10.9
ONE,10.9,11.3
OTHER,11.3,11.8
GUY,11.8,12.1
KICKS,12.1,13.0
OFF,13.0,13.6
THE,13.6,14.0
THE,14.0,15.2
REAL,15.2,15.6
REAR,15.6,16.3
VIEW,16.3,16.7
MIRROR,16.7,17.0
ON,17.0,17.3
THE,17.3,17.4
CAR,17.4,17.7
WHICH,17.7,18.4
PISSES,18.4,19.4
OFF,19.4,19.8
ONE,21.1,21.6
OF,21.6,21.7
THE,21.7,21.8
GUYS,21.8,22.0
AND,22.0,22.8
THEN,22.8,23.9
AND,24.3,24.7
THEN,24.7,24.8
THEY,24.8,25.0
BASICALLY,25.0,25.8
FIGHT,25.8,26.4
IN,26.4,26.6
FRONT,26.6,27.5
OF,27.5,27.6
SOME,27.6,27.8
STORE,27.8,28.3
AND,28.3,29.0
THE,29.0,30.0
GUY,30.0,30.1
PULLS,30.1,30.5
OUT,30.5,30.6
A,30.6,30.8
GUN,30.8,30.9
AND,33.8,34.3
POINSETTIA,34.3,34.8
AT,34.8,34.9
THE,34.9,35.1
GUY,35.1,35.2
WHO,35.2,35.4
LIKE,35.4,36.4
WRECKED,36.9,37.6
HIS,37.6,37.8
VEHICLE,37.8,38.4
AND,38.4,39.0
THEN,39.0,40.0
YOU,40.5,40.9
HEAR,40.9,41.2
LIKE,41.2,41.4
A,41.4,41.4
BANG,41.4,41.8
AND,41.8,42.4
THEN,42.4,42.6
THE,42.6,42.8
SCENE,42.8,43.3
BASICALLY,43.3,44.0
CUTS,44.0,44.5
TONIGHT,44.5,45.3
I,45.3,46.6
GUESS,46.6,46.9
IT'S,46.9,47.2
LIKE,47.2,47.2
THE,47.2,47.4
BIRD'S,47.4,47.7
EYE,47.7,47.8
VIEW,47.8,47.9
OF,47.9,48.4
ATLANTA,48.4,49.2
AND,49.2,50.8
AND,50.8,50.9
THEN,50.9,51.7
YOU,51.7,51.9
AND,51.9,52.4
IT,52.4,52.7
SHOWS,52.7,54.1
THIS,54.5,55.0
GUY,55.0,55.2
AND,55.2,55.6
THIS,55.6,55.8
GIRL,55.8,56.2
