OKAY,2.9,4.1
SO,4.1,4.4
AT,4.4,4.8
THE,4.8,4.9
BEGINNING,4.9,5.0
THERE,5.0,6.6
IS,6.6,7.1
A,7.1,7.2
NARRATOR,7.2,7.7
AND,7.7,9.1
HE,9.1,9.6
IS,9.6,10.5
DESCRIBING,10.5,11.0
EVERYTHING,11.0,11.2
THAT'S,11.2,11.6
GOING,11.6,11.9
ON,11.9,12.0
AND,12.0,12.3
IT'S,12.3,12.5
THIS,12.5,12.7
WHOLE,12.7,13.0
PARTY,13.0,13.3
THAT'S,13.3,13.5
ON,13.5,13.6
A,13.6,13.7
BOAT,13.7,14.1
AND,14.1,15.3
THE,15.3,15.6
NARRATOR,15.6,16.0
TALK,16.0,16.4
ABOUT,16.4,16.6
HOW,16.6,16.8
THIS,16.8,17.2
IS,17.2,17.6
LIKE,17.6,18.4
A,18.4,18.4
RETIREMENT,18.4,18.8
PARTY,18.8,19.0
OR,19.0,20.3
THE,22.1,22.6
DAD,22.6,23.0
OF,23.0,23.0
ALL,23.0,23.1
THESE,23.1,23.3
KIDS,23.3,23.7
AND,23.7,25.2
HES,26.0,26.4
LIKE,26.4,26.6
TALKING,26.6,27.1
SPECIFICALLY,27.1,28.2
ABOUT,28.2,28.3
ONE,28.3,28.7
OF,28.7,28.8
THE,28.8,28.9
KIDS,28.9,29.3
WHOSE,29.3,29.5
NAME,29.5,29.8
IS,29.8,29.9
MICHAEL,29.9,30.4
AND,30.4,31.5
HE,31.5,33.4
LIKE,33.4,33.7
LEAVES,33.7,34.6
AT,34.6,34.7
HIS,34.7,34.9
FATHER'S,34.9,35.2
GOING,35.2,35.3
LIKE,35.3,35.6
HAND,35.6,35.9
HIM,35.9,36.1
THE,36.1,36.1
BUSINESS,36.1,36.4
MIGHT,36.4,39.0
MAKE,39.0,39.2
HIM,39.2,39.4
CEO,39.4,39.9
AND,39.9,40.8
SO,40.8,41.1
HE'S,41.1,42.8
LIKE,42.8,43.0
REALLY,43.0,43.1
EXCITED,43.1,43.7
AND,43.7,45.8
THEN,46.7,47.3
IT'S,47.3,47.6
LIKE,47.6,47.8
GOING,47.8,48.8
THROUGH,48.8,49.2
AND,49.2,49.7
LIKE,49.7,49.9
DESCRIBING,49.9,50.6
EACH,50.6,51.0
OF,51.0,51.2
THE,51.2,51.3
CHARACTERS,51.3,51.5
AND,51.5,52.0
SO,52.0,52.3
THEN,52.3,53.4
WE,53.4,53.5
SEE,53.5,53.7
HIS,53.7,53.9
MOM,53.9,54.1
HIS,54.1,54.3
NAME,54.3,54.5
I,54.5,54.6
THINK,54.6,54.7
IS,54.7,54.9
LIKE,54.9,55.1
LUCILLE,55.1,55.7
AND,55.7,57.2
SHE'S,57.2,58.7
MAD,58.7,59.0
BECAUSE,59.0,59.2
THERE'S,59.2,59.6
PARTY,1.1,2.0
BOAT,2.0,2.4
OR,2.4,2.5
THERE'S,2.5,2.8
A,2.8,2.8
BOAT,2.8,3.1
WITH,3.1,3.3
ALL,3.3,3.4
THESE,3.4,3.6
GAY,5.7,6.3
GUYS,6.3,6.8
ON,6.8,6.9
IT,6.9,7.1
THAT,7.1,7.3
ARE,7.3,7.3
PROTESTING,7.3,8.1
THE,8.1,8.3
YACHT,8.3,8.7
CLUB,8.7,8.9
AND,8.9,9.9
THEY'RE,9.9,10.0
ALL,10.0,10.1
DRESSED,10.1,10.5
UP,10.5,10.6
AND,10.6,10.8
SHE'S,10.8,11.0
LIKE,11.0,11.2
ANNOYED,11.2,11.5
THAT,11.5,11.6
THEY'RE,11.6,11.8
LIKE,11.8,11.9
DOING,11.9,12.7
THAT,12.7,12.9
SO,12.9,13.1
CLOSE,13.1,13.4
TO,13.4,13.6
THEM,13.6,13.9
THEIR,13.9,14.7
PARTY,14.7,15.1
AND,15.1,16.0
THEN,16.0,16.2
NEXT,16.2,17.4
TO,17.4,17.6
MEET,17.6,17.8
HER,17.8,18.0
SISTER,18.0,18.2
MICHAEL,18.2,19.3
SISTER,19.3,19.8
WHO,19.8,20.7
IS,20.7,20.8
HIS,20.8,21.0
TWIN,21.0,21.4
I,21.4,21.5
THINK,21.5,21.8
GRAMS,21.8,22.2
I,23.4,24.0
WANT,24.0,24.2
TO,24.2,24.3
SEE,24.3,24.5
NOT,24.5,25.2
REALLY,25.2,25.5
SURE,25.5,25.7
BUT,25.7,27.0
SHE,29.6,30.2
IS,30.2,31.2
LOOKING,31.2,31.5
AT,31.5,31.6
THE,31.6,31.7
BOAT,31.7,32.0
AND,32.0,32.1
SHE,32.1,32.3
SEES,32.3,32.8
THIS,32.8,32.9
GUY,32.9,33.2
SHE,33.2,34.0
SAID,34.0,34.2
I,34.2,34.3
THINK,34.3,34.4
I,34.4,35.2
HAVE,35.2,35.4
THAT,35.4,35.6
BLOUSE,35.6,35.9
AND,35.9,36.2
HER,36.2,36.6
MOM,36.6,37.0
IS,37.0,37.8
LIKE,37.8,38.2
SO,38.2,38.8
IT,38.8,39.0
LOOKS,39.0,39.2
BETTER,39.2,39.3
ON,39.3,39.6
THEM,39.6,39.9
AND,39.9,40.9
THEN,40.9,41.3
WE,41.3,42.9
MEET,42.9,43.1
MICHAEL'S,43.1,45.5
OLDEST,45.5,46.0
BROTHER'S,46.0,46.5
NAME,46.5,46.6
IS,46.6,46.9
JOE,46.9,47.2
AND,47.2,47.7
IS,47.7,47.8
REALLY,47.8,48.0
INTO,48.0,48.4
MAGIC,48.4,49.7
AND,49.7,50.4
APPARENTLY,50.4,50.7
LIKE,50.7,50.9
STARTED,50.9,51.4
ALLIED,53.3,54.2
LEAGUE,54.2,54.5
OF,54.5,54.7
MAGICIANS,54.7,55.4
WHO,55.4,55.5
LIKE,55.5,55.8
CHANGE,56.8,57.4
ANYONE,57.4,57.8
OUT,57.8,58.1
IF,58.1,58.7
THEY,58.7,58.9
EVER,58.9,59.1
LIKE,59.1,59.4
REVEALED,59.4,59.9
ONE,0.0,0.2
OF,0.2,0.2
THE,0.2,0.30000000000000004
SECRETS,0.30000000000000004,0.8
BEHIND,0.8,1.0
THE,1.0,1.2
HACKS,1.2,1.7000000000000002
AND,2.6,3.0
THEN,3.0,3.3
WE,3.3,3.6
NEED,3.6,4.8
MICHAELS,5.9,7.4
LITTLE,7.4,7.9
BROTHER,7.9,8.4
HE'S,8.4,10.8
LIKE,10.8,11.0
KIND,11.0,12.0
OF,12.0,12.1
A,12.1,12.2
WEIRD,12.2,12.6
GUY,12.6,12.8
IN,12.8,14.5
OVERSIGHT,14.5,18.4
CARTOGRAPHY,18.4,22.7
AND,23.1,24.2
THEN,24.2,24.6
I,27.9,28.8
WAS,28.8,30.6
TALKING,30.6,30.9
ABOUT,30.9,31.2
MICHAEL,32.7,34.1
IS,34.1,34.5
HAPPY,34.5,34.9
BECAUSE,34.9,35.2
HE,35.2,36.2
HAS,36.2,36.5
DECIDED,36.5,36.8
THAT,36.8,37.0
LIKE,37.0,37.2
AFTER,37.2,37.6
THAT,37.6,37.8
DAY,37.8,37.9
LIKE,37.9,38.1
HE'S,38.1,38.4
NEVER,38.4,38.5
GOING,38.5,38.8
TO,38.8,38.8
TALK,38.8,40.0
TO,40.0,40.2
HIS,40.2,40.4
FAMILY,40.4,40.6
AGAIN,40.6,41.2
AND,43.6,44.2
SOMETHING,44.2,44.6
ELSE,44.6,44.7
HAS,44.7,44.9
BEEN,44.9,45.0
MENTIONED,45.0,45.2
EARLIER,45.2,45.5
IS,45.5,45.9
THAT,45.9,46.0
HE,46.0,46.8
HADN'T,46.8,47.1
SEEN,47.1,47.3
HIS,47.3,47.5
TWIN,47.5,47.8
SISTER,47.8,48.0
AND,48.0,48.4
LIKE,48.4,48.5
OVER,48.5,48.8
A,48.8,48.9
YEAR,48.9,49.2
WHEN,49.2,50.2
IS,50.2,50.3
TWIN,50.3,50.6
SISTERS,50.6,51.0
MARRIED,51.0,51.2
TO,51.2,51.3
THE,51.3,51.4
SPENDING,51.4,51.8
TOBIAS,51.8,52.1
THAT,52.1,57.4
SHE,57.4,57.5
DID,57.5,57.7
THAT,57.7,57.8
AND,57.8,58.1
THEY'RE,58.1,58.2
LOOKING,58.2,58.3
LIKE,58.3,58.7
CHEESE,58.7,59.3
SOME,0.30000000000000004,1.2
LIKE,1.2,1.5
SOME,1.5,1.7000000000000002
KIND,1.7000000000000002,1.9
OF,1.9,1.9
CHEESE,1.9,2.1
PARTY,2.1,2.6
OR,2.6,2.7
WHATEVER,2.7,2.8
AND,2.8,4.2
THEY,6.7,7.1
OMN,7.1,9.8
HID,10.8,11.2
LIGHT,11.2,11.4
FLASHES,11.4,11.8
BACK,11.8,12.0
TO,12.0,12.1
ON,12.1,12.3
MICHAEL'S,12.3,12.7
TONIGHT,12.7,13.0
AND,13.0,13.8
IT'S,13.8,14.0
EXPLAINING,14.0,14.6
LIKE,14.6,14.7
WHAT,14.7,14.8
THEY,14.8,15.0
DO,15.0,15.2
IN,15.2,15.4
LIKE,15.4,15.5
THE,15.5,15.7
DADS,15.7,16.0
A,16.0,16.0
DEVELOPER,16.0,16.6
AND,16.6,17.9
DOWN,17.9,18.1
SO,19.2,19.6
IT,19.6,19.8
SHOWS,19.8,20.6
MICHAEL,20.6,23.5
AND,23.5,24.5
HIS,24.5,24.6
