SO,0.6000000000000001,2.4
LAST,2.4,3.2
WEEK,3.2,3.3
STARTED,3.3,4.1
OFF,4.1,4.4
WITH,4.4,5.4
MY,5.4,7.1
SHIRT,7.1,7.3
IN,7.3,7.5
THE,7.5,7.6
MIDDLE,7.6,7.9
OF,7.9,7.9
A,7.9,8.0
SCENE,8.0,8.6
OR,8.6,8.7
IN,8.7,9.0
A,9.0,9.1
CAR,9.1,9.5
IN,9.5,9.6
THE,9.6,9.6
PARKING,9.6,9.7
LOT,9.7,10.3
THERE,10.3,10.4
THREE,10.4,10.8
GUYS,10.8,11.2
ARE,11.2,11.7
JUST,11.7,12.1
GOT,12.1,13.9
A,13.9,14.0
DRIVER,14.0,14.3
SEAT,14.3,14.5
WHO'S,14.5,15.2
A,15.2,15.3
PAPER BOY,15.3,17.1
THERE,17.1,17.9
IS,17.9,18.0
THE,18.0,18.5
GUY,18.5,18.5
IN,18.5,18.8
THE,18.8,18.8
PASSENGER,18.8,19.2
SEAT,19.2,19.4
CHILDISH,19.4,20.4
GAMBINO,20.4,20.6
AND,20.6,21.3
MEET,21.3,21.5
YOU,21.5,21.7
IN,21.7,21.8
THE,21.8,21.8
BACK,21.8,22.0
FIRST,22.0,23.0
NAME,23.0,23.3
I,23.3,23.4
THINK,23.4,23.5
IS,23.5,23.6
DARREN,23.6,24.2
GIVE,24.2,26.3
ME,26.3,26.5
ANOTHER,26.5,26.7
TO,26.7,27.1
TALK,27.1,27.3
ABOUT,27.3,27.5
SOMETHING,27.5,27.9
I,27.9,28.1
FORGET,28.1,28.4
EXACTLY,28.4,28.6
WHAT,28.6,29.4
BUT,29.4,30.2
A,30.2,30.6
GIRL,30.6,31.3
THERE,35.3,35.7
A,35.7,35.9
GUY,35.9,36.1
WITH,36.1,36.8
A,36.8,36.8
GIRL,36.8,37.2
SMASHES,37.2,38.1
IN,38.1,38.3
THERE,38.3,38.6
THEIR,40.2,40.6
REARVIEW,40.6,40.9
MIRROR,40.9,41.4
FROM,41.4,42.9
THE,42.9,43.0
DRIVER,43.0,43.2
SIDE,43.2,43.7
AND,43.7,44.3
SO,44.3,44.8
YOU,44.8,45.1
KNOW,45.1,45.1
THE,45.1,46.1
PAPER BOY,46.1,46.6
HOP,46.6,46.9
STEP,46.9,47.1
OUT,47.1,47.5
OF,47.5,47.5
THE,47.5,47.7
CAR,47.7,47.7
AND,47.7,49.1
BRUSHES,49.1,49.5
UP,49.5,49.6
TO,49.6,49.7
THE,49.7,49.8
GUY,49.8,50.0
AND,50.0,50.2
I'M,50.2,50.3
JUST,50.3,53.0
GOING,53.0,53.1
HOME,53.1,53.2
AND,53.2,59.9
