ALRIGHT,0.2,1.8
SO,1.8,2.1
EPISODE,2.1,2.5
OPENS,2.5,2.8
UP,2.8,3.0
IN,3.0,5.6
JAIL,5.6,5.8
THEIR,9.7,11.4
BANTERING,11.4,12.3
JUST,14.1,14.8
GOING,14.8,15.0
BACK,15.0,15.2
AND,15.2,15.3
FORTH,15.3,15.5
ABOUT,15.5,15.7
LIKE,15.7,16.3
THE,16.3,16.4
CRIME,16.4,17.0
AND,17.0,17.1
THEN,17.1,17.3
NOW,17.3,18.4
THEY,18.4,18.5
SAID,18.5,18.8
GIRL,18.8,19.2
OFF,19.2,19.6
ON,19.6,19.8
THIS,19.8,19.9
OTHER,19.9,20.1
PART,20.1,20.9
OF,20.9,21.0
THE,21.0,21.1
ARE,23.1,23.5
THE,23.5,23.6
ROOM,23.6,24.1
NAMED,24.1,25.9
T-PAIN,27.9,30.3
MUSIC,30.3,30.4
VIDEO,30.4,31.0
ON,31.0,31.9
FIRE,31.9,42.0
AND,42.0,43.3
THEN,43.3,43.6
HIS,43.6,44.3
NAME,44.3,44.5
IS,44.5,44.7
CALLED,44.7,45.0
THE,45.0,53.7
COUNTER,53.7,54.1
DOING,54.1,54.4
PAPERWORK,54.4,54.9
AND,54.9,56.0
THEN,56.0,56.3
DOING,58.4,59.0
PAPERWORK,59.0,59.4
IN,59.4,59.6
LATE,59.6,59.9
COUNTER,0.0,0.5
IS,0.5,0.6000000000000001
LIKE,0.6000000000000001,0.9
I'LL,0.9,3.7
BE,3.7,3.9
HERE,3.9,4.3
AT,4.3,4.5
YOUR,4.5,4.6
ASSIGNED,4.6,5.2
COURT,5.2,5.6
DATE,5.6,6.0
OTHERWISE,6.0,6.8
I'D,6.8,8.2
GO,8.2,8.2
OUT,8.2,8.4
FOR,8.4,8.7
YOU,8.7,8.9
AND,11.4,13.2
NOW,13.8,15.1
IT,15.1,15.2
SEEMS,15.2,15.5
LIKE,15.5,15.6
WE,15.6,15.8
WERE,15.8,16.0
BY,16.0,16.1
MY,16.1,16.2
COUSIN,16.2,16.6
ERNIE,16.6,17.0
GAMBINO'S,17.0,18.6
REAL,18.6,18.8
NAME,18.8,18.9
NOW,18.9,19.9
WHAT,19.9,20.8
ABOUT,20.8,21.0
MY,21.0,21.2
COUSIN,21.2,21.4
ERNIE,21.4,21.7
BAIL,21.7,26.1
FOR,26.1,26.4
HIM,26.4,26.5
AFTER,26.5,27.9
HE'S,27.9,28.2
IN,28.2,28.4
THE,28.4,28.5
SYSTEM,28.5,28.7
SO,28.7,30.1
PAPERWORK,30.1,32.2
I,32.2,32.4
OR,32.4,32.8
WHATEVER,32.8,33.1
AND,33.1,34.4
DARREN,34.4,35.2
ROLLS,35.2,35.4
AROUND,35.4,35.7
HEADING,35.7,38.2
OUT,38.2,38.5
IN,38.5,39.5
THE,39.5,39.7
SECURITY,39.7,40.2
GUARD,40.2,40.4
COMES,40.4,40.7
UP,40.7,40.9
AND,40.9,41.0
GOES,41.0,41.1
LIKE,41.1,41.3
IT,41.3,41.4
WAS,41.4,41.6
AT,41.6,41.8
THAT,41.8,42.5
PAPER,42.5,42.9
BOY,42.9,43.0
HE'S,43.0,43.3
LIKE,43.3,43.5
ALL,43.5,43.7
YOU,43.7,43.9
EXCITED,43.9,44.9
AND,44.9,45.0
WHATEVER,45.0,45.4
WHATEVER,45.4,45.8
IS,45.8,49.9
A,49.9,49.9
BULLY.,49.9,50.2
AMUSING,50.2,51.0
NOT,51.0,52.3
PARTICULARLY,52.3,53.5
INTERESTED,53.5,54.1
IN,54.1,54.8
THE,54.8,54.9
GUY,54.9,59.9
LOCKED,0.0,0.5
HIM,0.5,0.5
UP,0.5,0.7000000000000001
TO,0.7000000000000001,0.9
CHAIRS,14.2,14.8
THAT,14.8,14.8
AND,14.8,16.4
THEN,16.4,17.2
RAPPING,18.1,18.7
DOCTOR,18.7,19.1
WORDS,19.1,19.3
KNOW,22.1,22.6
SO,22.6,22.8
THINKS,24.1,25.4
THEY,25.4,26.0
THEN,26.0,26.4
CUT,26.4,26.9
TO,26.9,27.2
A,27.2,28.4
SCENE,28.4,29.1
BACK,29.1,29.7
IN,29.7,30.2
BACK,33.4,33.9
IN,33.9,34.1
JAIL,34.1,34.5
WITH,34.5,34.8
ERNIE,34.8,35.4
WERE,35.4,36.2
YOU,36.2,36.9
KNOW,36.9,37.1
HE'S,37.1,37.3
PICKING,37.3,37.6
UP,37.6,37.7
A,37.7,37.8
PHONE,37.8,38.1
AND,38.1,38.3
HE'S,38.3,38.5
CALLING,38.5,39.0
VANESSA,39.0,39.1
AND,39.1,39.9
HIS,39.9,40.3
MESSAGE,40.3,40.8
IS,40.8,40.9
HIS,40.9,41.5
NEW,41.5,41.9
BABY,41.9,42.3
MOMMA,42.3,42.5
HE'S,42.5,43.5
JUST,43.5,43.7
LIKE,43.7,43.8
YO,43.8,44.0
CAN,44.0,44.2
YOU,44.2,45.3
YOU,47.1,47.5
PICK,47.5,47.7
ME,47.7,47.7
UP,47.7,47.9
TO,47.9,48.9
PAY,48.9,49.1
MY,49.1,49.2
BILL,49.2,49.7
PAY,49.7,50.0
BACK,50.0,50.4
ALONG,50.4,50.7
WITH,50.7,50.7
THE,50.7,50.8
RENT,50.8,51.3
YOU,51.3,53.0
KNOW,53.0,53.1
LOVE,53.1,53.7
YOU,53.7,53.9
BYE,53.9,54.0
AND,54.0,55.6
YOU,55.6,56.0
JUST,56.0,57.0
GETTING,57.0,57.2
VERY,57.2,57.5
WEIRD,57.5,57.8
BY,57.8,57.9
CHANCE,57.9,58.2
GUY,0.0,0.2
BEHIND,0.2,0.7000000000000001
THE,0.7000000000000001,0.9
GLASS,0.9,2.3
WINDOW,2.3,3.0
STARING,3.0,3.5
AT,3.5,3.7
HIM,3.7,4.1
THERE'S,4.1,4.3
LIKE,4.3,4.5
A,4.5,4.6
SECURITY,4.6,4.9
GUARD,4.9,5.1
IS,5.1,5.4
LAUGHING,5.4,5.9
AT,5.9,6.0
THE,6.0,6.0
CONTENT,6.0,6.5
OF,6.5,6.6
HIS,6.6,6.6
PHONE,6.6,7.0
CALL,7.0,7.3
AND,7.3,7.4
HANGS,7.4,8.2
UP,8.2,8.3
AND,8.3,8.5
WALKS,8.5,9.5
AWAY,9.5,9.6
AND,9.6,10.9
THEN,10.9,11.0
YOUR,11.0,11.2
NEXT,11.2,11.4
UPDATE,11.4,11.7
FOR,11.7,11.9
THE,11.9,12.2
RESTAURANT,12.2,13.1
YOU,13.1,14.8
ORDER,14.8,18.5
TAKEOUT,18.5,18.9
AND,18.9,19.2
WHY,19.2,19.3
DON'T,19.3,19.4
YOU,19.4,19.5
JUST,19.5,19.6
ORDER,19.6,19.8
FOR,19.8,20.1
ME,20.1,20.2
TO,20.2,24.9
WASH,24.9,25.2
MY,25.2,25.4
OTHER,25.4,25.6
PEOPLE,25.6,25.9
DO,25.9,27.5
YOU,27.5,36.1
CALL,36.1,36.3
ME,36.3,36.4
FOR,36.4,36.6
SOMETHING,36.6,36.9
AND,36.9,38.4
THEN,38.4,38.7
IT,38.7,39.8
COMES,39.8,39.9
UP,39.9,40.1
TO,40.1,41.2
THE,41.2,41.3
RESTAURANT,41.3,41.7
WITH,41.7,42.1
LIKE,42.1,42.3
TWO,42.3,42.5
BOXES,42.5,42.9
FOOD,42.9,48.1
AND,48.1,51.7
WHATEVER,51.7,56.4
ELSE,56.4,57.0
YOU,57.0,57.8
DON'T,57.8,57.9
LIKE,57.9,58.1
I'M,58.1,58.4
NOT,58.4,58.5
ABOUT,58.5,58.7
THOSE,58.7,59.0
SINGING,59.0,59.4
YOU,0.0,1.3
KNOW,1.3,1.5
BLACK,1.5,2.0
DUDE,2.0,2.3
LIKE,2.3,2.5
FETTY,2.5,2.8
WAP,2.8,2.9
AND,2.9,4.9
HE,4.9,5.1
SAID,5.1,5.3
YOU,5.3,5.5
KNOW,5.5,5.6
YOU'RE,5.6,5.8
ONE,5.8,6.0
OF,6.0,6.0
THE,6.0,6.1
LAST,6.1,6.4
REAL,6.4,6.5
RAPPERS,6.5,6.9
OUT,6.9,7.0
HERE,7.0,7.2
DON'T,7.2,7.5
LET,7.5,7.6
ME,7.6,7.7
DOWN,7.7,7.9
OVERALL,7.9,9.0
YOU,9.0,9.6
KNOW,9.6,9.7
I'M,9.7,12.1
VERY,12.1,12.3
CONFUSED,12.3,12.7
BY,12.7,13.2
DON'T,13.2,14.0
LET,14.0,14.1
ME,14.1,14.2
DOWN,14.2,14.4
BECAUSE,14.4,14.7
A,14.7,14.8
GUY,14.8,15.0
SAYS,15.0,15.2
CUZ,15.2,15.5
SEND,15.5,15.8
ME,15.8,15.9
OH,15.9,16.0
I,16.0,16.1
DIDN'T,16.1,16.4
I,16.4,16.5
DON'T,16.5,16.6
KNOW,16.6,16.8
WHAT,16.8,16.9
I,16.9,17.0
DO,17.0,17.2
AND,17.2,19.0
THEN,19.0,19.1
SO,19.1,19.2
YOU,19.2,19.3
JUST,19.3,19.5
LEFT,19.5,19.7
WITH,19.7,19.9
