SIR,0.0,1.7000000000000002
EPISODE,1.7000000000000002,2.0
STARTED,2.0,3.0
WITH,3.0,3.3
ALFRED,3.3,4.1
AND,4.1,4.3
ERNEST,4.3,5.6
IN,5.6,5.8
THE,5.8,6.0
MAIL,6.0,7.2
JUST,7.2,9.4
CHATTING,9.4,10.1
AND,14.0,14.8
THEN,14.8,15.1
THERE,15.1,15.3
WERE,15.3,15.4
TALKING,15.4,16.0
LIKE,16.0,16.5
THEN,16.5,17.8
THERE,17.8,17.9
WAS,17.9,18.1
A,18.1,18.2
GIRL,18.2,19.1
STANDING,19.1,19.5
ON,19.5,19.6
THE,19.6,19.8
SIDE,19.8,20.3
AND,20.3,20.5
HE,20.5,20.7
WAS,20.7,20.8
LIKE,20.8,20.9
TINA,20.9,28.8
AGENA,28.8,29.4
AND,29.4,29.6
THEN,29.6,29.7
SHE,29.7,29.8
TRIED,29.8,32.1
TO,32.1,32.3
HIDE,32.3,32.5
HER,32.5,32.7
GLANCE,32.7,33.2
IT,33.2,38.7
IS,38.7,38.9
GOING,38.9,39.1
TO,39.1,39.3
BE,39.3,39.3
OKAY,39.3,39.6
AND,39.6,40.0
IT,40.0,40.2
IS,40.2,40.5
LIKE,40.5,40.7
THIS,40.7,40.9
AFTERTHOUGHT,48.5,49.9
OFFER,49.9,52.2
GETS,52.2,52.5
CALLED,52.5,53.0
TO,53.0,54.2
LICK,54.2,55.6
HIS,55.6,55.8
NAME,55.8,56.0
GETS,56.0,56.2
CALLED,56.2,56.4
AND,56.4,56.9
THEN,56.9,57.2
THEY'RE,58.4,59.1
ALSO,59.1,59.3
SAYING,59.3,59.5
HELLO,59.5,59.8
BELIEVE,0.30000000000000004,1.2
THAT,1.2,1.3
I,1.3,1.5
NEVER,1.5,1.7000000000000002
GOT,1.7000000000000002,1.9
TO,1.9,1.9
EAT,1.9,2.9
LIKE,2.9,10.0
IT'S,10.9,11.5
NOT,11.5,11.7
AS,11.7,11.9
GOOD,11.9,12.2
AS,12.2,12.3
NOT,12.3,12.5
GETTING,12.5,12.9
ARRESTED,12.9,13.1
FOR,13.1,13.4
WEED,13.4,13.5
AND,13.5,14.4
SO,14.4,14.6
AFTER,14.6,15.8
THAT,15.8,16.0
SHE,17.5,18.1
WENT,18.1,18.8
TO,18.8,19.2
HE,22.6,23.0
WENT,23.0,23.4
TO,23.4,23.5
WENT,25.4,26.9
TO,26.9,27.0
THE,27.0,27.0
DESK,27.0,27.5
AND,27.5,28.3
THIS,28.3,29.2
WOMAN'S,29.2,29.5
LIKE,29.5,29.8
THAT,29.8,31.0
BAILED,31.0,31.3
OUT,31.3,31.4
I,58.8,59.2
HATE,59.2,59.4
THIS,59.4,59.5
PLACE,59.5,59.9
EARNEST,0.0,2.0
LEE,2.0,2.1
LEFT,2.1,2.5
THERE,2.5,2.7
BY,2.7,2.8
HIMSELF,2.8,3.0
AND,3.0,4.3
THEN,4.3,4.6
WHEN,4.6,4.9
YOU'RE,4.9,14.3
NOT,14.3,24.7
FLATTERED,24.7,25.1
MISSIONS,25.1,25.5
LIKE,25.5,25.7
UPSET,25.7,26.4
AND,26.4,26.6
LIKE,26.6,26.8
IT,26.8,27.0
DOESN'T,27.0,27.4
WANT,27.4,27.5
TO,27.5,27.6
DEAL,27.6,27.8
WITH,27.8,27.9
IT,27.9,28.2
