TO,0.8,1.4
THE,1.4,1.5
EPISODE,1.5,1.9
STARTS,1.9,2.6
ON,2.6,3.1
WITH,3.1,4.0
INDIGENOUS,4.0,4.7
TO,4.7,5.1
MICHAEL,5.1,5.4
BLUTH,5.4,5.8
AND,5.8,6.5
SON,6.5,6.7
SAID,6.7,6.9
HE'S,6.9,7.2
UP,7.2,7.3
HE'S,7.3,8.2
ON,8.2,8.3
A,8.3,8.4
BOAT,8.4,8.6
PARTY,8.6,8.8
FOR,8.8,9.1
HIS,9.1,9.3
RETIREMENT,9.3,10.0
AND,10.0,10.9
HE'S,10.9,11.2
EXPECTING,11.2,11.3
A,11.3,11.7
PROMOTION,11.7,12.4
NIGHT,12.4,13.5
WERE,13.5,13.8
INTRODUCED,13.8,14.3
TO,14.3,14.4
HIS,14.4,14.6
MOM,14.6,15.1
LUCILLE,15.1,15.7
AND,15.7,17.3
SHE'S,17.3,17.5
UPSET,17.5,17.9
SHE,17.9,18.4
SAYS,18.4,18.7
LOOK,18.7,19.0
WHAT,19.0,19.0
THE,19.0,19.2
HOMOSEXUALS,19.2,19.7
HAVE,19.7,20.0
DONE,20.0,20.0
TO,20.0,20.4
ME,20.4,20.5
AND,20.5,21.2
WHAT,21.2,24.2
SHE,24.2,24.4
MEANS,24.4,24.6
BUT,24.6,25.3
THEN,25.3,26.2
SHE,26.2,26.5
MOTION,26.5,27.9
SHE,27.9,28.2
LOOKS,28.2,28.4
HAPPY,28.4,28.5
HAS,28.5,29.1
NARRATOR,29.1,30.4
SAYING,30.4,31.3
ALL,31.3,31.6
THE,31.6,31.8
SINGLE,31.8,32.5
FAMILY,32.5,32.8
MEMBERS,32.8,33.2
AND,33.2,33.4
NARRATING,33.4,34.1
WHAT'S,34.1,34.3
HAPPENING,34.3,34.9
AND,34.9,35.9
THERE,35.9,36.3
IS,36.3,36.6
NEXT,37.8,39.0
TO,39.0,39.1
THEIR,39.1,39.3
LARGE,39.3,39.8
BONUS,39.8,40.4
THEIR,40.4,40.6
YACHT,40.6,41.0
THERE'S,41.0,41.2
A,41.2,41.4
MUCH,41.4,43.3
SMALLER,43.3,43.7
BOAT,43.7,44.3
WITH,44.3,44.5
A,44.5,44.6
BUNCH,44.6,45.0
OF,45.0,45.1
FLAMBOYANTLY,45.1,46.0
REST,46.0,47.2
GAY,47.2,47.4
MEN,47.4,47.9
WAS,50.3,50.7
SILENTLY,50.7,51.1
PROTESTING,51.1,52.1
THE,52.1,52.2
YACHT,52.2,52.4
CLUB,52.4,52.6
AND,52.6,53.3
I,53.3,53.8
WAS,53.8,54.0
SIGNED,54.0,54.3
SELIG,54.3,54.7
FREEDOM,54.7,55.4
AND,55.4,56.4
WHY,56.4,56.6
NOT,56.6,57.1
TAKE,57.1,57.4
A,57.4,57.6
PUN,57.6,58.9
LINDSEY,0.0,3.4
MICHAELS,3.4,3.9
TWIN,3.9,4.2
SISTER,4.2,4.7
WHO,4.7,5.6
THEY,5.6,6.8
HAVEN'T,6.8,7.0
SPOKEN,7.0,7.2
