SHOWED,1.0,2.2
EPISODE,2.2,2.7
STARTS,2.7,3.1
WITH,3.1,3.4
MICHAEL,3.4,3.8
BLUTH,3.8,4.3
HE,4.3,4.8
WAS,4.8,5.0
LIKE,5.0,5.2
THE,5.2,5.8
SON,5.8,6.3
OF,6.3,7.9
THIS,7.9,8.3
DEVELOPER,8.3,9.0
AND,9.0,11.0
SHES,12.5,13.3
LIKE,13.3,13.6
WORKS,13.6,14.5
REALLY,14.5,14.6
HARD,14.6,14.8
THING,14.8,15.2
IS,15.2,15.4
WORKING,15.4,15.7
BETTER,15.7,15.8
BUSINESS,15.8,16.3
LIKE,16.3,16.4
FOR,16.4,16.6
BASEMENTS,16.6,17.1
WHOLE,17.1,17.4
LIKE,17.4,17.7
BETWEEN,18.9,20.6
HIS,20.6,20.8
WHOLE,20.8,20.9
LIFE,20.9,21.1
AND,21.1,22.4
HE,22.4,23.1
I,25.0,25.3
GUESS,25.3,25.5
WE'RE,25.5,25.6
PRAYING,25.6,25.8
FOR,25.8,25.9
THIS,25.9,26.0
BOOK,26.0,26.3
PARTY,26.3,26.5
WHERE,26.5,26.7
HE,26.7,26.8
THINKS,26.8,27.0
HE'S,27.0,27.2
GOING,27.2,27.3
TO,27.3,27.4
BE,27.4,27.5
ANNOUNCING,27.5,27.9
THE,27.9,28.0
SUCCESSOR,28.0,28.6
TO,28.6,29.3
DAD'S,29.3,29.7
COMPANY,29.7,30.0
AND,32.8,33.8
IT,33.8,33.9
INTRODUCES,33.9,34.4
LIKE,34.4,34.7
ALL,34.7,34.9
OF,34.9,35.1
THE,35.1,35.5
CHARACTERS,35.5,36.1
IS,36.1,36.3
MICHAEL,36.3,37.0
THERE,37.0,37.7
IS,37.7,37.9
HIS,39.2,39.8
BROTHER,39.8,40.1
JOBE,40.1,41.2
TWO,4TWO.5,43.0
IS,43.0,44.2
LIKE,44.2,44.3
A,44.3,44.4
MAGICIAN,44.4,45.0
AND,46.6,47.3
PART,47.3,47.6
OF,47.6,47.6
THE,47.6,47.8
MAGICIAN'S,47.8,48.5
ALLIANCE,48.5,48.8
WHERE,48.8,50.0
THEY,50.0,50.2
LIKE,50.2,50.5
ARE,50.5,50.8
AGAINST,50.8,51.3
ANYONE,51.3,51.7
WHO,51.7,51.8
LIKE,51.8,53.2
THE,53.2,54.0
SECRET,54.0,54.2
OF,54.2,54.4
MAGICIAN,54.4,55.1
BROTHER,55.1,57.4
FORGET,3.1,4.1
WHO,4.1,4.4
IS,4.4,4.9
JUST,4.9,5.1
BEEN,5.1,5.2
GOING,5.2,5.4
TO,5.4,6.7
ALL,6.7,6.8
BE,6.8,6.9
LIKE,6.9,7.2
SCHOOL,7.2,7.5
FOR,7.5,7.6
ALL,7.6,7.7
THESE,7.7,7.8
LIKE,7.8,8.1
LESSONS,8.1,9.6
LIKE,9.6,10.6
RANDOM,10.6,11.6
STUFF,11.6,11.8
LIKE,11.8,11.9
CARTOGRAPHY,11.9,12.1
AND,12.1,12.8
SO,25.3,25.8
SHE,28.7,29.1
ALSO,29.1,29.3
HAS,29.3,29.6
MICHAEL,29.6,30.6
OUTSIDE,30.6,30.8
OF,30.8,30.9
THE,30.9,31.0
SUN,31.0,31.4
GEORGE-MICHAEL,31.4,31.7
AND,32.1,33.9
GEORGE-MICHAEL,34.6,35.4
WORKS,35.4,35.7
AT,35.7,35.9
HIS,35.9,36.4
GRANDPA'S,36.4,37.1
BANANAS,37.1,37.9
AND,37.9,38.0
HIS,38.0,38.2
GRANDFATHER,38.2,38.6
FOUNDED,38.6,39.2
AND,39.2,40.1
SELLS,40.1,40.5
FROZEN,40.5,40.8
BANANAS,40.8,41.6
AND,41.6,42.6
I'LL,46.1,47.0
HAVE,47.0,47.1
A,47.1,47.2
SISTER,47.2,47.6
LINDSAY,47.6,48.4
WHO,48.4,48.8
SHE,48.8,50.3
MARRIED,52.0,53.1
THIS,53.1,53.2
GUY,53.2,53.4
TOBIAS,53.4,55.8
BOUQUET,56.2,57.3
WHO,57.3,58.0
DOESN'T,0.5,1.1
HAVE,1.1,1.2
A,1.2,1.3
JOB,1.3,1.3
LOST,1.3,2.8
HIS,2.8,3.2
MEDICAL,3.2,4.1
LICENSE,4.1,4.8
BECAUSE,4.8,6.2
HE,6.2,6.4
DID,6.4,6.5
CPR,6.5,7.0
ON,7.0,7.3
SOMEBODY,7.3,7.6
WAS,7.6,7.7
ACTUALLY,7.7,8.0
SLEEPING,8.0,8.3
AND,8.3,9.7
SO,9.7,9.9
THAT,9.9,10.0
HE,10.0,10.1
DOES,10.1,10.3
HAVE,10.3,10.3
A,10.3,10.4
JOB,10.4,10.5
SHE'S,10.5,11.2
LOOKING,11.2,11.4
FOR,11.4,11.5
A,11.5,11.6
JOB,11.6,11.6
AND,11.6,12.9
I,12.9,13.1
WAS,13.1,13.7
LIKE,13.7,13.8
I,13.8,14.0
