I'M,0.4,1.0
SO,1.0,1.4
PHYSICALLY,1.4,2.2
EPISODE,2.2,2.8
STARTS,2.8,3.2
WITH,3.2,3.4
L,3.4,10.7
LIKE,12.9,13.6
I,13.6,13.9
DON'T,13.9,13.9
KNOW,13.9,14.0
LIKE,14.0,14.1
THE,14.1,14.3
TERMINOLOGY,14.3,15.0
BUT,15.0,15.1
THEY'RE,15.1,15.3
NOT,15.3,15.4
IN,15.4,15.7
JAIL,15.7,16.0
THEY'RE,16.0,16.2
JUST,16.2,16.4
LIKE,16.4,16.7
I'D,17.6,18.1
LIKE,18.1,19.6
THE,19.6,19.7
WAITING,19.7,20.1
AREA,20.1,20.2
I,20.2,20.4
GUESS,20.4,20.8
THEY,20.8,22.7
SEEM,22.7,23.7
LIKE,23.7,23.8
YOUR,23.8,32.0
VOICE,32.0,32.2
KIND,32.2,32.5
OF,32.5,32.6
LIKE,32.6,32.9
SEEM,37.7,38.3
LIKE,38.3,38.4
EARNEST,38.4,39.3
TALKING,39.3,39.8
SOMETHING,39.8,40.1
ABOUT,40.1,40.4
LIKE,40.4,40.6
THEY,40.6,40.8
TRY,40.8,41.1
TO,41.1,41.2
MAKE,41.2,41.4
HIM,41.4,41.6
RAP,41.6,42.0
ON,42.0,42.2
PAPER,42.2,42.5
BOY,42.5,42.7
FRIENDS,42.7,45.1
ALSO,45.1,45.2
LIKE,45.2,45.5
IT'S,45.5,45.9
THE,45.9,46.1
FIRST,46.1,46.1
TIME,46.1,46.4
I'VE,46.4,46.5
BEEN,46.5,46.6
IN,46.6,46.8
JAIL,46.8,47.0
PRINCESS,50.3,50.9
A,50.9,51.0
MOVIE,51.0,51.2
FORREST,51.2,51.6
GUMP,51.6,51.6
WHAT,51.6,51.8
HE,51.8,51.9
SAYS,51.9,52.3
THEY,56.8,57.1
SEE,57.1,57.4
A,57.4,57.8
GIRL,57.8,58.0
ON,58.0,59.4
OTHER,59.4,59.6
SIDE,59.6,59.8
ARE,0.0,0.6000000000000001
THE,0.6000000000000001,0.7000000000000001
RIM,0.7000000000000001,1.0
AND,1.0,2.6
A,2.6,4.3
CHEAP,4.3,6.5
LIKE,6.5,6.8
FROM,6.8,7.0
JAPAN,7.0,7.3
AS,7.3,8.3
A,8.3,8.4
CHEAPEST,8.4,8.7
VIDEO,8.7,8.9
LIKE,13.5,14.4
NO,14.4,14.6
THAT'S,14.6,14.8
NOT,14.8,14.9
HER,14.9,15.1
NAME,15.1,17.7
THERE'S,28.4,29.2
THIS,29.2,29.3
WEIRD,29.3,29.7
LIKE,29.7,31.0
FIGURE,31.0,31.5
THIS,31.5,31.7
GUY,31.7,32.0
IN,32.0,32.9
A,32.9,34.0
CLOSED,34.0,34.4
ROOM,34.4,34.7
WITH,34.7,35.1
WINDOWS,35.1,35.7
LOOKING,35.7,35.9
OUT,35.9,36.1
SO,36.1,37.3
WEIRD,37.3,37.7
WATER,43.1,55.4
AT,55.4,55.5
THE,55.5,55.7
SCENE,55.7,56.0
AND,56.0,56.6
THEN,56.6,56.7
I,56.7,56.9
GOT,56.9,57.1
I,57.1,57.2
WISH,57.2,57.5
THEY,57.5,57.7
WOULDN'T,57.7,57.9
LIKE,57.9,58.1
ME,58.1,58.3
LIKE,58.3,59.0
WE,59.0,59.2
HAVE,59.2,59.3
LESS,59.3,59.5
MARIJUANA,59.5,59.7
AND,5.0,5.4
THEN,5.4,5.7
PAPERWORK,5.7,6.0
IS,6.0,6.3
CALLED,6.3,6.5
UP,6.5,6.8
HE,6.8,7.6
IS,7.6,8.0
FREE,8.0,8.4
TO,8.4,8.5
GO,8.5,8.7
CIE,14.6,15.4
GETS,15.4,16.5
BUT,21.8,22.3
BASICALLY,22.3,22.5
IT'S,22.5,22.9
CALLED,22.9,23.2
UP,23.2,23.5
HE,23.5,23.6
GOES,23.6,23.8
TO,23.8,24.0
THIS,24.0,24.2
LIKE,24.2,24.7
DESK,24.7,27.0
AND,27.0,27.4
INVISIBLE,27.4,27.8
WOMAN,27.8,27.9
WHO,27.9,28.2
STOCK,28.2,29.3
INTO,29.3,29.5
A,29.5,29.6
SHE,31.4,32.0
IS,32.0,32.4
A,32.4,32.7
SCRIPT,32.7,33.1
FREE,33.1,33.3
TO,33.3,33.4
GO,33.4,33.5
HE,33.5,34.6
HAS,34.6,34.7
TO,34.7,34.9
GO,34.9,35.1
TO,35.1,35.5
A,35.5,35.8
COURT,35.8,36.4
TRIAL,36.4,36.8
AT,36.8,37.1
9,37.1,37.4
A.M.,37.4,37.8
ON,37.8,38.2
AUGUST,38.2,38.4
23RD,38.4,39.0
SOMETHING,39.0,39.3
BUT,41.7,42.1
BASICALLY,42.1,42.4
FOR,42.4,42.6
NICE,42.6,42.8
PRETTY,42.8,43.0
GIRL,43.0,43.3
AND,43.3,44.0
THEN,44.0,44.3
SHE,44.3,44.7
STARTS,44.7,45.0
ASKING,45.0,45.1
TO,45.1,45.3
EARN,45.3,45.7
LIKE,45.7,45.9
EARN,45.9,46.4
FREE,46.4,46.7
TO,46.7,46.8
GO,46.8,46.9
TO,46.9,47.0
AND,47.0,47.6
SHE'S,47.6,47.7
LIKE,47.7,47.9
OH,47.9,48.1
SHE'S,48.1,48.4
NOT,48.4,48.5
EVEN,48.5,48.7
IN,48.7,48.8
THE,48.8,48.9
SYSTEM,48.9,49.1
YET,49.1,49.4
SO,49.4,49.8
HE,49.8,50.6
CAN'T,50.6,51.0
BE,51.0,51.2
LIKE,51.2,52.6
FELL,52.6,53.2
BAILED,53.2,54.0
OUT,54.0,54.1
OR,54.1,54.4
SOMETHING,54.4,54.8
