SO,1.3,2.1
THE,2.1,3.0
EPISODE,3.0,3.7
STARTS,3.7,4.3
WITH,4.3,6.6
A,6.6,7.9
FIGHT,7.9,8.4
THAT,8.4,8.6
GOES,8.6,8.8
ON,8.8,9.1
IN,9.1,9.7
A,9.7,9.8
PARKING,9.8,10.1
LOT,10.1,10.2
WITH,10.2,11.0
THIS,11.0,11.3
GUY,11.3,11.6
CALLED,11.6,12.0
PAPERBOY,12.0,12.5
RAPPER,12.5,12.9
AND,12.9,14.3
HIS,14.3,15.4
SPIDER,15.4,16.1
CALLED,16.1,16.7
AND,16.7,20.2
ANOTHER,20.2,20.5
GUY,20.5,20.7
WAS,20.7,21.2
CALLED,21.2,21.6
DARIUS,21.6,22.4
AND,22.4,23.3
DAMIEN,23.3,24.0
THIS,24.0,27.1
OTHER,27.1,27.4
GUY,27.4,27.6
WITH,27.6,28.1
HIS,28.1,28.3
GIRLFRIEND,28.3,28.5
AND,28.5,30.5
HOW,30.5,31.4
AND,31.9,33.8
WHAT,33.8,34.0
HAPPENS,34.0,34.4
IS,34.4,34.8
THEY'RE,36.3,37.4
GOING,37.4,37.5
TO,37.5,37.5
FIGHT,37.5,37.9
THEY,37.9,38.0
START,38.0,38.2
TALKING,38.2,38.6
ABOUT,38.6,38.6
SOMETHING,38.6,39.0
ABOUT,39.0,39.1
A,39.1,39.2
CLUB,39.2,39.6
AND,39.6,40.3
THEN,40.3,40.6
JARRIUS,40.6,41.1
HE'S,41.1,41.2
A,41.2,41.5
DOG,41.5,41.9
AND,41.9,42.9
HE'S,42.9,44.0
LIKE,44.0,44.5
REALLY,44.5,44.6
HIGH,44.6,44.9
AND,44.9,45.2
HE,45.2,45.4
JUST,45.4,45.6
THINKS,45.6,46.6
THIS,46.6,46.7
DOG,46.7,47.0
IS,47.0,47.2
SOMETHING,47.2,47.6
AND,47.6,48.0
LIKE,48.0,48.2
HE'S,48.2,48.3
LIKE,48.3,48.5
WHOA,48.5,48.6
AND,48.6,49.6
THEN,49.6,49.9
AT,54.3,54.7
SOME,54.7,55.0
POINT,55.0,55.1
GUY,56.8,58.8
PULLS,58.8,59.1
OUT,59.1,59.1
A,59.1,59.3
GUN,59.3,59.4
AND,0.2,0.9
THAT,0.9,2.9
OTHER,2.9,3.7
GUY,3.7,3.8
WHO'S,3.8,4.0
WITH,4.0,4.1
HIS,4.1,4.3
GIRLFRIEND,4.3,4.5
AND,4.5,6.4
THEN,6.4,6.8
THE,6.8,7.8
CAT'S,7.8,8.5
GIRLFRIEND'S,8.5,8.9
LIKE,8.9,9.1
YOU,9.1,10.5
DON'T,10.5,10.6
WANT,10.6,10.7
TO,10.7,10.8
DO,10.8,10.9
THAT,10.9,11.0
CUZ,11.0,11.2
I,11.2,11.5
HAVE,11.5,11.8
OTHER,11.8,12.7
PEOPLE,12.7,13.0
BEHIND,13.0,13.9
YOU,13.9,14.2
WHO,14.2,15.1
LIKE,15.1,15.3
THAT,15.3,17.3
THEY,17.3,17.5
WILL,17.5,17.7
SHOOT,17.7,17.8
HIM,17.8,18.1
IF,18.1,18.3
HE,18.3,18.4
STILL,18.4,22.5
GETS,22.5,22.9
MAD,22.9,23.5
AND,23.5,23.7
SHOOT,23.7,23.9
AND,23.9,24.7
YEAH,28.7,29.1
SHE,29.1,29.2
TRIED,29.2,29.5
THE,29.5,29.5
WHOLE,29.5,29.7
THING,29.7,29.9
PRICE,32.1,33.1
TO,33.1,33.3
GET,33.3,33.5
PEOPLE,33.5,33.8
NOT,33.8,34.0
TO,34.0,34.3
BE,34.3,35.4
STUPID,35.4,35.7
BUT,35.7,36.0
YOU,36.0,36.1
STILL,36.1,36.3
LISTENING,36.3,36.6
STUPID,36.6,36.8
AFTER,39.1,39.7
THAT,39.7,40.1
ENDS,40.1,43.3
WITH,43.3,43.5
IS,43.5,44.4
FADE-OUT,44.4,45.1
INTO,45.1,45.2
LIKE,45.2,45.6
THIS,45.6,46.5
LONG,46.5,47.5
TANNING,47.5,48.6
OF,48.6,48.8
LIKE,48.8,49.1
AN,49.1,49.6
ARROW,49.6,49.9
SHOT,49.9,50.2
OF,50.2,50.5
EXCEDE,50.5,53.6
IN,53.6,53.8
THE,53.8,53.9
CITY,53.9,54.2
AND,54.2,54.9
LATER,54.9,55.3
WE,55.3,55.4
FIND,55.4,55.6
OUT,55.6,55.7
THAT'S,55.7,55.9
LIKE,55.9,56.1
BASKETBALL,0.2,2.6
COURTS,2.6,2.9
IN,2.9,3.0
DC,3.0,3.1
SUBURBS,3.1,4.5
THEN,7.1,8.4
YOU,8.4,8.5
HAVE,8.5,8.6
THE,8.6,8.7
TALISMAN,8.7,9.0
AND,9.0,9.4
THEN,9.4,9.6
AFTERWARDS,9.6,10.2
YOU,10.2,11.2
HAVE,11.2,11.7
LEARNED,11.7,15.6
TO,15.6,16.7
ACCEPT,16.7,16.9
NEXT,16.9,17.2
TO,17.2,17.3
HIS,17.3,17.6
WIFE,17.6,18.2
AND,18.2,19.5
LISTEN,19.5,20.9
TO,20.9,21.0
MUSIC,21.0,21.2
AND,22.5,23.2
YES,23.2,23.8
HE'S,23.8,24.0
HEADPHONES,24.0,24.5
ON,24.5,24.7
AND,24.7,25.7
HIS,25.7,25.9
WIFE,25.9,26.2
WAKES,26.2,26.5
UP,26.5,26.7
AND,26.7,27.5
IS,27.5,27.6
LIKE,27.6,27.8
WHY,27.8,27.9
YOU,27.9,28.2
WITH,28.2,28.5
HIS,28.5,29.9
HEADPHONES,29.9,30.4
AND,30.4,31.3
THEN,31.3,31.7
STARTS,31.7,33.1
TALKING,33.1,33.4
ABOUT,33.4,33.6
HIS,33.6,33.8
DREAM,33.8,34.0
STREAM,34.0,35.4
SHE,35.4,36.2
IS,36.2,36.9
IN,36.9,37.7
SPORT,37.7,38.4
AND,38.4,40.3
WHAT,40.3,46.9
ABOUT,46.9,47.0
STORY,47.0,47.6
EVENTUALLY,49.7,50.6
ARTISTS,1.1,2.7
LIKE,2.7,2.8
SHE'S,2.8,3.3
SHE'S,3.3,4.0
FAT,4.0,4.4
AND,4.4,4.5
SHE'S,4.5,4.7
INTERESTED,4.7,5.1
AND,5.1,6.3
THEN,6.3,8.2
HIS,8.7,9.8
WIFE,9.8,10.0
IS,10.0,10.1
LIKE,10.1,10.4
HIDING,10.4,14.5
SOMETHING,14.5,14.9
OR,14.9,18.9
SOMETHING,18.9,19.2
AND,19.2,19.5
THEN,19.5,19.6
SHE,19.6,21.3
GETS,21.3,28.0
UP,28.0,28.2
SHE,28.2,28.4
GOES,28.4,28.5
TO,28.5,28.8
THE,28.8,28.9
BATHROOM,28.9,29.0
AND,29.0,33.0
GOES,33.0,33.4
TO,33.4,33.6
ANOTHER,33.6,34.0
ROOM.,34.0,34.9
IT'S,34.9,35.1
RIGHT,35.1,35.6
OPPOSITE,35.6,36.4
FROM,36.4,36.7
BATHROOM,36.7,37.4
WHICH,37.4,38.1
HAS,38.1,38.5
HIS,38.5,40.0
DAUGHTER,40.0,40.3
AND,40.3,42.3
HE'S,42.3,43.4
TALKING,43.4,44.6
TO,44.6,44.8
HIS,44.8,45.0
DAUGHTER,45.0,45.2
AND,45.2,50.0
I,53.5,53.8
FORGOT,53.8,54.1
WHAT,54.1,54.3
I,54.3,54.4
LEARNED,54.4,58.2
AND,58.2,58.4
HIS,58.4,58.5
WIFE,58.5,58.8
TALK,58.8,59.1
ABOUT,59.1,59.1
WHAT'S,0.0,0.9
GOING,0.9,1.0
TO,1.0,1.1
HAPPEN,1.1,1.1
FOR,1.1,1.5
THE,1.5,1.5
REST,1.5,1.8
OF,1.8,1.8
THE,1.8,1.9
DAY,1.9,1.9
AND,1.9,8.2
SECOND,8.8,9.4
CITY,9.4,9.8
OR,9.8,10.4
I,10.4,10.5
DON'T,10.5,10.6
KNOW,10.6,10.7
SOME,10.7,11.5
OTHER,11.5,11.7
"STUFF,",11.7,12.4
I,12.4,12.5
THINK,12.5,12.5
AND,14.7,15.2
THEN,15.2,15.4
HIS,15.4,15.6
WIFE,15.6,15.7
ALSO,15.7,16.0
MENTION,16.0,16.4
THAT,16.4,16.5
SHE'S,16.5,16.9
GOING,16.9,17.0
ON,17.0,17.1
A,17.1,17.3
DATE,17.3,17.6
WITH,17.6,18.6
ANOTHER,18.6,18.8
GUY,18.8,19.1
WHILE,19.1,22.1
THEY'RE,22.1,22.4
IN,22.4,22.6
BED,22.6,22.9
LIKE,22.9,23.2
THEY,23.2,23.3
MAKE,23.3,23.6
HIS,23.6,25.2
WIFE,25.2,25.3
MAKE,25.3,25.6
OUT,25.6,25.7
RIGHT,25.7,25.9
AFTER,25.9,26.2
WORDS,26.2,27.2
AND,27.2,28.2
THEN,28.2,28.5
BEFORE,29.7,32.8
BEFORE,32.8,33.1
THE,33.1,33.4
BATHROOM,33.4,33.9
IN,33.9,33.9
THE,33.9,34.0
BABY,34.0,34.3
SCENE,34.3,34.5
BUT,34.5,35.2
WATER,35.2,35.5
MAKING,35.5,35.9
OUT,35.9,36.0
HIS,36.0,36.6
WIFE,36.6,36.7
IS,36.7,36.9
LIKE,36.9,37.1
SUNDAY,37.1,37.8
LIKE,37.8,37.9
TOLD,37.9,38.2
ME,38.2,38.2
THAT,38.2,38.3
SHE,38.3,38.4
LOVED,38.4,38.6
ME,38.6,38.7
AND,38.7,38.9
THEN,38.9,39.0
LAUGHS,39.0,40.2
AND,40.2,40.4
IT,40.4,40.5
DOESN'T,40.5,40.8
SAY,40.8,40.9
SHE,40.9,41.1
WANTS,41.1,41.4
HER,41.4,41.5
THAT'S,41.5,42.7
WHY,42.7,42.9
SHE'S,42.9,42.9
LIKE,42.9,45.3
WHY,45.3,46.8
DID,46.8,46.9
YOU,46.9,46.9
