SO,2.3,5.5
THERE,5.5,6.0
ARE,6.0,6.0
THREE,6.0,6.4
MEN,6.4,6.8
COME,6.8,7.3
OUT,7.3,7.4
OF,7.4,7.6
THE,7.6,7.7
TRUCK,7.7,8.8
AND,8.8,9.0
THEY'RE,9.0,9.2
PARKED,9.2,9.6
IN,9.6,9.7
FRONT,9.7,9.9
OF,9.9,10.2
WHAT,10.2,11.0
WE,11.0,11.2
LATER,11.2,11.5
DISCOVERED,11.5,11.5
AS,11.5,12.0
A,12.0,12.0
NIGHTCLUB,12.0,12.5
BUT,12.5,12.8
I,12.8,12.9
THINK,12.9,13.1
IT'S,13.1,13.2
ALSO,13.2,13.3
A,13.3,13.7
RAINBOW,13.7,14.1
VIDEO,14.1,14.6
STATION,14.6,15.5
LIKE,15.5,16.9
A,16.9,17.0
DINER,17.0,17.3
SET,17.3,17.6
UP,17.6,17.8
SO,17.8,18.4
THEY,18.4,18.5
COME,18.5,18.7
OUT,18.7,19.0
INTO,19.0,19.2
THE,19.2,19.2
PARKING,19.2,19.4
LOT,19.4,19.8
COME,21.5,22.9
ACROSS,22.9,23.2
A,23.2,23.4
COUPLE,23.4,23.6
WE,23.6,24.2
LATER,24.2,24.4
FIND,24.4,24.6
OUT,24.6,24.8
THAT,24.8,24.8
ONE,24.8,25.1
OF,25.1,25.1
THE,25.1,25.3
MEN,25.3,25.3
ONE,25.3,25.8
OF,25.8,25.9
THE,25.9,26.0
MEN,26.0,26.2
IN,26.2,26.2
THE,26.2,26.3
GROUP,26.3,26.5
OF,26.5,26.6
THREE,26.6,27.0
WAS,27.0,27.3
NICK,27.3,27.5
ALFRED,27.5,27.9
AND,27.9,28.2
THE,28.2,28.3
OTHER,28.3,28.5
DARIUS,28.5,28.9
NOT,28.9,29.8
SURE,29.8,29.9
WHAT,29.9,30.1
THE,30.1,30.2
THIRD,30.2,30.4
GUY'S,30.4,30.7
NAME,30.7,30.8
WAS,30.8,31.1
AND,31.1,32.6
THEY,32.6,32.7
COME,32.7,33.0
ACROSS,33.0,33.1
A,33.1,33.4
COUPLE,33.4,33.6
THERE'S,33.6,38.2
SOME,38.2,38.4
SORT,38.4,38.6
OF,38.6,38.6
CONFRONTATION,38.6,39.0
SO,39.0,39.9
ALFRED'S,39.9,40.5
RAP,40.5,41.7
NAME,41.7,42.0
IS,42.0,42.1
PAPER BOY,42.1,42.9
AND,42.9,44.0
THE,44.0,44.8
THE,44.8,45.6
BOYFRIEND,45.6,46.3
OF,46.3,46.6
THE,46.6,46.7
COUPLE,46.7,47.0
THAT,47.0,47.1
THEY,47.1,47.3
CROSS,47.3,48.6
SAYS,48.6,49.8
SOMETHING,49.8,50.3
ABOUT,50.3,50.6
HIS,50.6,51.0
MUSIC,51.0,51.4
NOT,51.4,51.6
BEING,51.6,51.9
GOOD,51.9,52.1
SO,52.1,52.4
ALFRED,52.4,52.9
PULLS,52.9,53.6
A,53.6,53.7
GUN,53.7,53.7
ON,53.7,54.0
HIM,54.0,54.1
AND,54.1,55.3
I,55.3,55.5
THINK,55.5,55.6
THAT,55.6,56.1
ALFRED'S,56.1,57.1
CALM,58.0,58.5
PATRIOT,58.5,59.1
PULLS,59.1,59.3
A,59.3,59.4
GUN,59.4,59.5
ON,59.5,59.8
ALFRED,0.0,0.9
AND,0.9,1.0
TURN,1.0,1.4
I,1.4,1.6
THINK,1.6,1.8
TO,1.8,1.9
DETER,1.9,2.2
HIM,2.2,2.5
OR,2.5,2.7
SOMETHING,2.7,3.2
AND,3.2,4.1
THE,4.1,5.0
BOYFRIEND,5.0,5.3
ALFRED,5.3,6.6
HAD,6.6,6.8
PULLED,6.8,7.1
A,7.1,7.2
GUN,7.2,7.3
OUT,7.3,7.5
ON,7.5,7.5
LIFE'S,7.5,10.2
A,10.2,10.3
GUN,10.3,10.6
AND,10.6,10.8
SAYS,10.8,11.0
THAT,11.0,11.1
HE,11.1,11.3
HAS,11.3,11.8
FRIENDS,11.8,12.7
WHO,12.7,13.0
ARE,13.0,13.1
IN,13.1,13.2
THE,13.2,13.3
AREA,13.3,13.6
AND,13.6,13.8
IF,13.8,14.0
YOU,14.0,14.1
WERE,14.1,14.2
TO,14.2,14.2
DO,14.2,14.4
ANYTHING,14.4,14.5
THAT,14.5,15.5
HE,15.5,15.6
BE,15.6,15.8
QUIET,15.8,15.9
AND,15.9,16.6
AN,16.6,22.7
AERIAL,22.7,23.1
VIEW,23.1,23.2
AND,23.2,23.8
THEN,23.8,23.9
IT,23.9,24.4
TURNS,24.4,24.7
TO,24.7,24.8
THE,24.8,24.8
TITLE,24.8,25.2
SEQUENCE,25.2,25.7
AND,25.7,27.0
IT,27.0,27.1
SHOWS,27.1,27.6
RUN-DOWN,31.3,34.2
HOMES,34.2,35.0
AND,35.0,35.9
SOME,35.9,36.2
LIKE,36.2,36.5
MCMANSION,36.5,37.5
DEVELOPMENT,37.5,38.2
TYPE,38.2,38.5
HOMES,38.5,40.7
AND,40.7,41.2
THEN,41.2,41.3
LIKE,41.3,41.7
ON,41.7,41.9
THE,41.9,42.2
SKYLINE,42.2,42.9
ATLANTA,42.9,44.3
APPEARS,44.3,45.3
ON,45.3,45.6
SCREEN,45.6,45.9
AND,45.9,47.2
IT,47.2,47.4
CUTS,47.4,47.9
TO,47.9,48.3
A,48.3,48.9
MAN,48.9,49.2
AND,49.2,49.3
A,49.3,49.4
WOMAN,49.4,49.5
THAT,49.5,49.7
YOU,49.7,50.6
FIND,50.6,50.9
OUT,50.9,51.0
THAT,51.0,51.2
THEIR,51.2,51.6
EARNEST,51.6,52.0
MARKS,52.0,52.5
AND,52.5,53.7
AND,53.7,54.7
VAN,54.7,55.3
PERSIE,55.3,58.6
THE,58.6,59.0
FAN,59.0,59.5
CUTS,0.1,0.6000000000000001
ABOVE,0.6000000000000001,0.7000000000000001
THEIR,0.7000000000000001,1.0
BAD,1.0,1.3
AND,2.2,2.8
EARNEST,2.8,3.5
TELLS,4.8,5.5
VAN,5.5,6.1
THAT,6.1,7.5
HE,7.5,8.7
HAD,8.7,8.8
A,8.8,8.9
DREAM,8.9,9.3
AND,9.3,10.4
HE,10.4,10.8
WAS,10.8,10.9
SWIMMING,10.9,11.2
IN,11.2,11.4
THE,11.4,11.5
OCEAN,11.5,11.9
AND,11.9,13.2
HE,13.2,13.5
WAS,13.5,13.7
TRYING,13.7,14.2
TO,14.2,14.3
NOT,14.3,14.9
BE,14.9,15.0
CAUGHT,15.0,15.4
BY,15.4,15.6
THE,15.6,15.8
SEAWEED,15.8,16.5
WHICH,16.5,17.2
SOME,17.2,17.7
WOMAN,17.7,18.0
HAD,18.0,18.2
TOLD,18.2,18.6
HIM,18.6,19.1
WOULD,19.1,20.0
GRAB,20.0,20.5
HIM,20.5,20.6
AND,20.6,20.8
PULL,20.8,20.8
IT,20.8,21.2
PULL,21.2,21.6
THEM,21.6,21.7
UNDER,21.7,22.0
AND,22.0,22.1
HE,22.1,22.2
THOUGHT,22.2,22.4
I,22.4,22.5
HAD,22.5,22.7
SOME,22.7,22.9
LIKE,22.9,23.1
PHILOSOPHICAL,23.1,23.5
SIGNIFICANCE,23.5,25.2
AND,25.2,26.3
DAN,26.3,27.5
IS,27.5,27.6
KIND,27.6,27.9
OF,27.9,28.0
CAUGHT,28.0,28.2
UP,28.2,28.4
BY,28.4,28.6
THE,28.6,28.6
FACT,28.6,28.9
THAT,28.9,28.9
THERE,28.9,29.1
WAS,29.1,29.2
A,29.2,29.3
WOMAN,29.3,29.4
THERE,29.4,29.7
AND,29.7,30.4
EARNEST,30.4,31.1
IS,31.1,31.3
LIKE,31.3,31.6
OH,31.6,32.1
YEAH,32.1,32.3
BUT,32.3,32.6
SHE,32.6,32.8
WAS,32.8,33.0
SAD,33.0,34.1
OR,34.1,34.3
SOMETHING,34.3,34.9
AND,34.9,36.0
SHE,36.0,36.2
SAID,36.2,36.4
OH,36.4,36.6
REALLY,36.6,37.1
THAT,37.1,37.2
YOU,37.2,37.4
MADE,37.4,37.5
OUT,37.5,37.7
WITH,37.7,37.8
HER,37.8,38.0
AND,38.0,38.2
HE,38.2,38.4
SAID,38.4,38.4
OH,38.4,38.7
I,38.7,39.0
DIDN'T,39.0,39.3
I,39.3,39.4
DIDN'T,39.4,39.7
SAY,39.7,39.8
THAT,39.8,40.0
AND,40.0,40.2
SHE,40.2,40.4
WAS,40.4,40.4
LIKE,40.4,40.7
WELL,40.7,40.9
DID,40.9,41.1
YOU,41.1,41.2
AND,41.2,41.5
HE,41.5,41.6
SAYS,41.6,41.8
YES,41.8,42.0
AND,42.0,44.0
I,44.0,44.1
THINK,44.1,44.2
THEY,44.2,45.8
GOT,45.8,46.0
SORT,46.0,46.6
OF,46.6,46.7
INTIMATE,46.7,47.3
AND,47.3,48.4
SHE,48.4,48.8
ASKS,48.8,49.3
HIM,49.3,49.4
TO,49.4,49.9
TELL,49.9,50.4
HER,50.4,50.7
THAT,50.7,51.8
HE,51.8,52.1
LOVES,52.1,52.5
HER,52.5,52.6
AND,52.6,53.7
HE,53.7,54.3
LAUGHS,54.3,54.8
BECAUSE,54.8,55.4
HE,55.4,56.4
THINKS,56.4,56.7
IT'S,56.7,56.8
FUNNY,56.8,57.0
THAT,57.0,57.1
SHE'S,57.1,57.4
ALWAYS,57.4,57.5
ASKING,57.5,57.8
FOR,57.8,58.0
THAT,58.0,58.1
REASSURANCE,58.1,58.5
BUT,58.5,59.7
THESE,0.0,0.2
ARE,0.2,0.4
PUT,0.4,0.8
BY,0.8,1.0
THE,1.0,1.0
LAUGH,1.0,1.5
AND,1.5,1.7000000000000002
SHE,1.7000000000000002,2.0
GETS,2.0,2.3
UP,2.3,2.6
SHE,2.6,3.2
WALKS,3.2,3.6
THE,3.6,3.8
BATHROOM,3.8,4.5
AND,4.5,7.3
ERNEST,7.3,8.0
ALSO,8.0,8.5
GETS,8.5,8.8
UP,8.8,9.0
THE,9.0,10.3
NURSERY,10.3,10.7
AND,10.7,11.3
PICKS,11.3,12.1
UP,12.1,12.2
THEIR,12.2,12.3
DAUGHTER,12.3,13.1
LOTTIE,13.1,13.7
FROM,13.7,14.3
THE,14.3,14.4
CRIB,14.4,14.8
HE,14.8,15.7
SAYS,15.7,16.1
THAT,16.1,16.4
SHE,16.4,16.6
NEEDS,16.6,16.7
SOMEONE,16.7,16.9
TO,16.9,17.0
WATCH,17.0,17.3
LOTTIE,17.3,17.8
FOR,17.8,18.5
THE,18.5,18.7
NIGHT,18.7,19.0
BECAUSE,19.0,19.2
SHE'S,19.2,20.1
GOING,20.1,20.3
TO,20.3,20.5
A,20.5,20.6
PTA,20.6,21.0
MEETING,21.0,21.2
AND,21.2,21.5
WE,21.5,21.6
LATER,21.6,21.7
FIND,21.7,21.9
OUT,21.9,22.1
THAT,22.1,22.1
SHE'S,22.1,22.3
ACTUALLY,22.3,22.5
GOING,22.5,22.8
TO,22.8,22.9
A,22.9,23.0
SHE,23.0,24.4
ALSO,24.4,24.7
ASKS,24.7,25.7
AND,26.2,27.5
IN,27.5,28.3
THE,28.3,28.4
MEANWHILE,28.4,28.7
I,28.7,28.8
THINK,28.8,29.1
IT,29.1,29.2
SEEMS,29.2,29.5
LIKE,29.5,29.6
I'M,29.6,30.3
JEALOUS,30.3,30.8
ABOUT,30.8,33.2
THE,33.2,33.4
FACT,33.4,33.8
THAT,33.8,33.9
HE'S,33.9,35.1
NOT,35.1,35.2
SPEAKING,35.2,35.6
WITH,35.6,39.7
SOMEONE,39.7,40.0
HE,40.0,41.0
THINKS,41.0,41.2
IS,41.2,41.5
UNDESIRABLE,41.5,42.1
OR,42.1,43.0
SOMETHING,43.0,43.5
AND,43.5,45.1
SHE,45.1,45.5
SOVANN,45.5,47.1
ASKS,47.1,48.3
HER,48.3,48.8
NEST,48.8,49.3
TO,49.3,49.7
WATCH,49.7,50.0
BODY,50.0,50.5
AND,50.5,51.4
ALSO,51.4,51.7
SAYS,51.7,52.1
THAT,52.1,52.5
IF,52.5,52.8
FURNACE,52.8,53.3
IS,53.3,53.4
GOING,53.4,53.6
TO,53.6,53.8
GOING,53.8,54.4
TO,54.4,54.4
CONTINUE,54.4,55.0
STAYING,55.0,55.3
AT,55.3,55.5
HER,55.5,55.7
APARTMENT,55.7,57.5
SHE'S,57.5,57.9
GOING,57.9,58.2
TO,58.2,58.2
NEED,58.2,58.3
HELP,58.3,58.5
WITH,58.5,58.7
THE,58.7,58.8
RENT,58.8,59.1
GOING,0.0,0.4
TO,0.4,0.5
NEED,0.5,0.5
TO,0.5,0.7000000000000001
BUY,0.7000000000000001,0.8
TONIGHT,0.8,1.1
AND,1.1,1.4
SHE,1.4,1.5
ALSO,1.5,1.8
TELLS,1.8,3.0
ERNEST,3.0,3.6
THAT,3.6,3.8
SHE,3.8,4.1
DOESN'T,4.1,4.6
WANT,4.6,4.7
ERNESTS,4.7,6.4
PARENTS,6.4,6.9
TO,6.9,7.0
BE,7.0,7.1
THE,7.1,7.2
ONES,7.2,7.5
WATCHING,7.5,7.8
LOTTIE,7.8,8.0
TONIGHT,8.0,8.6
RATHER,8.6,9.1
THAN,9.1,9.2
HIMSELF,9.2,10.1
AND,10.1,12.2
HE,12.2,12.3
AGREES,12.3,12.8
AND,12.8,13.5
I,13.5,13.7
GUESS,13.7,13.9
HE,13.9,14.1
GOES,14.1,14.6
OUT,14.6,14.8
AND,14.8,14.9
DECIDES,14.9,15.4
TO,15.4,15.5
GET,15.5,15.8
SOME,15.8,16.0
MONEY,16.0,16.1
SO,16.1,16.3
IT,16.3,16.6
CUTS,16.6,16.9
TO,16.9,17.1
HIM,17.1,17.9
AT,17.9,18.2
THE,18.2,18.2
AIRPORT,18.2,18.5
WITH,18.5,19.1
HIS,19.1,19.2
COWORKER,19.2,19.6
WHO,19.6,20.7
I,20.7,20.8
THINK,20.8,21.0
IS,21.0,21.2
NAMED,21.2,21.4
CHEF,21.4,22.0
AND,22.0,22.5
I,22.5,22.6
THINK,22.6,22.8
THEY,22.8,22.9
WORK,22.9,23.2
FOR,23.2,23.4
SOME,23.4,23.6
SORT,23.6,24.0
OF,24.0,24.0
LIKE,24.0,24.2
REWARDS,24.2,24.9
PROGRAM,24.9,25.4
BECAUSE,25.4,27.4
THEY,27.4,27.7
SEE,27.7,28.1
IS,28.1,29.8
EITHER,29.8,30.0
LIKE,30.0,30.4
A,30.4,30.6
COMPUTING,30.6,31.1
WORK,31.1,31.2
ON,31.2,31.4
THE,31.4,31.5
SAME,31.5,31.7
FIELD,31.7,32.0
OR,32.0,33.4
ONE,33.4,33.9
OF,33.9,34.0
THEIR,34.0,34.3
CO-WORKERS,34.3,35.8
SELLING,35.8,37.0
SOME,37.0,38.0
SORT,38.0,38.3
OF,38.3,38.4
PROGRAM,38.4,38.9
I,38.9,39.2
THINK,39.2,39.5
TO,39.5,39.8
SOME,39.8,39.9
GUY,39.9,40.2
IN,40.2,40.4
THE,40.4,40.5
AIRPORT,40.5,40.9
WAS,40.9,41.8
GOING,41.8,42.0
TO,42.0,42.0
GET,42.0,42.2
A,42.2,42.2
FREE,42.2,42.5
FLIGHT,42.5,42.8
TO,42.8,43.2
I,44.1,44.5
DON'T,44.5,44.7
KNOW,44.7,44.8
I,44.8,44.8
LIKE,44.8,45.3
THE,45.3,45.4
BAHAMAS,45.4,45.6
