SO,3.2,3.8
WE'RE,3.8,4.1
INTRODUCED,4.1,4.7
TO,4.7,4.8
THE,4.8,4.9
EPISODE,4.9,5.3
I,5.3,5.7
GUESS,5.7,5.9
A,5.9,6.0
BIT,6.0,6.3
BEFORE,6.3,6.5
WE'RE,6.5,7.8
WE'RE,7.8,8.0
GOING,8.0,8.0
TO,8.0,8.2
GO,8.2,8.4
BACK,8.4,8.5
TO,8.5,8.8
TIMEWISE,8.8,9.3
SO,9.3,9.7
THE,9.7,9.9
BLUTH,9.9,10.3
FAMILY,10.3,10.4
IS,10.4,11.2
ON,11.2,11.7
A,11.7,11.9
YACHT,11.9,12.5
THERE'S,12.5,14.8
GEORGE,14.8,16.0
BLUTH,16.0,16.7
KIND,16.7,18.5
OF,18.5,18.6
THE,18.6,18.7
PATRIARCH,18.7,19.3
HE'S,19.3,19.8
AHEAD,19.8,20.0
OF,20.0,20.2
THE,20.2,20.3
BOOTH,20.3,20.6
COMPANY,20.6,21.0
WHICH,21.0,21.2
I,21.2,21.3
GUESS,21.3,21.5
IS,21.5,21.6
LIKE,21.6,21.9
ON,21.9,22.2
A,22.2,23.1
HOUSE,23.1,23.4
IN,23.4,23.6
TRASH,23.6,23.9
COMPANY,23.9,24.3
HIS,24.3,25.7
WIFE,25.7,26.0
WAS,26.0,26.2
SEAL,26.2,26.6
HIS,26.6,28.1
SON,28.1,28.3
MICHAEL,28.3,28.7
IS,28.7,29.1
CRYING,29.1,29.4
ABOUT,29.4,29.5
THE,29.5,29.6
CENTER,29.6,30.0
OF,30.0,30.1
ALL,30.1,30.2
THIS,30.2,30.4
YOU,30.4,30.8
EXPECTED,30.8,31.5
OR,31.5,32.1
HE'S,32.1,32.3
EXPECTING,32.3,33.1
TO,33.1,33.8
TAKE,33.8,34.5
OVER,34.5,34.8
THE,34.8,35.0
COMPANY,35.0,35.1
THERE,35.1,38.7
IS,38.7,38.8
LINDSAY,38.8,40.1
MARRIED,40.1,41.3
ON,41.3,41.7
DR,41.7,42.5
TOBIAS,42.5,43.0
BIANCA,43.0,44.0
SHE,44.0,45.9
MOVED,45.9,46.5
TO,46.5,46.6
BOSTON,46.6,46.9
I,46.9,47.8
GUESS,47.8,48.2
HER,48.2,48.5
HUSBAND,48.5,49.9
YOU,49.9,50.8
LATER,50.8,51.2
REVEALS,51.2,51.7
THAT,51.7,51.9
HE,51.9,52.1
WAS,52.1,52.8
HEAD,52.8,53.2
OF,53.2,53.2
LIKE,53.2,53.7
THE,53.7,53.8
PSYCHIATRY,53.8,54.4
DEPARTMENT,54.4,54.8
AT,54.8,54.9
MASS,54.9,55.1
GENERAL,55.1,55.3
AND,55.3,56.5
YOU,56.5,57.3
GOT,57.3,57.5
LIKE,57.5,57.7
A,57.7,57.8
COUPLE,57.8,57.9
ROLLS,57.9,58.3
OF,58.3,58.5
GRIEF,58.5,58.7
FROM,58.7,58.8
ARCHIE,0.0,0.4
AND,0.4,0.8
PSYCHOLINGUISTICS,0.8,1.9
BUT,1.9,3.0
THERE'S,3.0,6.8
BUSTER,6.8,7.8
IS,7.8,8.8
WHO'S,8.8,9.8
GONE,9.8,10.2
THROUGH,10.2,10.2
A,10.2,10.7
LOT,10.7,10.8
OF,10.8,11.1
GRADUATE,11.1,12.3
STUDIES,12.3,12.8
SOME,12.8,14.3
OF,14.3,14.4
ITS,14.4,14.7
IN,14.7,14.7
NATIVE,14.7,15.3
AMERICAN,15.3,15.8
STUDIES,15.8,15.8
UM,15.8,16.7
IN,16.7,17.0
