SHOW,2.5,4.6
THE,4.6,4.8
EPISODE,4.8,5.0
BEGINS,5.0,6.0
WITH,6.0,6.3
OR,6.3,6.6
PEOPLE,6.6,7.3
OUTSIDE,7.3,7.7
OF,7.7,7.9
WHAT,7.9,8.8
LOOKS,8.8,9.0
LIKE,9.0,9.1
SOME,9.1,9.6
TYPE,9.6,9.8
OF,9.8,9.9
GAS,9.9,10.2
STATION,10.2,10.7
AND,10.7,12.3
ONE,12.3,13.4
PERSON,13.4,13.7
PULLS,13.7,14.1
A,14.1,14.1
GUN,14.1,14.2
ON,14.2,14.5
AND,14.5,14.9
THEN,14.9,15.7
ANOTHER,16.5,17.1
PERSON,17.1,17.6
FLASHES,17.6,18.5
THAT,18.5,18.6
THEY,18.6,18.7
BEGAN,18.7,19.0
ON,19.0,19.2
THEIR,19.2,19.3
HIP,19.3,19.7
AND,19.7,20.4
THEN,20.4,20.7
CHOSE,20.7,21.6
A,21.6,21.6
DOG,21.6,22.1
EYE,22.1,22.7
ROAD,22.7,23.2
AND,23.2,23.7
THEN,23.7,24.1
PERSON,26.4,27.1
SHOOTS,27.1,27.6
THE,27.6,27.7
OTHER,27.7,27.8
PERSON,27.8,28.5
AND,28.5,29.1
THEN,29.1,29.6
IT,29.6,29.9
TAKES,29.9,30.0
YOU,30.0,30.4
TO,30.4,30.7
LIKE,30.7,30.9
AN,30.9,30.9
OVERVIEW,30.9,31.3
OF,31.3,31.6
ATLANTA,31.6,32.1
AND,32.1,32.3
I,32.3,32.3
CAN'T,32.3,32.5
RECENT,32.5,32.9
EPISODE,32.9,33.6
AND,34.7,35.2
THEN,35.2,35.5
EARN,38.3,38.9
IT,38.9,39.2
IS,39.2,39.6
LIKE,39.6,40.6
WAKES,40.6,41.0
UP,41.0,41.3
NEXT,41.3,42.0
TO,42.0,42.4
HIS,42.4,43.3
EX-WIFE,43.7,44.7
FOR,44.7,44.9
EX,44.9,45.5
GIRLFRIEND,45.5,45.6
ARE,45.6,46.2
SOMETIMES,46.2,46.7
AND,46.7,47.5
TELLS,47.5,47.7
HER,47.7,48.5
ABOUT,48.5,49.0
HIS,49.0,49.6
DREAM,49.6,50.0
AND,50.0,51.8
SOMETHING,53.2,54.0
IN,54.0,54.1
THE,54.1,54.2
OCEAN,54.2,54.3
AND,54.3,55.6
THE,55.6,55.7
SEA,55.7,55.7
WEEDS,55.7,56.3
FINGERS,56.3,56.6
AND,56.6,57.5
OTHERWISE,0.0,0.4
I,0.4,0.5
WANT,0.5,0.6000000000000001
TO,0.6000000000000001,0.8
PULL,0.8,0.9
THEM,0.9,1.0
DOWN,1.0,1.3
STARTED,4.6,5.4
KISSING,5.4,5.7
GIRL,5.7,6.7
HE,6.7,6.9
WAS,6.9,7.0
WITH,7.0,7.4
AND,7.4,8.2
SHE'S,8.2,8.4
WORRIED,8.4,8.6
ABOUT,8.6,8.6
HER,8.6,8.8
MORNING,8.8,9.2
BREATH,9.2,9.6
AND,9.6,10.1
THEN,10.1,10.3
SHE,10.3,11.7
ASKED,11.7,12.1
HIM,12.1,12.3
TO,12.3,12.5
SAY,12.5,12.7
THAT,12.7,12.9
HE,12.9,13.2
LOVES,13.2,13.6
HER,13.6,13.8
AND,13.8,14.7
YOU,15.2,15.6
WOULD,15.6,15.8
REALLY,15.8,15.9
DO,15.9,16.3
IT,16.3,16.6
AND,16.6,17.0
THEN,17.0,17.3
I,17.3,17.7
QUESTION,17.7,18.0
WHY,18.0,18.1
SHE,18.1,18.3
WANTED,18.3,18.6
HIM,18.6,18.7
TO,18.7,18.9
SAY,18.9,19.0
THAT,19.0,19.1
AND,19.1,19.5
THEN,19.5,19.6
YOU,19.6,20.2
END,20.2,20.4
UP,20.4,20.5
SAYING,20.5,20.7
IF,20.7,20.9
SHE,20.9,21.1
GOT,21.1,21.2
MAD,21.2,21.6
AND,21.6,21.9
THEN,21.9,22.0
I,22.0,23.4
WENT,23.4,23.6
OVER,23.6,23.8
TO,23.8,24.8
THEIR,24.8,24.9
DAUGHTER,24.9,25.6
LIKES,27.2,27.9
I,27.9,28.0
WAS,28.0,28.3
TALKING,28.3,28.7
TO,28.7,28.7
HER,28.7,29.1
AND,29.1,29.4
THEN,29.4,29.8
THE,29.8,31.1
EX-WIFE,31.1,32.1
OR,32.1,32.3
WHATEVER,32.3,32.6
HAD,32.6,32.9
A,32.9,33.8
TEACHER,33.8,34.1
CONFERENCES,34.1,34.5
THAT,34.5,34.9
NIGHT,34.9,35.3
AND,35.3,35.4
THEN,35.4,35.5
SHE'S,35.5,35.7
GOING,35.7,35.8
ON,35.8,36.2
A,36.2,36.4
DATE,36.4,36.8
UNTIL,36.8,37.0
11,37.0,37.7
WANTS,39.2,41.4
HIM,41.4,41.5
TO,41.5,41.6
PAY,41.6,41.8
RENT,41.8,42.2
BECAUSE,42.2,42.3
HE'S,42.3,42.5
LIVING,42.5,42.8
THERE,42.8,43.0
AND,43.0,43.2
DOESN'T,43.2,43.4
HAVE,43.4,43.6
THE,43.6,43.7
MONEY,43.7,43.9
SO,43.9,44.3
HE,44.3,44.3
GOES,44.3,44.7
TO,44.7,44.9
HIS,44.9,45.8
PARENTS,45.8,46.4
HOUSE,46.4,46.7
AND,47.9,48.6
DAD,48.6,50.4
DOESN'T,50.4,50.6
LET,50.6,50.9
HIM,50.9,51.0
IN,51.0,51.1
THE,51.1,51.2
HOUSE,51.2,51.6
BECAUSE,51.6,52.7
YOU,53.5,54.0
SEEM,54.0,54.2
TO,54.2,54.3
JUST,54.3,54.4
WANT,54.4,54.7
SOME,54.7,54.9
MONEY,54.9,54.9
AND,54.9,56.3
HE,56.9,57.3
WAS,57.3,58.1
