SO,0.0,1.4
IT,1.4,1.6
OPENED,1.6,2.0
WITH,2.0,2.3
DON'T,2.3,5.0
KNOW,5.0,12.1
AND,19.5,21.1
A,21.1,21.4
BOY,21.4,21.7
SITTING,21.7,22.2
IN,22.2,22.7
THERE,22.7,26.1
SITTING,26.1,26.3
IN,26.3,26.7
CHAIRS,26.7,27.2
OUTSIDE,27.2,27.4
OF,27.4,28.0
LOOKS,28.0,28.4
LIKE,28.4,28.4
A,28.4,28.6
CELL,28.6,29.5
AND,30.2,32.7
THERE,32.7,33.2
WAS,33.2,33.3
ANOTHER,33.3,33.9
BLACK,33.9,34.4
GUY,34.4,34.5
AND,34.5,35.0
SO,35.0,35.3
HE,35.3,35.5
WAS,35.5,35.7
LIKE,35.7,35.8
STARING,39.0,40.3
AT,40.3,40.4
ALL,40.4,40.5
THE,40.5,40.6
MOVEMENT,40.6,41.0
HAPPENING,41.0,41.3
OUTSIDE,41.3,41.5
THEIR,41.5,41.8
LIFE,41.8,42.0
DESK,42.0,42.3
AND,42.3,42.4
STUFF,42.4,42.6
HE,42.6,42.8
WILL,42.8,42.9
BE,42.9,43.0
AROUND,43.0,43.3
TO,43.3,43.6
THE,43.6,44.7
DECIMAL,44.7,45.0
PLACE,45.0,46.4
CALLED,46.4,51.3
REALLY,51.3,51.5
FAST,51.5,52.1
AND,0.2,1.3
TALKING,1.3,3.3
ABOUT,3.3,3.4
HONESTLY,6.0,8.2
COULDN'T,8.2,8.4
QUITE,8.4,8.7
CATCH,8.7,8.8
WHAT,8.8,9.0
THEY,9.0,9.2
WERE,9.2,9.3
SAYING,9.3,9.4
IN,9.4,9.6
THE,9.6,9.7
BEGINNING,9.7,9.7
BUT,12.7,13.4
ARE,13.4,13.6
THEY,13.6,13.7
WERE,13.7,13.8
TALKING,13.8,14.1
AND,14.1,14.7
HE,14.7,16.6
WAS,16.6,16.9
LIKE,16.9,17.0
I'VE,17.0,17.1
NEVER,17.1,17.3
BEEN,17.3,17.9
IN,17.9,19.2
JAIL,19.2,19.5
BEFORE,19.5,19.6
ANNA,19.6,20.0
RUN,20.0,20.2
ARRESTED,20.2,20.6
PAPER BOY,20.6,26.0
WAS,26.0,26.3
LIKE,26.3,26.6
HE,26.6,28.6
WAS,28.6,28.7
ASKING,28.7,29.1
ABOUT,29.1,29.1
NO,29.1,38.7
IMMA,50.4,51.0
SHOW,51.0,51.2
CALLED,51.2,51.6
THE,51.6,51.9
GUY'S,51.9,52.2
NAME,52.2,52.3
ANYWAY,56.4,57.8
SHOW,0.0,1.9
YEAH,2.4,2.9
LIKE,2.9,5.8
THAT,5.8,6.4
ONE,6.4,10.3
TIME,10.3,10.5
AND,10.5,12.5
I,12.5,12.6
WAS,12.6,12.6
LIKE,12.6,13.3
WHATEVER,13.3,15.6
AND,15.6,16.0
I'M,16.0,17.2
IN,17.2,27.0
VAGINA,27.0,28.7
SMELLS,28.7,29.0
AND,30.8,31.7
THEN,31.7,31.9
THEY,31.9,32.0
HOLD,32.0,33.5
UP,33.5,33.7
AND,33.7,34.9
WE'RE,34.9,35.5
SITTING,35.5,36.6
THERE,36.6,36.9
ANY,36.9,37.0
LOOKS,37.0,37.3
A,37.3,37.3
LITTLE,37.3,37.4
BIT,37.4,37.6
MORE,37.6,37.7
NERVOUS,37.7,38.1
OUT,38.1,38.3
OF,38.3,38.4
THERE,38.4,38.6
BEFORE,38.6,40.9
I,40.9,41.2
LIKE,41.2,42.9
SONGS,42.9,43.2
GIRL,43.2,43.7
GINA,43.7,45.9
TO,45.9,48.1
END,48.1,48.8
THERE,2.2,2.7
WAS,2.7,3.0
LIKE,3.0,3.1
NO,3.1,3.3
I,3.3,3.6
TURNED,3.6,14.9
AWAY,14.9,15.1
WITH,15.1,15.4
THE,15.4,15.5
WEATHER,15.5,26.6
IS,26.6,26.9
LIKE,26.9,27.1
TO,27.1,27.3
FRESH,27.3,28.0
OUT,28.0,28.2
OF,28.2,28.3
LIKE,28.3,28.5
THE,28.5,28.6
EFFECTS,28.6,29.0
OF,29.0,29.1
FAME,29.1,29.5
AND,29.5,29.6
STUFF,29.6,29.8
THAT,29.8,30.0
EARTHQUAKES,30.0,30.6
ARE,30.6,30.7
IN,30.7,30.8
SLATER,30.8,31.2
JOHNNY,32.1,35.7
JUST,35.7,36.6
CALLED,36.6,36.7
UP,36.7,37.0
AND,37.0,37.1
THEN,37.1,37.4
WHICH,37.4,44.7
THIS,44.7,44.9
TIME,44.9,45.4
IS,45.4,45.6
RAP,45.6,46.0
MUSIC,46.0,46.1
OVER,46.1,46.7
TOWARD,46.7,47.1
ATLANTA,47.1,58.9
GEORGIA,58.9,59.2
LAUGHS,0.0,2.2
IN,2.2,2.4
AND,2.4,9.5
SIGNING,9.5,12.5
SOME,12.5,13.0
FORM,13.0,13.8
AND,13.8,13.9
BAIL,13.9,14.3
HER,14.3,14.5
POSTED,14.5,16.1
FOR,16.1,17.1
HIMSELF,17.1,17.6
AND,17.6,20.5
THEN,20.5,20.7
HE,20.7,20.8
ASKED,20.8,24.2
AND,26.7,27.2
THEN,27.2,27.5
LIKE,27.5,27.7
OH,27.7,27.9
WHAT,27.9,28.1
ABOUT,28.1,28.2
MY,28.2,28.4
FRIEND,28.4,28.9
HURTS,28.9,30.1
HIS,30.1,30.2
EYES,30.2,30.3
WHAT,30.3,31.5
ARE,31.5,31.6
MY,31.6,31.7
FRIENDS,31.7,32.2
AND,34.1,34.6
THEN,34.6,34.9
SHE'S,34.9,35.2
LIKE,35.2,35.3
OH,35.3,35.5
MY,35.5,35.6
GOD,35.6,36.0
HE'S,36.0,36.3
ON,36.3,36.4
THE,36.4,36.6
SYSTEM,36.6,36.9
YET,36.9,37.3
SO,37.3,37.5
WE,37.5,37.6
CAN,37.6,37.8
AND,37.8,38.7
THEN,38.7,38.8
HE'S,38.8,39.7
LIKE,39.7,39.8
WHAT'S,39.8,40.1
THE,40.1,40.1
CHARGE,40.1,40.6
THREE,0.0,0.5
SLIDE,0.5,0.9
PAPER,0.9,1.2
SOMETHING,1.2,1.6
SERVICE,1.6,2.1
START,10.1,10.5
WORKING,10.5,10.8
OUT,10.8,11.1
AND,11.1,12.4
HIS,12.4,14.4
FRIEND,14.4,15.1
AND,15.1,23.3
I,23.3,23.4
WATCHED,23.4,24.0
AND,24.0,25.8
HE'S,25.8,26.3
HE'S,26.3,26.4
THERE,26.4,26.8
HE'S,26.8,26.9
LIKE,26.9,27.1
YOU,27.1,27.2
GUYS,27.2,35.4
LIKE,35.4,40.8
OTHER,41.5,42.5
GUYS,42.5,42.8
LIKE,42.8,43.0
ALL,43.0,43.1
LIKE,43.1,43.2
WHERE'S,43.2,43.7
AND,43.7,44.0
I,44.0,44.0
FORGOT,44.0,44.4
THE,44.4,44.5
PRIDE,44.5,44.8
AND,44.8,48.0
JOY,48.0,55.2
BAIL,0.0,0.30000000000000004
BONDS,0.30000000000000004,0.5
NOT,0.5,0.8
TRUE,0.8,1.1
YOU'RE,1.1,3.3
LEAVING,3.3,3.8
A,3.8,3.8
BLACK,3.8,5.9
POLICE,5.9,6.6
OFFICER,6.6,7.1
HAD,7.1,12.0
TO,12.0,12.1
COME,12.1,12.3
AND,12.3,12.7
SAY,12.7,13.1
HELLO,13.1,13.2
AND,13.2,13.7
GET,13.7,13.9
A,13.9,14.0
PICTURE,14.0,14.3
STARING,14.3,25.3
UP,25.3,25.6
TO,25.6,25.8
SKY,25.8,26.2
WHEN,26.2,26.6
THE,26.6,26.7
POLICE,26.7,29.8
OFFICER,29.8,29.9
AND,29.9,38.6
THEN,38.6,38.8
AND,38.8,52.6
THEN,52.6,52.8
WALKING,11.1,14.0
OUT,14.0,14.1
WALKING,19.2,20.3
OUT,20.3,20.4
YEAH,25.7,26.2
I,26.2,26.4
DON'T,26.4,26.5
REMEMBER,26.5,26.9
EXACTLY,26.9,27.0
WHAT,27.0,27.6
SHE,27.6,27.8
COMES,27.8,28.3
NEXT,28.3,28.6
PROBABLY,32.2,33.3
COME,33.3,33.4
BACK,33.4,33.6
TO,33.6,34.5
US,34.5,35.3
AT,35.3,35.5
THIS,35.5,35.5
POINT,35.5,35.8
HE'S,35.8,37.0
LIKE,37.0,37.2
SITTING,37.2,37.4
IN,37.4,37.6
THIS,37.6,37.9
LOOKS,37.9,39.1
A,39.1,39.3
WAITING,39.3,39.7
ROOM,39.7,39.9
NO,39.9,41.4
LONGER,41.4,41.7
IN,41.7,41.7
THE,41.7,41.9
FIRST,41.9,42.4
PLACE,42.4,43.0
ARE,43.0,44.8
THE,44.8,44.9
MOST,44.9,45.2
POPULAR,45.2,45.6
IN,45.6,45.7
THE,45.7,45.8
SKY,45.8,46.1
GUARDED,50.1,51.0
YELLOW,51.0,51.3
SWEATER,51.3,51.8
AND,0.0,1.9
THIS,1.9,2.1
GUY,2.1,2.4
TURNED,2.4,2.9
AROUND,2.9,3.1
HE'S,3.1,3.3
LIKE,3.3,3.5
YEAH,3.5,3.6
WHAT,3.6,3.9
YOU,3.9,4.0
GETTING,4.0,4.2
HERE,4.2,4.3
FOR,4.3,4.5
AND,4.5,5.3
RETIRE,5.3,6.3
AND,12.7,13.5
I,13.5,14.6
WAS,14.6,14.9
LIKE,14.9,15.1
A,15.1,15.3
LITTLE,15.3,16.0
BIT,16.0,16.2
AND,16.2,16.4
THEN,16.4,16.5
TURN,16.5,17.7
AROUND,17.7,17.7
AND,17.7,17.9
HAS,17.9,24.0
LIKE,24.0,24.1
A,24.1,24.2
PENIS,24.2,25.7
ACCENT,28.5,29.1
ON,29.1,31.6
TINA'S,31.6,32.0
GUY,32.0,32.2
USE,32.2,33.3
THE,33.3,33.5
EDWARDS,33.5,33.9
ROUTE,33.9,34.3
BUT,34.3,34.6
THOSE,34.6,40.6
THINGS,40.6,40.7
OVER,40.7,41.1
ASIA,0.0,13.0
APOLOGIZES,32.6,34.8
COMPLAINING,34.8,45.2
AMERICAN,46.0,47.8
COACH,47.8,49.5
U2,49.5,52.1
PAPER BOY,52.1,53.2
AND,53.2,53.6
THE,53.6,53.8
THIRD,53.8,54.1
GUY,54.1,54.3
SITTING,54.3,54.8
FORGOT,57.4,58.6
SOMETHING,58.6,58.9
APPRECIATION,0.0,0.7000000000000001
IN,0.7000000000000001,0.8
VERY,0.8,1.2
FIRST,1.2,1.6
EPISODE,1.6,2.0
GUYS,3.5,5.6
DEAD,5.6,6.0
AND,6.0,7.9
TALKING,7.9,10.1
ABOUT,10.1,10.4
I,10.4,16.1
DON'T,16.1,16.2
KNOW,16.2,16.3
IF,16.3,16.4
I,16.4,16.5
MISS,16.5,16.9
SOMETHING,16.9,17.2
BUT,17.2,17.5
LIKE,17.5,17.7
I,17.7,17.8
DON'T,17.8,17.8
KNOW,17.8,18.0
WE,18.0,18.4
KNOW,18.4,18.5
AT,18.5,18.8
THIS,18.8,18.9
POINT,18.9,19.1
WHETHER,19.1,20.5
A,20.5,20.7
PAPER,20.7,21.0
BOY,21.0,21.1
WHO,21.1,21.5
SHOT,21.5,21.7
LIKE,21.7,22.1
TO,22.1,22.2
SHOPPING,22.2,22.7
I,26.1,26.5
DON'T,26.5,26.7
KNOW,26.7,26.8
THAT,26.8,26.9
WE,26.9,27.0
KNOW,27.0,27.3
YOU,29.4,29.7
SHOT,29.7,30.0
IT,30.0,30.1
AND,30.1,30.3
I,30.3,30.4
DON'T,30.4,30.5
KNOW,30.5,30.8
LIKE,30.8,31.1
WHY,31.1,32.1
THEY,32.1,33.0
GOT,33.0,33.1
OFF,33.1,33.4
ON,33.4,33.7
DALE,33.7,34.0
SO,34.0,34.1
EASILY,34.1,34.4
LIKE,34.4,34.8
I'M,34.8,34.9
NOT,34.9,35.0
REALLY,35.0,35.5
SURE,35.5,35.6
LIKE,35.6,35.9
WHAT,35.9,36.2
HAPPENED,36.2,37.2
WITH,37.2,37.3
THE,37.3,37.3
SHOOTING,37.3,37.6
AND,37.6,37.9
IF,37.9,38.0
SOMEONE,38.0,38.3
DIED,38.3,38.8
FOR,38.8,53.9
A,53.9,55.7
WHILE,55.7,55.7
I,0.0,1.9
DON'T,1.9,2.1
LIKE,2.1,2.2
WATCHING,2.2,2.4
PEOPLE,2.4,2.8
I,2.8,3.3
DON'T,3.3,3.4
LIKE,3.4,3.5
SHE'S,3.5,12.7
LIKE,12.7,12.8
SAYING,12.8,13.3
THOSE,13.3,13.7
OFF,13.7,14.1
HE'S,14.1,14.8
LIKE,14.8,15.0
WE,15.0,16.5
DON'T,16.5,16.7
LIKE,16.7,16.9
HOW,16.9,17.0
DO,17.0,17.1
WE,17.1,17.1
KNOW,17.1,17.4
FOR,17.4,17.6
A,17.6,17.7
WHILE,17.7,17.9
SOMETHING,17.9,22.6
ABOUT,22.6,22.9
SUBWAY,22.9,36.7
SALT,36.7,39.2
AND,39.2,39.4
PEPPER,39.4,39.6
SHAKERS,39.6,40.0
SOUND,42.7,43.6
OF,43.6,44.2
AN,44.2,44.7
UNFORTUNATE,44.7,45.3
AND,45.3,53.7
THE,53.7,55.8
GUY,55.8,55.9
IS,55.9,56.0
LIKE,56.0,56.2
YELLING,56.2,56.4
AT,56.4,56.7
YOU,56.7,56.9
AND,56.9,57.1
PRESERVERS,57.1,57.6
LIKE,57.6,57.9
YOU,57.9,58.0
SNICKER,15.2,15.8
YOUR,21.5,21.9
PAPER BOY,21.9,22.5
YOU'RE,22.5,23.0
ONE,23.0,23.2
OF,23.2,23.3
THE,23.3,23.4
LAST,23.4,23.9
GREAT,23.9,24.0
RAPPERS,24.0,24.8
AND,24.8,25.1
HE,25.1,25.3
SAYS,25.3,25.6
THAT,25.6,25.7
A,25.7,26.0
COUPLE,26.0,26.3
TIMES,26.3,26.5
I,26.5,27.0
THINK,27.0,27.1
TWICE,27.1,27.7
GUYS,27.7,34.5
WHO,34.5,34.7
SING,34.7,35.1
NOW,35.1,35.3
AND,35.3,36.0
AGAIN,36.0,36.4
FETTY,41.3,42.3
WAP,42.3,42.7
IN,42.7,42.8
LIKE,42.8,43.0
THEY'RE,43.0,43.2
ALL,43.2,43.3
KIND,43.3,43.5
OF,43.5,43.5
LIKE,43.5,43.7
CHOCOLATE,43.7,44.3
A,44.3,44.3
LITTLE,44.3,44.5
BIT,44.5,44.7
ABOUT,44.7,44.8
IT,44.8,45.0
FOR,45.0,46.2
LIKE,46.2,46.2
