LAST,0.8,2.6
WEEK'S,2.6,3.6
EPISODE,3.6,3.7
TO,3.7,5.7
ATLANTA,5.7,6.3
OPEN,6.3,7.1
UP,7.1,7.9
WITH,7.9,8.1
AN,8.1,8.2
ALTERCATION,8.2,8.5
AT,8.5,9.7
WHAT,9.7,9.9
I,9.9,9.9
ORIGINALLY,9.9,10.2
SEEMED,10.2,10.8
LIKE,10.8,11.0
A,11.0,11.1
GAS,11.1,11.5
STATIONS,11.5,12.2
WITH,12.2,12.3
PARKING,12.3,12.6
SPACE,12.6,13.4
LOOKS,13.4,15.7
LIKE,15.7,15.8
A,15.8,15.9
STORE,15.9,19.0
OR,19.0,19.8
THE,19.8,22.7
ACTUAL,22.7,23.0
SHOW,23.0,23.5
OPENS,23.5,24.1
WITH,24.1,24.3
OR,24.3,27.8
I,27.8,29.6
THINK,29.6,29.8
HIS,29.8,30.0
NAME,30.0,30.1
WAS,30.1,30.3
ERNEST,30.3,30.7
CAR,31.6,36.8
WINDOW,36.8,37.2
WAS,37.2,37.5
ESSENTIALLY,37.5,38.0
AND,38.0,39.8
BROKE,39.8,40.1
IT,40.1,40.3
SO,40.3,41.2
HE,41.2,41.3
STEPS,41.3,41.6
OUT,41.6,41.7
OF,41.7,41.8
A,41.8,41.9
CAR,41.9,42.3
THE,46.7,47.2
MAIN,47.2,47.7
CHARACTER,47.7,47.9
WHICH,49.5,51.6
I'M,51.6,51.8
I,51.8,51.9
AM,51.9,52.2
BLANKING,52.2,52.6
ON,52.6,52.7
HIS,52.7,52.8
NAME,52.8,53.1
RIGHT,53.1,53.2
NOW,53.2,53.3
BUT,53.3,53.7
HE,53.7,53.8
IS,53.8,53.9
ACTUALLY,53.9,54.1
FOLLOWS,54.1,54.7
AS,54.7,55.6
WELL,55.6,56.1
AND,58.3,58.9
THERE'S,58.9,59.6
A,59.6,59.7
SHORT,59.7,59.9
ANOTHER,0.0,1.4
MAN,1.4,1.8
AND,1.8,2.1
A,2.1,2.2
WOMAN,2.2,2.4
I'M,2.4,3.4
WITH,3.4,3.6
HIM,3.6,4.0
AND,4.0,5.0
WE,5.0,5.0
LEARN,5.0,5.3
MORE,5.3,5.4
ABOUT,5.4,5.5
THIS,5.5,5.8
LATER,5.8,6.0
AND,6.0,15.1
THEN,15.1,15.4
NEXT,15.4,15.7
TO,15.7,15.9
THE,15.9,16.0
INTRO,16.0,16.5
I,16.5,17.5
ALREADY,17.5,17.8
MOVED,17.8,18.1
ALL,18.1,19.9
OF,19.9,20.0
THESE,20.0,20.3
SCENES,20.3,21.2
OF,21.2,21.3
LIKE,21.3,21.7
A,21.7,22.5
BIRD'S,22.5,22.9
EYE,22.9,23.1
VIEW,23.1,23.2
DIFFERENT,23.2,23.9
PLACES,23.9,24.3
IN,24.3,24.6
THE,24.6,24.7
CITY,24.7,25.0
WEATHER,25.0,27.5
LIKE,27.5,27.9
PROPERTY,33.9,35.2
FOR,35.2,35.4
CONSUMING,35.4,35.6
PATIENTS,35.6,36.9
RASCAL,36.9,37.3
COURT,37.3,37.7
SEX,37.7,38.2
WORKERS,38.2,38.4
NAME,38.4,38.8
AND,41.0,41.5
I,41.5,41.6
BELIEVE,41.6,42.0
IT,42.0,42.2
STARTS,42.2,42.4
TO,42.4,43.0
THE,43.0,44.1
MAIN,44.1,44.4
CHARACTER,44.4,44.7
WAKE,44.7,53.7
ME,53.7,53.9
UP,53.9,54.1
WITH,54.1,54.3
HIS,54.3,54.9
GIRLFRIEND,54.9,55.2
AND,58.1,60.0
HE,0.0,0.30000000000000004
TALKS,0.30000000000000004,0.8
THROUGH,0.8,1.2
A,1.2,1.4
DREAM,1.4,1.7000000000000002
THAT,1.7000000000000002,1.9
HE,1.9,2.0
HAD,2.0,2.1
JUST,2.1,2.3
WOKEN,2.3,2.7
UP,2.7,2.7
ABOUT,2.7,4.9
AND,5.3,5.7
WEDGE,5.7,6.1
UNDERWATER,6.1,8.3
AND,8.3,11.6
RA,11.6,12.6
CAUSE,12.6,13.0
A,13.0,14.0
WOMAN,14.0,14.8
IN,14.8,15.1
HIS,15.1,15.2
TENNIS,15.2,15.8
SHOE,15.8,15.9
AND,15.9,16.0
TELL,16.0,16.2
HIM,16.2,16.3
NOT,16.3,16.5
TO,16.5,16.8
SWIM,16.8,17.1
TO,17.1,18.1
CONSTANT,20.0,20.7
AUTUMN,20.7,21.3
HAS,21.3,21.9
HAND,21.9,23.9
LIKE,23.9,24.6
SEAWEED,24.6,25.9
DREAMING,25.9,27.0
ABOUT,27.0,27.1
SHE,35.8,36.3
ASKS,36.3,37.4
HIM,37.4,37.5
JOKINGLY,37.5,39.6
IT,39.6,39.8
SEEMS,39.8,40.0
ABOUT,40.0,40.3
THE,40.3,40.7
WOMAN,40.7,40.8
HAS,40.8,41.0
DREAM,41.0,41.4
AND,41.4,43.1
THEN,43.1,43.2
IT'S,45.4,46.9
LIKE,46.9,47.0
LOVING,47.0,47.3
SINGING,47.3,47.9
THEY,47.9,48.0
LIKES,48.0,48.4
HER,48.4,48.5
KISSING,48.5,50.1
AND,50.1,50.2
SHE,50.2,51.2
PAUSES,51.2,51.8
TO,51.8,52.0
ASK,52.0,52.3
HIM,52.3,52.6
IF,52.6,52.9
HE,52.9,53.1
LOVES,53.1,53.5
HER,53.5,53.7
AND,53.7,55.7
HE,55.7,55.9
SORT,55.9,56.2
OF,56.2,56.2
CHUCKLES,56.2,56.8
AND,56.8,56.9
CONTINUED,56.9,57.3
AT,0.30000000000000004,0.7000000000000001
WHICH,0.7000000000000001,0.9
POINT.,0.9,2.0
SHE,12.1,13.2
STEPPED,13.2,13.5
INTO,13.5,13.7
THE,13.7,13.8
BATHROOM,13.8,14.0
TO,14.0,14.4
TAKE,14.4,14.9
DOWN,14.9,15.1
HER,15.1,15.3
HAIR,15.3,15.5
AND,15.5,19.7
HIS,19.7,23.1
DAUGHTER,23.1,23.4
SO,23.4,23.8
BABY,23.8,25.1
I'M,25.1,25.9
IN,25.9,26.1
HER,26.1,26.2
CRIB,26.2,26.7
ERNESTS,31.3,32.4
MENTION,32.4,35.1
HAVING,35.1,35.5
TO,35.5,38.0
TAKE,38.0,38.1
CARE,38.1,38.3
OF,38.3,38.7
THE,38.7,39.1
CHILD,39.1,39.4
AND,42.9,43.4
THEN,43.4,43.8
FOLLOWING,43.8,44.4
THAT,44.4,45.7
I,47.4,48.3
AM,48.3,48.7
WANT,48.7,49.1
TO,49.1,49.1
SAY,49.1,49.4
YOU,49.4,51.8
COCKS,53.0,54.3
TO,54.3,55.1
ERNEST,55.1,56.4
WORK,56.4,57.3
YES,0.0,0.6000000000000001
ARE,0.6000000000000001,0.7000000000000001
YOU,0.7000000000000001,0.7000000000000001
WORKING,0.7000000000000001,1.0
AT,1.0,1.2
AIRPORT,1.2,2.3
SEEMS,2.3,3.0
TO,3.0,3.1
BE,3.1,3.2
A,3.2,3.3
SALES,3.3,3.9
PERSON,3.9,4.7
OF,4.7,5.0
SOME,5.0,5.2
SORT,5.2,5.6
TRYING,5.6,7.3
TO,7.3,7.4
GET,7.4,7.7
PEOPLE,7.7,8.3
TO,8.3,8.4
SIGN,8.4,8.7
UP,8.7,8.8
FOR,8.8,9.1
A,9.1,9.7
SERVICE,9.7,10.1
OR,10.1,10.4
SOMETHING,10.4,11.4
AND,11.4,11.7
HE'S,11.7,13.4
NOT,13.4,13.5
DOING,13.5,13.9
SO,13.9,14.0
WELL,14.0,14.2
AND,14.2,14.7
YOU,14.7,15.3
JUST,15.3,15.5
HIM,15.5,16.1
AND,16.1,16.2
HIS,16.2,16.4
FRIEND,16.4,16.7
ARE,16.7,16.8
SORT,16.8,17.9
OF,17.9,18.0
STEPS,20.3,21.6
OF,21.6,21.6
HOW,21.6,21.7
HOW,21.7,21.8
GOOD,21.8,22.7
AN,22.7,23.8
OLDER,23.8,24.1
WONDER,24.1,24.8
WOMAN,24.8,25.2
BEST,25.2,33.0
FRIEND,33.0,33.3
BRINGS,33.3,34.7
UP,34.7,35.0
LEAVES,46.3,47.7
NEAR,47.7,48.7
PORT,48.7,49.1
AT,49.1,49.2
THAT,49.2,49.4
POINT,49.4,49.6
I,52.3,53.7
THINK,53.7,54.0
BEFORE,54.0,54.2
IT,54.2,55.1
GOES,55.1,55.4
TO,55.4,56.0
EARNEST,56.0,57.5
AT,57.5,57.8
WORK,57.8,58.4
SHE,59.3,59.7
SHE,59.7,59.8
HIS,0.0,0.6000000000000001
PARENTS,0.6000000000000001,1.1
HOUSE,1.1,1.8
HAS,1.8,4.2
COME,4.2,4.4
DOWN,4.4,4.5
SINCE,4.5,4.8
SPEAKS,8.0,9.9
THROUGH,9.9,10.2
TENNIS,10.2,10.7
BAG,10.7,11.0
INSIDE,11.0,12.8
THERE,16.1,16.6
SEEMS,16.6,16.8
TO,16.8,16.9
BE,16.9,17.0
A,17.0,17.1
SORT,17.1,17.3
OF,17.3,17.4
DISTANCE,17.4,17.9
THAT,17.9,18.1
HE,18.1,18.3
NEVER,18.3,18.5
STOPS,18.5,19.6
IN,19.6,19.7
THE,19.7,19.8
ACTUAL,19.8,20.1
HOUSE,20.1,20.7
HIS,22.3,22.7
DAD,22.7,23.0
HAS,23.0,24.1
NO,24.1,24.3
UNDERSTANDING,24.3,25.6
THAT,25.6,26.2
ERNEST,26.2,27.2
WOULD,27.2,27.3
BE,27.3,27.4
COMING,27.4,27.8
TO,27.8,27.9
SEE,27.9,28.0
HIM,28.0,28.2
FOR,28.2,28.5
MONEY,28.5,29.9
SO,29.9,31.0
IT,31.0,32.2
DOESN'T,32.2,32.4
APPEAR,32.4,32.7
THAT,32.7,32.8
AND,32.8,37.8
THEN,37.8,38.1
THERE'S,38.1,38.4
A,38.4,38.5
MENTION,38.5,38.9
OF,38.9,39.3
FINISH,43.6,44.1
HAVING,44.1,44.4
MAYBE,44.4,45.1
ONCE,45.1,45.5
AND,45.5,58.4
THEN,58.4,58.7
GOES,58.7,59.0
TO,59.0,59.3
HIS,59.3,59.9
AIRPORT,0.0,2.3
AND,2.3,2.7
THEN,2.7,2.9
AFTER,2.9,3.2
THAT,3.2,3.2
SCENE,3.2,3.8
CUTS,5.2,6.6
BACK,6.6,6.9
TO,6.9,7.1
HIM,7.1,7.5
TRIP,7.5,9.1
GOING,9.1,9.4
BACK,9.4,9.7
TO,9.7,10.1
BOY,14.5,14.9
CUTS,14.9,15.3
INTO,15.3,15.9
A,15.9,16.6
PAPER,16.6,17.2
BOYS,17.2,17.7
SORT,17.7,18.1
OF,18.1,18.1
A,18.1,18.2
PRAYER,18.2,20.3
I'LL,20.3,20.6
TRY,20.6,20.9
AND,20.9,23.6
HE'S,23.6,23.9
INSIDE,23.9,24.2
SITTING,24.2,25.4
ON,25.4,25.6
THE,25.6,25.7
COUCH,25.7,26.1
AND,26.1,27.0
SHE,27.0,27.2
IS,27.2,27.5
THROWING,27.5,28.2
SOMETHING,28.2,28.6
TO,28.6,29.5
SMOKE,29.5,29.8
HIS,29.8,30.9
FRIEND,30.9,31.3
IS,31.3,31.6
ON,31.6,31.9
COMES,33.2,34.4
OUT,34.4,34.4
OF,34.4,34.5
THE,34.5,34.6
KITCHEN,34.6,34.8
APRON,34.8,35.5
ASKING,38.6,39.4
WHETHER,39.4,39.6
OR,39.6,39.7
NOT,39.7,39.9
LIKE,39.9,40.1
THE,40.1,40.4
MILK,40.4,40.7
IS,40.7,40.9
GOOD,40.9,41.1
TO,41.1,41.6
DRINK,41.6,42.1
OR,42.1,42.4
TO,42.4,42.5
USE,42.5,42.9
DOOR,42.9,51.5
AND,51.5,53.3
THEN,53.3,53.8
READY,57.5,58.8
FOR,58.8,59.1
IT,59.1,59.7
BEING,0.0,0.7000000000000001
SOME,0.7000000000000001,1.1
SORT,1.1,1.2
OF,1.2,1.4
ALTERCATION,1.4,2.4
OR,2.4,2.7
SOMETHING,2.7,3.5
BUT,3.5,3.7
THEY'RE,3.7,3.9
PREPARED,3.9,4.5
TO,4.5,4.5
GO,4.5,14.3
TO,14.3,14.4
SPACE,14.4,14.9
BETWEEN,14.9,15.0
LIKE,15.0,15.4
THE,15.4,15.6
DOOR,15.6,15.9
AND,15.9,16.1
