OKAY,0.4,1.0
SO,1.0,1.4
THE,1.4,3.4
SHOW,3.4,4.4
BEGINS,4.4,5.3
AND,6.6,7.8
A,7.8,8.0
PARKING,8.0,8.8
LOT,8.8,8.9
AREA,8.9,9.4
CONVENIENCE,9.4,12.3
STORE,12.3,13.0
AND,13.0,14.1
GIVE,15.4,17.1
ME,17.1,17.1
THE,17.1,17.2
CHARACTERS,17.2,17.5
ARE,17.5,17.8
IN,17.8,17.9
A,17.9,18.0
CAR,18.0,18.3
SOMEONE,22.1,23.1
I'LL,23.1,24.1
TELL,24.1,24.3
YOU,24.3,24.3
THE,24.3,24.5
CAR,24.5,24.9
KNOCKS,24.9,27.0
OFF,27.0,27.3
SIDE,31.1,32.1
REAR,32.1,32.7
VIEW,32.7,32.7
MIRROR,32.7,33.2
OF,33.2,34.4
THE,34.4,34.6
CAR,34.6,35.3
AND,35.3,35.8
THE,35.8,36.9
GUY,36.9,37.1
ALFRED,37.1,38.1
WHO,38.1,38.8
IS,38.8,39.0
IN,39.0,39.7
THE,39.7,39.8
PASSENGER,39.8,40.1
AND,40.1,40.4
THE,40.4,40.8
DRIVER,40.8,40.9
SEAT,40.9,41.6
GETS,41.6,42.3
OUT,42.3,42.6
REALLY,42.6,42.9
GOES,42.9,45.2
AFTER,45.2,45.6
THE,45.6,46.7
MAN,46.7,47.0
WHO,47.0,47.2
DID,47.2,47.4
IT,47.4,47.5
AND,47.5,48.1
THE,48.1,48.9
GIRL,48.9,49.1
HE'S,49.1,49.2
WITH,49.2,49.4
WALKING,50.4,51.1
AWAY,51.1,51.2
AND,51.2,52.5
SHE'S,52.5,53.4
REALLY,53.4,53.5
MAD,53.5,53.7
AND,53.7,54.1
THEN,54.1,54.2
ERNIE,54.2,55.6
HE,55.6,55.8
WAS,55.8,56.0
IN,56.0,56.1
THE,56.1,56.1
PASSENGER,56.1,56.4
SIDE,56.4,56.7
OF,56.7,56.8
CAR,56.8,56.9
THE,1.1,3.6
GUY,3.6,3.8
WHO,3.8,4.0
WAS,4.0,4.2
IN,4.2,4.3
THE,4.3,4.5
BACK,4.5,4.8
ALSO,4.8,5.0
CONS,5.0,6.5
