OKAY,2.4,3.1
SO,3.1,4.3
THE,4.3,5.4
EPISODE,5.4,6.2
WITH,6.2,7.8
THE,7.8,8.3
SHOOTING,8.3,8.8
ITSELF,8.8,8.9
HOW,8.9,9.8
IT,9.8,10.0
ENDED,10.0,10.3
THERE,10.3,11.1
WAS,11.1,11.7
WE,11.7,12.8
DIDN'T,12.8,13.0
KNOW,13.0,13.1
THE,13.1,13.2
CHARACTERS,13.2,13.7
OF,13.7,13.7
THE,13.7,13.8
TIME,13.8,14.3
THERE,14.3,14.6
WAS,14.6,15.0
THAT,15.0,16.2
WAS,16.2,16.4
ALFRED,16.4,16.9
THAYER,16.9,17.1
AFRICA,17.1,18.1
BY,18.1,18.3
PAPER BOY,18.3,18.9
THAT,18.9,19.7
WAS,19.7,19.9
ALFRED'S,19.9,20.4
FRIEND,20.4,20.9
AND,20.9,22.2
THEY,22.2,22.3
GOT,22.3,22.6
INTO,22.6,22.7
AN,22.7,22.9
ALTERCATION,22.9,23.0
WITH,23.0,24.1
SOMEONE,24.1,24.9
THAT,24.9,25.0
THEIR,25.0,26.1
CAR,26.1,26.3
WINDOW,26.3,26.7
DURING,28.3,29.0
THE,29.0,29.1
ALTERCATION,29.1,29.6
THEY,29.6,30.9
REMARK,30.9,31.7
ABOUT,31.7,31.9
A,31.9,32.2
DOG,32.2,32.8
A,32.8,33.1
DOG,33.1,33.4
THAT,33.4,33.7
WAS,33.7,33.9
LIKE,33.9,34.2
OVER,35.3,35.9
BY,35.9,36.2
THE,36.2,36.3
SIDE,36.3,36.6
WHICH,36.6,37.6
WE,37.6,37.8
CAME,37.8,38.4
TO,38.4,38.5
SEE,38.5,38.6
LATER,38.6,38.9
SO,38.9,39.6
THAT,39.6,39.8
WAS,39.8,40.0
HOW,40.0,40.2
THE,40.2,40.2
EPISODE,40.2,40.6
BEGAN,40.6,40.9
AND,40.9,41.3
THEN,41.3,41.7
THE,41.7,42.5
WORDS,42.5,43.0
ATLANTA,43.0,43.5
CAME,43.5,43.7
OUT,43.7,43.8
BY,43.8,44.0
THE,44.0,44.1
SCREEN,44.1,44.5
AND,44.5,44.8
THEN,44.8,44.9
EPISODE,44.9,46.4
ACTUALLY,46.4,46.7
START,46.7,47.3
IN,47.3,48.0
THE,48.0,48.2
MORNING,48.2,48.6
EARN,48.6,49.8
WAS,49.8,50.1
THERE,50.1,50.4
IN,50.4,51.0
TERMS,51.0,51.4
OF,51.4,51.5
THE,53.2,53.6
WOMAN,53.6,53.9
THAT,53.9,54.0
EARN,54.0,54.4
HAS,54.4,54.7
A,54.7,54.8
KID,54.8,55.2
WITH,55.2,55.4
HER,55.4,56.1
NAME,56.1,56.3
IS,56.3,56.7
VAN,56.7,57.3
THEY,57.3,57.7
WOKE,57.7,58.0
UP,58.0,58.1
TOGETHER,58.1,58.3
AND,58.3,59.9
BET,0.0,1.0
