OKAY,0.0,1.6
SO,3.0,3.5
THE,3.5,4.5
EPISODE,4.5,5.2
BEGAN,5.2,6.2
WITH,6.2,7.3
A,7.3,7.5
SCENE,7.5,8.2
WHERE,9.6,10.6
SOMEONE,10.6,11.0
HAD,11.0,11.4
IT,11.4,12.1
WAS,12.1,12.2
A,12.2,12.3
GROUP,12.3,12.6
OF,12.6,12.6
GUYS,12.6,14.4
IN,14.4,14.7
A,14.7,14.7
CAR,14.7,15.0
AND,15.0,15.3
SOMEONE,15.3,15.5
HAD,15.5,15.8
JUST,15.8,15.9
SMASHED,15.9,16.8
THE,16.8,17.6
MIRROR,17.6,19.5
ON,19.5,19.6
THE,19.6,19.7
SIDE,19.7,19.8
OF,19.8,19.9
THE,19.9,20.0
CAR,20.0,20.3
INSIDE,20.3,20.5
SIDE,20.5,21.3
MIRROR,21.3,21.4
DOG,21.4,22.6
OUT,22.6,22.7
OF,22.7,22.8
THE,22.8,22.9
CAR,22.9,23.1
WHEN,23.1,23.3
I'M,23.3,23.4
TO,23.4,23.5
THE,23.5,23.6
GUY,23.6,23.8
THERE,23.8,24.7
WAS,24.7,24.8
SOME,24.8,24.9
SORT,24.9,25.0
OF,25.0,25.1
CONFRONTATION,25.1,25.4
OVER,25.4,26.1
WHETHER,26.1,27.6
THEY,27.6,28.7
WERE,28.7,28.8
GOING,28.8,29.0
TO,29.0,29.0
PAY,29.0,29.2
FOR,29.2,29.6
IT,29.6,29.8
OR,29.8,29.9
LIKE,29.9,30.0
WHY,30.0,30.3
IT,30.3,30.4
HAPPENED,30.4,30.8
OR,30.8,30.9
SOMETHING,30.9,31.5
AND,31.5,31.7
THE,31.7,31.8
WHOLE,31.8,32.0
TIME,32.0,32.2
IT,32.2,33.2
WAS,33.2,33.3
THIS,33.3,34.8
ONE,34.8,35.1
GUY,35.1,35.3
IT,35.3,36.5
WAS,36.5,36.6
A,36.6,36.7
GROUP,36.7,36.9
OF,36.9,37.0
GUYS,37.0,37.2
THREE,37.2,37.6
GUYS,37.6,38.0
WHO,38.0,39.6
ARE,39.6,39.7
IN,39.7,39.9
THE,39.9,39.9
CAR,39.9,40.2
AGAINST,40.2,41.2
TO,41.9,42.6
A,42.6,43.1
GUY,43.1,43.3
AND,43.3,43.4
A,43.4,43.4
GIRL,43.4,43.5
AND,43.5,44.9
THEY'RE,44.9,45.2
EXCHANGING,45.2,45.5
COMMENTS,45.5,47.3
IN,47.3,47.6
PRETTY,47.6,47.8
RUDE,47.8,48.4
AND,48.4,48.7
THEN,48.7,49.0
THE,49.0,49.9
MAIN,49.9,50.2
GUY,50.2,50.4
