ALREADY,0.8,1.8
THE,1.8,2.9
LAST,2.9,3.2
EPISODE,3.2,3.8
STARTED,5.4,6.2
IN,6.2,6.7
THE,6.7,6.9
PARKING,6.9,7.4
LOT,7.4,7.6
PAPER,18.6,20.1
BOI,20.1,20.3
AND,20.3,22.6
I,26.3,26.7
DON'T,26.7,26.9
REMEMBER,26.9,27.0
DONALD,27.0,27.3
GLOVER'S,27.3,27.7
NAME,27.7,28.8
IN,28.8,29.0
THE,29.0,29.1
SHOW,29.1,29.3
ABOUT,36.9,37.7
THE,37.7,37.9
CAR,37.9,38.3
THAT,38.3,39.1
HAD,39.1,39.3
ITS,39.3,39.5
WINDOW,39.5,39.8
SMASHED,39.8,42.9
AND,42.9,44.5
THEN,44.5,44.7
PAPER,44.7,45.0
BOY,45.0,45.2
SHOOTS,45.2,45.8
THE,45.8,46.6
OTHER,46.6,47.1
GUY,47.1,47.5
AND,47.5,50.4
PRIOR,50.4,51.1
TO,51.1,51.3
THAT,51.3,51.3
WHICH,51.3,52.0
YOU,52.0,52.3
KNOW,52.3,52.4
IS,52.4,52.5
REAL,52.5,52.7
FLIRTING,2.5,3.1
WITH,3.1,3.4
GIRL,4.8,5.4
I,5.4,6.3
WAS,6.3,6.5
TALKING,6.5,6.6
BY,6.6,6.9
PRESUMABLY,6.9,7.4
THE,7.4,7.6
GUY,7.6,7.8
WHO'S,7.8,8.1
WHO,8.1,8.5
WAS,8.5,8.7
SHOT,8.7,9.0
AND,9.0,9.1
THE,9.1,9.3
GIRL,9.3,9.6
HAS,9.6,10.8
A,10.8,11.3
RELATIONSHIP,13.4,15.9
LIKE,15.9,17.0
DEFENDING,17.0,17.5
HER,17.5,17.7
AND,27.6,29.4
THEY,30.3,30.8
EPISODE,30.8,34.3
OPENS,34.3,35.1
WITH,35.1,35.8
THE,35.8,37.1
WITH,37.1,37.6
THE,37.6,37.7
DONALD,37.7,38.2
GLOVER,38.2,38.2
CHARACTER,38.2,38.7
IN,38.7,40.2
BED,40.2,40.8
WITH,40.8,41.4
HIS,41.4,41.8
BABY,41.8,42.4
MAMA,42.4,42.8
SELL,43.9,44.5
MY,44.5,44.6
PHONE,44.6,44.7
THEY'RE,49.5,50.1
LAYING,50.1,50.4
TOGETHER,50.4,50.6
HE'S,50.6,51.6
LISTENING,51.6,51.9
TO,51.9,52.0
MUSIC,52.0,52.6
WHICH,52.6,54.0
SHE,54.0,54.3
WAKES,54.3,54.6
UP,54.6,54.7
TO,54.7,55.0
AND,57.3,58.1
AFTER,58.1,58.5
SHE,58.5,58.6
WAKES,58.6,58.9
UP,58.9,59.2
YOU,3.7,5.2
SAID,5.2,5.5
SOMETHING,5.5,5.7
ABOUT,5.7,5.8
YOUR,5.8,6.3
WHY,6.3,6.6
ARE,6.6,6.7
YOU,6.7,6.8
AWAKE,6.8,7.1
THEN,11.9,13.7
THEY,13.7,14.2
START,14.2,14.5
FLIRTING,14.5,14.8
AND,14.8,15.9
THEY,15.9,16.0
START,16.0,16.4
TO,16.4,16.6
KISS,16.6,18.9
I,18.9,19.0
BELIEVE,19.0,19.5
THEY'RE,19.5,21.3
MAKING,21.3,21.6
OUT,21.6,21.8
SHE,21.8,22.0
SAYS,22.0,22.4
TELL,22.4,22.6
ME,22.6,22.8
YOU,22.8,23.3
LOVE,23.3,23.6
ME,23.6,23.7
AND,23.7,24.7
HE,24.7,24.9
SAYS,24.9,25.5
LAUGHS,26.8,27.9
AND,27.9,28.2
SHE,28.2,28.4
SAYS,28.4,28.7
WHY,28.7,28.8
DID,28.8,29.1
YOU,29.1,29.2
LIE,29.2,29.5
AND,29.5,31.0
THEN,31.0,31.6
BECAUSE,34.3,35.2
SHE,35.2,35.3
SAID,35.3,35.6
WHY,35.6,36.4
DID,36.4,36.6
YOU,36.6,36.6
LAUGH,36.6,36.9
AND,41.6,42.6
SHE,42.6,43.9
SAID,43.9,44.1
SOMETHING,44.1,44.4
ABOUT,44.4,44.5
SHE,44.5,48.7
GETS,48.7,49.0
OUT,49.0,49.1
OF,49.1,49.2
BED,49.2,49.4
