EPISODE,3.6,4.4
BEGINS,4.4,4.9
WITH,4.9,5.2
THE,5.2,7.5
PAPER,7.5,8.3
BOYS,8.3,8.6
ARE,8.6,8.9
GETTING,8.9,9.4
A,9.4,10.2
MAN,10.2,10.7
COMES,10.7,11.1
UP,11.1,11.2
AND,11.2,11.5
KICKS,11.5,11.8
HIS,11.8,12.2
OR,12.2,13.0
HIS,13.0,13.8
SIDE,13.8,14.2
WINDOW,14.2,14.5
OFF,14.5,14.7
HIS,14.7,14.9
CAR,14.9,15.2
AND,15.2,16.2
KNOCKS,16.2,17.5
OUT,17.5,17.6
OF,17.6,17.7
THE,17.7,17.8
CAR,17.8,18.2
WITH,18.2,18.6
HIS,18.6,19.0
MANAGER,19.0,19.2
ERNST,19.2,20.8
AND,20.8,21.1
DARIUS,21.1,21.7
AND,21.7,22.0
THEY,22.0,22.3
CHASE,22.3,22.7
AFTER,22.7,22.8
THE,22.8,23.1
GUY,23.1,23.3
AND,23.3,24.0
THE,24.0,26.9
MAN,26.9,28.2
SAYS,28.2,30.5
HE,30.5,30.6
CAN,30.6,30.8
PAY,30.8,30.9
FOR,30.9,31.0
IT,31.0,31.2
CUZ,31.2,31.3
HE'S,31.3,31.5
A,31.5,39.6
BOY,39.6,39.9
PULLS,39.9,40.2
OUT,40.2,40.4
HIS,40.4,40.6
GUN,40.6,40.9
AND,40.9,41.5
PUT,41.5,41.8
IT,41.8,41.9
UP,41.9,42.1
TO,42.1,42.2
THE,42.2,42.3
MAN'S,42.3,42.5
CHEST,42.5,43.0
AND,43.0,43.8
THEN,43.8,44.0
THE,44.0,45.4
OTHER,45.4,45.5
THE,45.5,46.4
GUY,46.4,46.6
WHO,46.6,46.9
KICKED,46.9,47.1
OUT,47.1,47.4
HIS,47.4,47.6
WINDOW,47.6,48.0
OR,48.0,48.6
WHATEVER,48.6,49.8
AND,49.8,52.3
THEN,52.3,53.9
NOT,53.9,55.6
SEEN,55.6,55.8
ENDS,55.8,56.3
WITH,56.3,56.6
AN,56.6,57.6
AERIAL,57.6,58.0
VIEW,58.0,58.1
OF,58.1,58.6
SOMEONE,58.6,59.2
GETTING,59.2,59.3
SHOT,59.3,59.5
ATLANTA,0.0,14.0
AND,14.0,15.3
THEN,15.3,15.4
WE,15.4,15.8
SEE,15.8,16.1
A,16.1,16.6
RECEIPT,16.6,18.4
AND,18.4,24.9
THEN,24.9,25.3
IT,25.3,25.9
GOES,25.9,26.1
INTO,26.1,26.4
ERNST,26.4,27.3
BEING,27.3,27.8
IN,27.8,27.9
BED,27.9,28.2
WITH,28.2,28.4
HIS,28.4,30.0
HIS,30.5,31.1
DAUGHTERS,31.1,31.5
WELCOME,31.5,32.0
THESE,43.4,43.9
HANDS,43.9,44.2
WERE,44.2,44.4
THEY,44.4,44.5
TRYING,44.5,44.8
TO,44.8,44.9
GRAB,44.9,45.2
HIM,45.2,45.4
AND,45.4,45.5
HIS,45.5,45.7
GIRL,45.7,45.9
IN,45.9,46.0
HIS,46.0,46.2
DREAM,46.2,46.4
THE,46.4,46.5
SAYING,46.5,47.2
OF,47.2,47.4
SWIM,47.4,47.7
ABOVE,47.7,47.9
THE,47.9,48.1
HAND,48.1,48.5
SO,48.5,48.8
BORING,48.8,58.6
ARE,0.0,3.2
YOU,3.2,3.3
JEALOUS,3.3,3.8
AND,3.8,4.1
SHE,4.1,4.4
SAYS,4.4,4.8
SHE,4.8,12.9
WAS,12.9,13.0
MAKING,13.0,13.2
OUT,13.2,13.4
WITH,13.4,13.6
HER,13.6,13.7
AND,13.7,13.7
THEN,13.7,13.9
SHE,13.9,14.0
ASKS,14.0,14.4
ARE,14.4,14.5
YOU,14.5,14.6
MAKING,14.6,15.0
OUT,15.0,15.0
WITH,15.0,15.2
HER,15.2,15.4
GOES,21.9,22.8
TO,22.8,22.9
HIS,22.9,23.0
DAUGHTER,23.0,23.4
AND,23.4,23.6
SAYS,23.6,24.7
SHE'S,24.7,25.6
AWAKE,25.6,25.9
THE,25.9,26.1
ROADS,26.1,26.3
GOING,26.3,26.4
TO,26.4,26.5
DIE,26.5,26.7
OR,26.7,26.9
SOMETHING,26.9,28.2
AND,28.2,28.3
HE,28.3,28.4
PICKS,28.4,28.7
HER,28.7,28.8
UP,28.8,28.9
HER,28.9,29.2
NAME'S,29.2,29.4
LAWDY,29.4,29.9
MISS,29.9,33.9
TALKING,33.9,34.5
AND,34.5,34.7
SHE,34.7,34.8
SAYS,34.8,35.2
THAT,35.2,36.7
SHE,36.7,37.4
NEEDS,37.4,37.6
TO,37.6,37.7
PAY,37.7,37.9
CLAUDIA,37.9,38.3
OUT,38.3,38.4
TONIGHT,38.4,39.0
AND,39.0,39.5
SHE,39.5,40.1
DOESN'T,40.1,40.3
WANT,40.3,40.4
HIM,40.4,40.9
SHE,40.9,42.0
DOESN'T,42.0,42.3
WANT,42.3,42.5
CLAUDIA,42.5,42.7
AT,42.7,43.2
HIS,43.2,43.6
PARENTS,43.6,44.0
HOUSE,44.0,44.3
BECAUSE,44.3,45.0
SHE,45.0,45.3
LIVES,45.3,45.6
AT,45.6,46.0
THEIR,46.0,46.3
HOUSE,46.3,46.6
AND,46.6,47.3
IT,47.3,47.4
SAYS,47.4,48.0
OK,48.0,48.4
AND,48.4,48.9
PRETEND,48.9,48.9
THAT,48.9,49.5
YOU,49.5,49.8
REMEMBER,49.8,50.2
SHE,50.2,50.5
WAS,50.5,50.7
SUPPOSED,50.7,50.9
TO,50.9,51.0
HAVE,51.0,51.1
HIS,51.1,52.1
DAUGHTER,52.1,52.3
THAT,52.3,52.5
NIGHT,52.5,52.8
AND,54.8,55.3
I,55.3,55.5
AND,55.5,56.6
THEN,56.6,56.7
SHE,56.7,57.0
TELLS,57.0,57.1
HIM,57.1,57.3
HE'S,57.3,57.5
SHE'S,57.5,57.9
GOING,57.9,58.1
ON,58.1,58.2
A,58.2,58.3
DATE,58.3,58.6
WITH,58.6,58.9
SOME,58.9,59.4
GUY,59.4,59.6
HE'S,0.1,0.7000000000000001
HOLDING,0.7000000000000001,1.0
UP,1.0,1.1
HIS,1.1,1.2
DAUGHTER,1.2,1.4
LIKE,1.4,1.6
HER,1.6,1.8
LIKE,1.8,2.2
TALKING,2.2,3.1
TO,3.1,3.2
HER,3.2,3.3
AND,3.3,3.6
HE,3.6,3.8
SAYS,3.8,4.2
I'M,4.2,12.9
STILL,12.9,13.4
AT,13.4,13.9
WORK,13.9,14.1
USING,14.1,14.9
LEANNE,14.9,15.4
AIRPORT,15.4,16.1
SELLING,16.1,16.7
SOMETHING,16.7,17.0
TO,17.0,17.3
PEOPLE,17.3,17.6
WALKING,17.6,18.4
BY,18.4,18.7
AND,18.7,21.5
HE'S,21.5,21.6
TALKING,21.6,21.7
TO,21.7,21.9
THE,21.9,22.1
GUY,22.1,22.2
WITH,22.2,22.4
HIM,22.4,22.7
THE,22.7,23.2
GUY,23.2,23.4
TAKES,23.4,23.6
PICTURE,23.6,23.9
AND,23.9,25.1
I,25.1,25.2
SAID,25.2,25.6
IT'S,25.6,25.8
LIKE,25.8,26.0
WHEN,26.0,26.2
YOU'RE,26.2,26.4
HIGH,26.4,26.7
AT,26.7,26.9
WORK,26.9,27.1
AND,27.1,28.4
I,28.4,28.6
WAS,28.6,29.5
TALKING,29.5,29.8
ABOUT,29.8,29.9
HOW,29.9,30.2
HE,30.2,30.4
CAN'T,30.4,30.8
SELL,30.8,31.0
ANYTHING,31.0,31.4
HE'S,31.4,31.7
PRACTICALLY,31.7,32.2
BROKEN,32.2,32.9
TOES,32.9,33.2
MATCH,33.2,33.5
TONIGHT,33.5,33.7
TO,33.7,34.1
HIS,34.1,34.4
BABY,34.4,34.9
MAMA,34.9,35.2
BECAUSE,35.2,36.8
HE,36.8,37.0
CAN'T,37.0,37.3
SELL,37.3,37.4
BECAUSE,37.4,37.7
HE'S,37.7,37.9
NOT,37.9,38.1
AN,38.1,38.5
OLD,38.5,38.7
LADY,38.7,38.8
AND,38.8,39.7
THEN,39.7,40.0
WE,40.0,40.2
SEE,40.2,40.4
ONE,40.4,42.1
OF,42.1,42.3
THE,42.3,42.4
OTHER,42.4,42.6
REPRESENTATIVES,42.6,43.4
TALKING,43.4,43.8
TO,43.8,44.0
A,44.0,44.2
YOUNGER,44.2,44.7
MAN,44.7,45.0
AND,45.0,45.7
SUCCESSFULLY,45.7,47.1
SELLING,47.1,47.3
HIM,47.3,47.6
SOMETHING,47.6,47.9
BECAUSE,47.9,48.1
HE,48.1,48.4
SUPPOSEDLY,48.4,48.9
FIGHTING,48.9,49.2
WITH,49.2,49.5
HER,49.5,49.6
AND,49.6,51.4
HIS,51.4,52.7
ASSOCIATE,52.7,54.0
I,54.0,54.1
LIKE,54.1,54.3
WATCHING,54.3,54.6
HER,54.6,54.9
LIKE,54.9,55.5
JEALOUSLY,55.5,56.0
AND,58.3,58.8
I,58.8,59.0
EARNS,0.2,1.2
ASSOCIATE,1.2,1.9
SHOWS,1.9,2.2
HIM,2.2,2.4
A,2.4,2.5
VIDEO,2.5,2.7
OF,2.7,3.6
PAPER,3.6,4.0
BOY,4.0,4.3
WHO,4.3,4.8
ERNST,4.8,5.2
REALIZE,5.2,5.7
IS,5.7,6.2
HIS,6.2,7.5
COUSIN,7.5,7.8
THEY'RE,7.8,9.0
WATCHING,9.0,9.3
THE,9.3,9.4
MUSIC,9.4,9.6
VIDEO,9.6,10.1
ON,10.1,10.6
HIS,10.6,10.8
ASSOCIATES,10.8,11.4
CRACKED,11.4,12.0
SCREEN,12.0,12.4
AND,12.4,14.7
AS,14.7,15.1
ASSOCIATE,15.1,15.6
TELLS,15.6,15.9
HIM,15.9,16.2
THAT,16.2,16.3
HE,16.3,16.7
NEEDS,16.7,17.1
TO,17.1,17.2
GET,17.2,17.4
ON,17.4,17.5
THAT,17.5,17.7
BEFORE,17.7,18.0
HE,18.0,18.3
GETS,18.3,18.5
SIGNED,18.5,18.9
AND,18.9,19.5
THEN,19.5,19.5
WE,19.5,20.0
TRANSITION,20.0,20.7
INTO,20.7,20.8
ANOTHER,20.8,21.2
