EARN,1.4,1.9
DURING,1.9,2.2
THE,2.2,2.4
LAST,2.4,2.8
EPISODE,2.8,3.6
OF,3.6,4.8
ATLANTA,4.8,5.2
EPISODE,5.2,7.3
STARTS,7.3,7.8
OUT,7.8,8.1
WITH,8.1,9.1
STARTS,10.2,12.3
OUT,12.3,12.4
WITH,12.4,12.7
EARNEST,12.7,13.2
PLAYBOY,13.2,14.6
PAPER BOY,14.6,15.7
AND,15.7,17.3
DARIUS,17.3,18.5
SITTING,18.5,18.9
IN,18.9,19.1
A,19.1,19.2
CAR,19.2,19.4
OUTSIDE,19.4,20.1
OF,20.1,20.6
LOOKS,20.6,23.2
LIKE,23.2,23.3
OUTSIDE,23.3,23.8
OF,23.8,24.1
LIKE,24.1,24.3
A,24.3,24.4
STRIP,24.4,24.7
MALL,24.7,24.9
AT,24.9,25.7
NIGHT,25.7,26.1
AND,26.1,27.1
THEY'RE,27.1,29.1
TALKING,29.1,29.3
ABOUT,29.3,29.7
I,33.2,33.6
THINK,33.6,34.1
PAPER,34.1,35.2
BOYS,35.2,35.5
MUSIC,35.5,35.9
AND,35.9,36.5
THEN,36.5,36.8
SOMETHING,36.8,37.3
HAPPENS,37.3,38.1
WHERE,38.1,38.6
THE,38.6,40.3
CAR,40.3,40.9
THAT,40.9,41.1
THEY'RE,41.1,41.3
IN,41.3,41.4
IS,41.4,41.6
DAMAGED,41.6,42.2
AND,42.2,42.8
PAPER,42.8,44.1
BOY,44.1,44.3
GETS,44.3,44.7
OUT,44.7,45.0
OF,45.0,45.1
TO,45.1,47.4
CONFRONT,47.4,48.0
THE,48.0,48.0
MAN,48.0,48.1
AND,48.1,48.7
THEN,48.7,48.9
ERNEST,48.9,50.3
AND,50.3,50.5
DARIUS,50.5,51.6
ARE,53.8,54.2
CINDERS,54.2,54.9
THE,54.9,56.1
CAR,56.1,56.5
I'M,56.5,57.7
TRYING,57.7,58.0
TO,58.0,58.0
STOP,58.0,58.5
BUT,1.5,2.3
PAPER BOY,2.3,3.6
IN,3.6,4.1
THE,4.1,4.3
MAN,4.3,5.1
THAT,5.1,6.7
DAMAGED,7.6,8.2
THE,8.2,8.3
CAR,8.3,8.6
AND,8.6,9.1
HAVING,9.1,10.2
A,10.2,10.3
CONFRONTATION,10.3,11.3
AND,11.3,12.0
THEN,12.0,13.5
DONE,13.9,14.5
THEY'RE,14.5,14.8
PULLED,14.8,15.1
OUT,15.1,15.4
IN,15.4,16.3
CONTINUE,18.6,20.5
TO,20.5,20.7
TRY,20.7,20.8
TO,20.8,20.9
STEP,20.9,23.4
IN,23.4,23.7
AND,23.7,24.0
STOP,24.0,24.3
THE,24.3,24.8
CONFRONTATION,24.8,26.9
BUT,26.9,27.6
THEN,27.6,28.1
SCENE,28.1,30.5
IT'S,33.5,34.5
KNOWN,34.5,34.8
THAT,34.8,35.1
THE,35.1,36.5
MAN,36.5,36.7
WHO,36.7,36.8
DAMAGED,36.8,37.2
THE,37.2,37.3
CAR,37.3,37.6
GETS,37.6,38.0
SHOT,38.0,38.3
BY,38.3,38.6
BOY,38.6,39.4
AND,39.4,40.9
THE,40.9,41.4
NEXT,41.4,41.8
SCENE,41.8,42.2
IS,42.2,43.9
DEREK,43.9,45.4
WAKES,45.4,47.8
UP,47.8,48.2
SHOWN,48.2,50.4
IN,50.4,50.6
BAD,50.6,51.0
AWAKE,51.0,51.5
I'M,51.5,52.4
JUST,52.4,52.6
LYING,52.6,53.0
THERE,53.0,53.1
WITH,53.1,55.5
AND,56.5,56.9
THEN,56.9,57.0
YOU'RE,57.0,57.2
SHOWING,57.2,57.5
THAT,57.5,57.7
HE'S,57.7,58.0
NEXT,58.0,58.4
TO,58.4,58.7
WOMAN,0.7000000000000001,1.6
WHICH,1.6,2.0
HE,2.0,4.0
HAS,4.0,4.3
A,4.3,4.4
BABY,4.4,4.6
WITH,4.6,5.0
BUT,5.0,5.5
DOESN'T,5.5,8.6
SEEM,8.6,8.7
TO,8.7,9.0
BE,9.0,9.1
VERY,10.2,12.5
TOGETHER,12.5,12.7
IN,12.7,13.1
A,13.1,13.1
STRONG,13.1,13.4
RELATIONSHIP,13.4,13.6
AND,13.6,16.4
TELLS,16.4,18.0
