OKAY,0.1,1.9
SO,1.9,2.4
THE,2.4,2.7
CHARACTERS,2.7,4.9
ARE,4.9,5.0
IN,5.0,5.1
AMBER,5.1,5.5
ARE,5.5,5.9
MICHAEL'S,5.9,6.7
THE,6.7,6.8
MAIN,6.8,7.0
CHARACTER,7.0,7.5
IS,7.5,9.0
DAD'S,9.0,9.5
NAME,9.5,9.6
IS,9.6,9.8
GEORGE,9.8,10.3
I'M,13.5,14.0
NOT,14.0,14.1
SURE,14.1,14.3
ABOUT,14.3,14.4
HIS,14.4,14.5
MOM'S,14.5,14.9
NAME,14.9,15.1
BUT,15.1,15.4
SHE'S,15.4,15.7
IN,15.7,15.8
ANOTHER,15.8,16.2
PRETTY,16.2,16.4
PROMINENT,16.4,16.8
CHARACTER,16.8,17.3
HIS,18.2,18.8
SON'S,18.8,19.2
NAME,19.2,19.2
IS,19.2,19.6
GEORGE-MICHAEL,19.6,20.0
SISTER'S,20.5,22.0
NAME,22.0,22.4
IS,22.4,24.0
LINDSAY,24.0,24.5
AND,25.4,26.3
HIS,26.3,26.7
TWO,26.7,26.9
BROTHERS,26.9,27.0
WHAT,28.8,29.3
IS,29.3,29.5
MARRIED,29.5,29.8
TO,29.8,29.9
TOBIAS,29.9,32.6
MICHAELS,33.1,35.1
OTHER,35.1,35.4
BROTHERS,35.4,35.8
ARE,35.8,35.9
JOE,37.4,38.1
AND,38.1,39.1
BUSTER,39.1,39.5
AND,39.5,41.7
THAT'S,42.8,43.4
KIND,43.4,43.8
OF,43.8,43.9
THE,43.9,46.3
MANCOR,47.8,49.2
THE,49.2,49.3
FAMILY,49.3,49.8
THEY,49.8,50.9
ARE,50.9,51.1
IN,51.1,51.5
ORANGE,51.5,51.8
COUNTY,51.8,52.0
CALIFORNIA,52.0,52.6
AND,52.6,55.4
THEY'RE,55.4,55.7
ON,55.7,55.9
A,55.9,55.9
BOAT,55.9,56.3
STARTS,58.4,59.1
OFF,59.1,59.2
LIKE,59.2,59.3
THAT,59.3,59.6
ACROSS,59.6,59.8
ANNUM,0.30000000000000004,1.1
ARE,1.1,1.6
A,2.9,3.3
GROUP,3.3,4.0
OF,4.0,4.2
GAY,6.0,6.6
PROTESTERS,6.6,7.5
