SO,0.7000000000000001,1.7000000000000002
THERE'S,1.7000000000000002,1.9
TWO,1.9,2.1
MAIN,2.1,2.4
CHARACTERS,2.4,2.9
ERNEST,2.9,3.8
TO,3.8,3.9
GOES,3.9,4.2
BY,4.2,4.3
IRON,4.3,4.9
AND,4.9,6.5
ALFRED,6.5,7.1
STARTS,8.1,9.3
OFF,9.3,9.5
WITH,9.5,10.0
AN,10.0,11.1
ALTERCATION,11.1,11.6
ABOUT,14.6,15.3
GOING,15.3,15.6
IN,15.6,15.7
A,15.7,15.8
NIGHTCLUB,15.8,16.1
AND,18.7,20.2
I,21.7,22.1
THINK,22.1,22.3
SOMETHING,22.3,22.6
TO,22.6,22.7
DO,22.7,22.8
WITH,22.8,22.9
MONEY,22.9,23.2
THAT,23.2,24.9
THEY'RE,24.9,26.2
LOOKING,26.2,26.3
AT,26.3,26.6
A,26.6,26.7
DOG,26.7,27.2
AND,29.2,29.9
THERE'S,29.9,30.2
KIND,30.2,30.4
OF,30.4,30.4
A,30.4,30.5
WEIRD,30.5,30.8
ATMOSPHERE,30.8,31.5
AND,31.5,33.3
THEN,33.3,35.0
THE,35.0,35.7
CHARACTER,35.7,36.2
ALFRED,36.2,36.6
SCHUTZ,36.6,37.8
ONE,39.0,40.3
OF,40.3,40.5
THE,40.5,40.6
OTHER,40.6,41.0
PEOPLE,41.0,42.2
I,43.6,44.0
THOUGHT,44.0,44.9
THEY,44.9,45.0
WERE,45.0,45.0
FIGHTING,45.0,45.3
AGAINST,45.3,45.7
THEN,46.7,47.6
IT,47.6,47.7
CUTS,47.7,48.1
TO,48.1,48.5
A,48.5,49.9
SCENE,49.9,52.1
PRESUMABLY,53.4,54.6
PREVIOUSLY,54.6,55.4
OF,55.4,56.6
ERNEST,58.0,59.1
WAKING,59.1,59.5
UP,59.5,59.8
NEXT,0.2,1.0
TO,1.0,1.3
A,2.8,3.5
WOMAN,3.5,6.3
NOT,7.1,7.7
SURE,7.7,7.8
IF,7.8,7.9
THAT'S,7.9,8.0
HIS,8.0,8.2
WIFE,8.2,8.5
OR,8.5,9.2
HIS,9.2,9.3
EX-WIFE,9.3,10.0
FOR,10.0,10.1
SOMEONE,10.1,12.7
WHO,12.7,12.8
HAS,12.8,13.4
BEEN,13.4,13.5
DATING,13.5,13.8
AND,18.5,19.2
SHE,19.2,19.3
MENTIONED,19.3,19.6
THAT,19.6,19.7
HE,19.7,20.0
HAD,20.0,20.0
A,20.0,20.2
DREAM,20.2,20.6
ABOUT,20.6,22.2
SWIMMING,22.6,23.4
OVER,23.4,23.7
SWIMMING,23.7,24.1
POOL,24.1,24.7
AND,24.7,24.8
HANDS,24.8,25.4
PULLING,25.4,25.7
HIM,25.7,26.0
DOWN,26.0,26.5
AND,30.1,30.8
SHE,30.8,30.9
ESCAPED,30.9,31.6
