PAY,0.0,0.6000000000000001
IN,0.6000000000000001,0.8
THE,0.8,0.9
LAST,0.9,1.3
EPISODE,1.3,1.8
OF,1.8,1.9
THE,1.9,2.3
SHOW,2.3,2.7
WITH,2.7,5.6
A,5.6,7.1
SCENE,7.1,7.5
IN,7.5,7.6
PARKING,7.6,8.1
LOT,8.1,8.3
WITH,8.3,9.0
AMEN,10.8,11.8
WHO,11.8,12.2
AT,12.2,12.6
THE,12.6,12.6
BEGINNING,12.6,12.9
YOU,12.9,13.0
DON'T,13.0,13.3
KNOW,13.3,13.4
ANY,13.4,13.8
OF,13.8,13.8
THESE,13.8,14.0
CHARACTERS,14.0,14.4
NAMES,14.4,14.7
SO,14.7,15.0
IN,15.0,15.3
THE,15.3,15.4
BEGINNING,15.4,15.5
A,15.5,18.1
MAN,18.1,18.5
GETS,18.5,19.0
OUT,19.0,19.1
OF,19.1,19.2
HIS,19.2,19.3
CAR,19.3,19.4
BECAUSE,19.4,20.0
SOMEBODY,20.0,20.9
KICKED,20.9,21.4
THE,21.4,21.6
MIRROR,21.6,22.0
OFF,22.0,22.2
OF,22.2,22.3
HIS,22.3,22.4
CAR,22.4,22.7
AND,22.7,23.4
HE,23.4,23.7
WANTS,23.7,25.0
COMPENSATION,25.0,25.2
SO,25.2,25.8
HE'S,25.8,26.0
YELLING,26.0,26.3
AT,26.3,26.4
THE,26.4,26.5
MAN,26.5,26.7
WHO,26.7,26.8
KEPT,26.8,27.0
THE,27.0,27.1
WINDOW,27.1,27.3
OFF,27.3,27.5
HIS,27.5,27.8
CAR,27.8,28.1
OR,28.1,29.0
THE,29.0,29.1
MIRROR,29.1,29.3
OUT,29.3,29.5
THE,29.5,29.6
WINDOW,29.6,29.8
SO,30.6,31.6
HE'S,31.6,31.8
YELLING,31.8,32.0
AT,32.0,32.2
HIM,32.2,32.5
AND,32.5,33.5
THEY,33.5,34.3
GET,34.3,34.6
IN,34.6,34.7
AN,34.7,34.7
ALTERCATION,34.7,35.1
IN,35.1,35.7
THIS,35.7,35.9
PARKING,35.9,36.2
LOT,36.2,36.3
AND,36.3,37.8
ANOTHER,37.8,39.3
ONE,39.3,39.5
OF,39.5,39.6
THE,39.6,39.7
GUYS,39.7,40.0
WHO,40.0,40.1
IS,40.1,40.3
THERE,40.3,40.5
TRIES,40.5,41.4
TO,41.4,41.6
PREVENT,41.6,41.8
DIEM,41.8,43.4
THE,43.4,44.6
CAR,44.6,44.9
OWNER,44.9,45.3
FROM,45.3,45.6
SHOOTING,45.6,47.9
THE,47.9,47.9
MAN,47.9,48.3
