SO,1.8,2.2
MISS,2.2,3.4
EPISODE,3.4,3.8
STARTED,3.8,4.2
OUT,4.2,4.5
WITH,4.5,4.7
PAPER BOY,4.7,5.6
IN,5.6,5.8
EARNEST,5.8,6.4
SITTING,6.4,7.6
IN,7.6,7.8
JAIL,7.8,8.1
TWO,8.1,11.3
SEATS,11.3,11.8
AND,11.8,11.9
THEY'RE,11.9,12.0
SORT,12.0,12.2
OF,12.2,12.3
WAITING,12.3,12.6
FOR,12.6,12.9
THINGS,12.9,13.0
TO,13.0,13.3
BE,13.3,13.3
PROCESSED,13.3,13.8
FOR,13.8,14.2
I,14.2,15.0
GUESS,15.0,15.3
SOME,15.3,15.5
CELLS,15.5,15.7
BE,15.7,15.9
PROCESSED,15.9,16.6
SURE,16.6,18.5
TALKING,18.5,19.0
ABOUT,19.0,19.2
THINGS,19.2,19.4
I,19.4,19.8
THINK,19.8,20.0
THEY'RE,20.0,20.2
GOING,20.2,20.2
ON,20.2,20.6
AND,20.6,22.4
IT,22.4,22.5
SAYS,22.5,22.7
THAT,22.7,22.8
IT'S,22.8,23.7
HIS,23.7,23.8
FIRST,23.8,24.0
TIME,24.0,24.2
IN,24.2,24.5
JAIL,24.5,24.7
PERSON,24.7,26.3
GETTING,26.3,26.5
ARRESTED,26.5,26.9
IN,26.9,28.6
EARNEST,28.6,28.9
IS,28.9,29.0
KIND,29.0,29.2
OF,29.2,29.3
WORRIED,29.3,29.5
ABOUT,29.5,29.6
HIM,29.6,30.5
BEING,30.5,30.7
ARRESTED,30.7,30.9
BECAUSE,30.9,31.3
HE,31.3,31.7
DIDN'T,31.7,31.9
DO,31.9,32.3
ANYTHING,32.3,32.5
WRONG,32.5,32.9
BUT,32.9,33.2
HE,33.2,35.0
WAS,35.0,35.2
SMOKING,35.2,35.5
WEED,35.5,35.9
AT,35.9,36.1
THE,36.1,36.2
TIME,36.2,36.7
AND,36.7,37.6
HE'S,37.6,37.8
GETTING,37.8,39.3
ARRESTED,39.3,39.7
FOR,39.7,40.0
WEED,40.0,40.1
