EPISODE,1.1,3.1
OF,3.1,3.2
ATLANTA,3.2,3.5
BEGINS,3.5,4.8
IN,4.8,5.1
FRONT,5.1,5.4
OF,5.4,5.5
THE,5.5,5.5
LIQUOR,5.5,5.7
STORE,5.7,5.9
HOUSTON,5.9,13.9
UP,13.9,14.0
AND,14.0,14.2
COMING,14.2,14.3
RAPPER,14.3,14.8
AND,14.8,15.6
THEN,15.6,15.9
ANOTHER,15.9,16.1
MAN,16.1,16.6
WHO,16.6,17.0
SELFISH,17.0,17.4
FRIEND'S,17.4,18.0
NAME,18.0,18.2
IS,18.2,18.4
DEREK,18.4,18.8
AND,18.8,19.5
THEN,19.5,19.7
PAPER BOY'S,19.7,20.6
COUSIN,20.6,21.2
IN,21.2,25.2
AN,25.2,25.3
ALTERCATION,25.3,25.6
WITH,25.6,26.4
COUPLE,26.4,27.1
GUY,27.1,28.2
AND,28.2,28.8
GIRL,28.8,29.6
AND,29.6,31.2
APPARENTLY,31.2,31.6
THE,31.6,31.7
GUY,31.7,31.9
WITH,31.9,32.7
THE,32.7,32.7
GIRL,32.7,32.9
HE,32.9,33.4
KICKS,33.4,33.7
THE,33.7,34.1
SIDE,34.1,34.9
WINDOW,34.9,35.5
OF,35.5,36.9
HIS,36.9,37.4
SIDE,37.4,37.9
MIRROR,37.9,38.2
OF,38.2,38.3
HIS,38.3,38.6
CAR,38.6,39.0
HIS,39.0,39.9
CAR,39.9,40.0
AND,40.0,40.3
THEN,40.3,40.5
I,40.5,40.6
THINK,40.6,49.0
ERNEST,49.2,50.6
HE,50.6,50.9
SHE,50.9,51.4
THINKS,51.4,51.8
SOMETHING'S,51.8,52.6
LIKE,52.6,53.0
WE,53.0,54.0
WOULD,54.0,54.1
LIKE,54.1,54.5
OR,54.5,54.7
SOMETHING,54.7,55.1
AND,55.1,55.4
THEN,55.4,55.4
HE,55.4,55.7
BRINGS,55.7,56.2
UP,56.2,56.3
SOME,56.3,56.5
DOG,56.5,57.0
WITH,57.0,57.8
LIKE,57.8,58.1
TEXAS,58.1,58.7
THE,58.7,59.4
STATE,59.4,59.6
OF,59.6,59.8
YEAH,0.0,2.6
THAT'S,2.6,2.9
BASICALLY,2.9,3.3
THAT,3.3,3.5
SCENE,3.5,3.9
AND,3.9,4.3
THEN,4.3,4.5
THE,4.5,4.8
NEXT,4.8,4.9
SCENE,4.9,5.4
GOES,5.4,6.1
TO,6.1,6.5
ERNEST,6.5,9.5
IS,9.5,9.7
AT,9.7,10.1
HIS,10.1,10.3
EX-WIFE,10.3,11.6
OR,11.6,12.1
EX-PARTNERS,12.1,13.1
HOUSE,13.1,13.4
AND,13.4,14.1
THEY,14.1,15.0
WAKE,15.0,15.2
UP,15.2,15.4
AND,15.4,15.8
THEN,15.8,16.9
HAVE,17.3,17.8
A,17.8,17.9
DAUGHTER,17.9,18.3
NAMED,18.3,18.7
SLY,18.7,19.2
AND,19.2,20.3
THEY'RE,20.3,20.6
IN,20.6,20.6
BED,20.6,21.1
WE,21.1,21.8
START,21.8,22.2
TALKING,22.2,22.8
STICK,22.8,30.4
IT,30.4,30.5
UP,30.5,30.7
AND,30.7,30.9
THEN,30.9,31.2
EARNEST,31.2,32.2
IS,32.2,33.4
LIKE,33.4,33.8
YOU,33.8,34.1
HAVE,34.1,34.2
TO,34.2,34.4
HELP,34.4,34.5
PAY,34.5,34.9
RENT,34.9,35.3
OR,35.3,35.6
SOMETHING,35.6,35.9
AND,35.9,37.4
THAT'S,37.4,38.2
WHEN,38.2,38.4
WE,38.4,38.7
SEE,38.7,38.9
THE,38.9,39.0
DAUGHTER,39.0,39.4
LONNIE,39.4,39.8
AND,39.8,40.8
WE'RE,40.8,43.8
NOT,43.8,44.0
TOGETHER,44.0,44.4
TOGETHER,44.4,44.9
IS,44.9,49.8
GOING,49.8,50.0
OUT,50.0,50.6
ON,50.6,51.0
SOME,51.0,51.3
SORT,51.3,51.3
OF,51.3,51.5
DATE,51.5,51.8
WITH,51.8,51.9
SOMEONE,51.9,52.2
AND,52.2,53.1
THEN,53.1,53.3
THEY,53.3,53.4
HAD,53.4,53.6
TO,53.6,53.7
LEAVE,53.7,53.9
THEIR,53.9,54.0
DAUGHTER,54.0,54.5
WITH,54.5,54.8
ERNEST,54.8,55.1
PARENTS,55.1,56.1
AND,56.1,57.2
NEXT,0.0,1.0
SCENE,1.0,1.5
IT'S,1.5,2.0
THINK,3.2,3.6
IT'S,3.6,3.8
THE,3.8,4.0
ONE,4.0,4.1
AT,4.1,4.2
THE,4.2,4.3
AIRPORT,4.3,4.9
AND,4.9,5.3
SO,5.3,6.2
EARNEST,6.2,7.4
AND,7.4,7.5
SOME,7.5,7.9
DUDE,7.9,8.2
NAMED,8.2,8.4
SCRIPT,8.4,9.0
YOU'RE,9.0,9.5
TRYING,9.5,9.8
TO,9.8,9.9
SELL,9.9,10.2
THESE,10.2,10.4
ARE,10.4,11.3
NOT,11.3,15.6
HAVING,15.6,15.9
MUCH,15.9,16.1
LUCK,16.1,16.2
BECAUSE,16.2,16.6
SOME,16.6,17.0
LADY,17.0,17.1
ACROSS,17.1,17.4
FROM,17.4,17.8
THEM,17.8,18.1
SUPER,18.1,19.0
SWEET,19.0,19.4
AND,19.4,19.6
FLIRTING,19.6,20.4
WITH,20.4,20.6
CUSTOMERS,20.6,21.8
THAT,21.8,21.9
SHE,21.9,22.5
GETS,22.5,22.7
ALL,22.7,22.8
THE,22.8,22.9
BUSINESS,22.9,23.5
AND,23.5,24.6
A,24.6,28.0
VIDEO,28.0,28.2
OF,28.2,28.6
PAPER,28.6,28.9
BOY,28.9,29.2
WHO'S,29.2,30.0
THE,30.0,30.2
RAPPER,30.2,30.6
THAT,30.6,30.6
WAS,30.6,30.9
ON,30.9,31.0
THE,31.0,31.1
BEGINNING,31.1,31.6
WAS,31.6,35.4
ACTUALLY,35.4,35.7
SUPER,35.7,36.1
ANGRY,36.1,36.4
AND,36.4,37.1
ACTUALLY,37.1,37.5
TOOK,37.5,37.6
OUT,37.6,37.7
A,37.7,37.8
GUN,37.8,37.9
AND,37.9,38.2
HE,38.2,38.4
ENDED,38.4,38.6
UP,38.6,38.8
SHOOTING,38.8,39.1
THE,39.1,39.6
DUDE,39.6,39.9
WHO,39.9,40.0
PICKED,40.0,40.3
OUT,40.3,40.4
HIS,40.4,40.6
WINDOW,40.6,40.8
BACK,41.8,43.5
TO,43.5,43.6
THE,43.6,43.7
AIRPORT,43.7,44.0
SO,44.0,44.7
SWIFT,44.7,45.8
SHOWS,45.8,46.2
ERNEST,46.2,46.7
A,46.7,46.8
VIDEO,46.8,47.2
OF,47.2,47.5
PAPER,47.5,47.7
BOY,47.7,48.0
RAPPING,48.0,48.5
AND,48.5,49.0
HE'S,49.0,49.4
LIKE,49.4,49.8
ALL,49.8,50.5
THE,50.5,50.7
STUPID,50.7,51.0
HE'S,51.0,51.3
