SAO,2.1,3.4
EPISODE,3.4,5.4
SPEAKING,7.1,8.3
WITH,8.3,9.1
WHAT,9.1,9.4
WE,9.4,9.5
LATER,9.5,9.8
FOUND,9.8,9.9
OUT,9.9,10.1
WAS,10.1,10.2
THE,10.2,10.4
ENDING,10.4,10.7
OF,10.7,10.9
THE,10.9,11.0
EPISODE,11.0,11.7
SO,11.7,13.0
IT,13.0,13.4
YOU,13.4,13.7
SEE,13.7,14.0
PAPER BOY,14.0,15.4
AND,15.4,16.9
MAIN,18.3,22.0
CHARACTER,22.0,22.8
WHOSE,22.8,25.6
NAME,25.6,25.6
I,25.6,25.8
FORGOT,25.8,26.1
BUT,26.1,26.2
HE'S,26.2,26.4
PAPERWAYS,26.4,27.0
COUSIN,27.0,27.5
AND,27.5,27.7
HE'S,27.7,28.7
THE,28.7,28.8
MAIN,28.8,29.0
FOCUS,29.0,29.2
OF,29.2,29.6
THE,29.6,30.2
SLOT,30.2,31.4
I'M,31.4,32.1
IN,32.1,32.3
THE,32.3,32.4
PARKING,32.4,32.7
LOT,32.7,33.3
AND,33.3,34.7
THEN,34.7,42.8
YOU,42.8,43.7
SEE,43.7,44.0
THIS,44.0,44.9
WOLF,44.9,45.4
COMES,45.4,54.4
OUT,54.4,54.6
AND,54.6,54.9
THEN,54.9,55.4
HE,55.4,56.2
WANTS,56.2,58.0
TO,58.0,58.4
MUSIC,0.2,1.0
PLAYING,1.0,1.4
MUSIC,1.4,1.8
PRAYING,1.8,4.1
AND,5.9,6.5
THEN,6.5,6.8
YOU,6.8,7.0
GOT,7.0,7.4
TO,7.4,7.5
THE,7.5,7.7
SCENE,7.7,7.9
OF,7.9,9.1
THE,9.1,9.4
MAIN,9.4,10.7
CHARACTER,10.7,11.7
AND,13.4,14.6
I,14.6,14.6
STILL,14.6,15.0
CAN'T,15.0,15.3
REMEMBER,15.3,15.5
HIS,15.5,15.8
NAME,15.8,15.8
AT,15.8,16.0
THE,16.0,16.1
MOMENT,16.1,16.2
AND,16.2,17.4
SHE,17.4,17.6
HAS,17.6,18.0
A,18.0,18.2
HEADPHONES,18.2,18.5
ON,18.5,19.0
PLAYING,19.0,20.2
THE,20.2,20.3
SAME,20.3,20.4
SONG,20.4,21.1
AND,21.1,22.5
HE'S,22.5,22.7
IN,22.7,22.8
BED,22.8,23.3
WITH,23.3,23.9
RESUME,23.9,25.3
AND,25.3,30.3
SHE,30.3,33.2
KIND,33.2,33.6
OF,33.6,33.7
WAKES,33.7,34.0
UP,34.0,34.3
AND,34.3,34.5
THEN,34.5,39.5
HAVE,39.5,46.2
SOME,46.2,46.5
PLAYFUL,46.5,46.8
BANTER,46.8,47.3
AND,47.3,49.0
MAKE,49.0,51.0
OUT,51.0,51.7
AND,51.7,52.6
SUCH,52.6,53.4
AND,53.4,55.0
THEN,55.0,55.6
THE,55.6,56.1
WOMAN,56.1,56.9
AND,56.9,57.7
SHE,57.7,58.2
GOES,58.2,58.4
TO,58.4,58.6
AND,0.0,2.2
MANGOS,2.2,6.3
AND,6.3,7.6
HE,7.6,8.0
NEEDS,8.0,9.6
TO,9.6,9.7
THE,9.7,9.8
BABY,9.8,10.4
DID,10.4,16.1
YOU,16.1,16.2
REMEMBER,16.2,16.5
THAT,16.5,16.9
YOU'RE,16.9,17.2
TAKING,17.2,17.7
CARE,17.7,17.8
OF,17.8,18.0
THE,18.0,18.2
BABY,18.2,18.6
FOR,18.6,21.2
TONIGHT,21.2,23.2
AND,23.2,23.8
I,23.8,24.7
FORGOT,24.7,25.5
AND,25.5,25.6
SHE,25.6,26.6
LIKES,26.6,27.1
MEANS,27.1,27.4
BY,27.4,27.5
WHICH,27.5,34.3
THE,34.3,36.4
MAIN,36.4,36.6
CHARACTER,36.6,36.7
DIES,36.7,37.3
NOT,37.3,37.8
THAT,37.8,39.2
HAPPY,39.2,39.9
ABOUT,39.9,40.0
AND,40.0,42.8
THEN,42.8,43.4
THE,43.4,43.7
SCENE,43.7,44.4
TO,44.4,46.0
THE,46.0,47.1
MAIN,47.1,47.4
CHARACTER,47.4,47.5
WHEN,47.5,49.0
YOU,49.0,49.2
DON'T,49.2,49.4
WORK,49.4,49.7
SELLING,49.7,51.2
ARE,51.2,51.8
AIRLINE,51.8,52.8
CREDIT,52.8,53.1
CARDS,53.1,53.6
ON,53.6,54.5
WITH,54.5,55.1
A,55.1,56.5
WORK,56.5,56.8
FRIEND,56.8,57.0
AND,57.0,58.3
THEY'RE,58.3,58.4
CHATTING,58.4,59.0
APP,59.0,59.5
FRIEND,0.0,0.7000000000000001
WATCH,5.9,6.6
YOUR,6.6,7.6
LIKE,7.6,8.9
I,8.9,9.1
HAVE,9.1,9.8
YOU,9.8,9.9
BEEN,9.9,10.0
LISTENING,10.0,10.3
TO,10.3,10.6
MUSIC,10.6,11.7
LATELY,11.7,12.3
AND,12.3,12.9
STUFF,12.9,13.6
AND,13.6,13.8
HAVE,13.8,14.4
YOU,14.4,14.5
HEARD,14.5,14.7
ABOUT,14.7,14.9
PAPER,14.9,15.3
BOY,15.3,15.5
AND,15.5,16.0
HE'S,16.0,16.2
LIKE,16.2,16.4
THE,16.4,16.9
MAIN,16.9,17.0
CHARACTER,17.0,17.1
DIES,17.1,17.8
BECAUSE,17.8,18.1
I,18.1,18.3
HAVEN'T,18.3,18.5
REALLY,18.5,18.7
BEEN,18.7,18.8
INVOLVED,18.8,19.2
IN,19.2,19.6
THE,19.6,19.6
MUSIC,19.6,20.0
COMMUNITY,20.0,20.2
RECENTLY,20.2,21.1
BUT,21.1,23.0
ANYWAY,23.0,23.3
THE,23.3,25.1
VIDEO,25.1,25.6
I'M,25.6,26.2
A,26.2,26.3
BOY,26.3,26.8
AND,26.8,28.5
A,28.5,30.2
GIRL,30.2,30.6
THAT'S,30.6,32.1
MY,32.1,32.2
COUSIN,32.2,32.7
THAT'S,32.7,42.3
ACTUALLY,42.3,43.0
THAT'S,44.3,47.6
THE,47.6,48.3
MAIN,48.3,48.5
CHARACTERS,48.5,49.4
THAT,49.4,49.5
SAYS,49.5,50.7
NO,50.7,50.9
HE'S,50.9,51.2
REFERRING,51.2,51.4
TO,51.4,51.7
GET,51.7,57.2
ME,57.2,57.3
TO,57.3,57.4
MEET,57.4,57.5
HIM,57.5,57.8
OR,57.8,57.9
NOT,57.9,58.3
EXACTLY,58.3,58.6
THAT,58.6,58.9
BUT,58.9,59.1
HE,59.1,59.3
IS,59.3,59.5
LIKE,59.5,59.7
THEY'RE,0.0,3.0
SOLD,3.0,3.4
AT,3.4,7.7
SELLING,7.7,10.0
SELLING,10.0,12.9
MY,12.9,13.1
CREDIT,13.1,13.4
CARDS,13.4,13.9
AND,13.9,13.9
SHE,13.9,14.4
