ALRIGHT,0.9,1.5
SO,1.5,1.7000000000000002
EPISODE,1.7000000000000002,2.4
STARTS,2.4,3.8
OFF,3.8,4.2
WITH,4.2,4.5
A,4.5,4.6
NARRATOR,4.6,5.1
OF,5.1,8.5
MICHAEL'S,8.5,9.0
FAMILY,9.0,9.5
ON,9.5,10.5
HIS,10.5,10.8
BOAT,10.8,11.1
PARTY,11.1,11.5
HAS,11.5,13.6
MICHAEL,13.6,14.1
AND,14.1,14.5
SHE,14.5,14.8
HAS,14.8,15.3
A,15.3,15.5
SON,15.5,16.2
GEORGE-MICHAEL,16.2,17.7
AND,17.7,18.6
EPISODE,18.6,19.8
WE,19.8,20.0
FIND,20.0,21.1
OUT,21.1,21.3
THAT,21.3,21.4
IS,21.4,25.0
A,25.0,25.1
TWIN,25.1,25.5
SISTER,25.5,25.8
LINDSEY,25.8,26.6
WHO,26.6,27.5
IS,27.5,28.5
MARRIED,28.5,29.2
TO,29.2,29.3
TOBIAS,29.3,31.8
THINKS,32.2,32.8
SHE,32.8,32.8
MARRIED,32.8,33.2
HIM,33.2,33.4
OUT,33.4,33.7
OF,33.7,33.9
LIKE,33.9,34.2
SPITE,34.2,34.8
OR,34.8,34.9
SOMETHING,34.9,35.4
OR,35.4,35.6
JUST,35.6,35.6
TO,35.6,35.8
MAKE,35.8,35.9
A,35.9,36.1
STATEMENT,36.1,36.1
AS,36.1,37.8
TO,37.8,37.9
BUY,37.9,38.1
MOM,38.1,38.6
AND,38.6,39.1
SHE'S,39.1,39.4
LIKE,39.4,39.6
AN,39.6,39.7
ACTIVIST,39.7,40.4
SO,40.4,41.1
SHE,41.1,41.3
HAS,41.3,42.8
LOT,42.8,43.0
OF,43.0,43.0
FUNDRAISERS,43.0,43.8
KIND,43.8,45.1
OF,45.1,45.3
WEIRD,45.3,45.8
COUSINS,45.8,48.4
AND,48.4,50.0
THEY,50.0,51.2
HAVEN'T,51.2,51.5
SEEN,51.5,51.7
EACH,51.7,51.8
OTHER,51.8,52.0
IN,52.0,52.5
LIKE,52.5,52.7
A,52.7,52.8
YEAR,52.8,52.8
BUT,52.8,53.9
DIDN'T,53.9,54.2
WE,54.2,54.4
TALKED,54.4,54.6
ABOUT,54.6,54.7
IT,54.7,55.2
AND,55.2,55.7
SHE,55.7,55.9
HAS,55.9,56.1
ONE,56.1,56.4
KID,56.4,56.8
CALLED,56.8,57.8
MAYBE,57.8,58.3
AND,1.7000000000000002,2.1
THEN,2.1,2.2
THERE'S,2.2,3.1
HIS,3.1,3.2
OLDER,3.2,3.7
BROTHER,3.7,4.1
JOBE,4.1,5.6
HE'S,5.6,7.8
A,7.8,7.9
MAGICIAN,7.9,8.2
AND,8.2,9.9
EXCHANGE,11.6,12.7
AS,12.7,12.8
WELL,12.8,13.2
AND,13.2,14.1
HIS,14.1,14.7
YOUNGER,14.7,15.5
BROTHER,15.5,16.6
IS,16.6,17.2
BUSTER,17.2,19.0
AND,19.0,20.4
HE,20.4,20.6
HAS,20.6,20.8
BEEN,20.8,21.0
TAKING,21.0,23.0
A,23.0,23.1
LOT,23.1,23.4
OF,23.4,23.6
RANDOM,23.6,24.6
CLASSES,24.6,25.7
NATIVE,31.5,32.1
AMERICAN,32.1,32.7
DRUMMING,32.7,33.2
AND,33.2,33.8
CARTOGRAPHY,33.8,35.1
STUFF,35.1,36.1
LIKE,36.1,36.2
THAT,36.2,36.4
SO,36.4,40.4
AND,42.6,43.2
THERE,43.2,43.3
IS,43.3,43.5
HIS,43.5,43.9
MOM,43.9,44.1
AND,44.1,44.2
HIS,44.2,44.4
DAD,44.4,44.5
IS,44.5,44.9
DAD,44.9,45.3
THE,45.3,46.7
BUSINESS,46.7,46.9
AND,46.9,48.4
HE'S,48.4,48.6
ABOUT,48.6,48.8
TO,48.8,49.1
BE,49.1,49.3
NAMED,49.3,50.0
CEO,50.0,51.7
OF,51.7,53.2
THE,53.2,53.7
BUSINESS,53.7,55.5
OF,55.5,55.6
MICHAEL,55.6,56.0
THINKS,56.0,56.3
IT'S,56.3,56.5
GOING,56.5,56.8
TO,56.8,56.9
BE,56.9,57.0
HIM,57.0,57.5
WHICH,57.5,57.9
IS,57.9,58.0
WHY,58.0,58.3
HE'S,58.3,58.6
PUTTING,58.6,58.9
UP,58.9,59.1
WITH,59.1,59.3
KINDNESS,59.3,59.7
CRAZY,0.0,0.4
FAMILY,0.4,1.0
LIVES,1.0,4.0
CURRENTLY,4.0,4.5
IN,4.5,5.0
LIKE,5.0,5.2
A,5.2,5.3
MODEL,5.3,5.6
HOME,5.6,5.8
FOR,5.8,6.4
HIS,6.4,6.8
DAD'S,6.8,8.7
LIKE,8.7,8.9
NEW,8.9,9.1
DEVELOPMENT,9.1,9.8
AND,11.1,12.0
I,12.0,12.5
HAVE,12.5,12.7
TO,12.7,12.8
LIVE,12.8,12.9
IN,12.9,13.1
HIM,13.1,13.4
AND,13.4,13.5
HIS,13.5,13.7
SON,13.7,13.8
HAS,13.8,14.0
TO,14.0,14.1
LIVE,14.1,14.2
IN,14.2,14.4
THE,14.4,14.5
ATTIC,14.5,14.9
SO,14.9,15.4
THEY,15.4,15.5
DON'T,15.5,15.6
LIKE,15.6,15.8
MESS,15.8,16.1
UP,16.1,17.1
THE,17.1,17.4
MODEL,17.4,17.7
HOME,17.7,17.9
AND,20.9,22.3
OFFICE,23.0,24.0
AND,24.0,24.2
WE,24.2,24.4
JUST,24.4,24.8
KIND,24.8,24.9
OF,24.9,25.0
USES,25.0,25.7
