LAST,0.6000000000000001,1.9
EPISODE,1.9,2.5
STARTED,2.5,3.1
WITH,3.1,3.9
A,3.9,4.0
SCENE,4.0,4.7
WITH,4.7,6.3
THREE,6.3,6.8
MEN,6.8,7.3
IN,7.3,7.9
A,7.9,7.9
CAR,7.9,8.8
OUTSIDE,8.8,9.1
OF,9.1,9.4
A,9.4,9.6
GAS,9.6,10.4
STATION,10.4,10.7
SLASH,10.7,11.6
CONVENIENCE,11.6,12.3
STORE,12.3,12.6
MAN,14.8,15.7
BREAKS,15.7,16.6
MAN,16.6,17.5
OUTSIDE,17.5,17.8
BREAKS,17.8,18.4
THE,18.4,18.9
MIRROR,18.9,20.0
ON,20.0,20.2
THE,20.2,20.3
SIDE,20.3,20.5
OF,20.5,20.7
THE,20.7,20.8
CAR,20.8,21.2
AND,21.2,22.0
SO,22.0,22.4
THE,22.4,22.7
THREE,22.7,22.9
MEN,22.9,23.2
COME,23.2,23.4
OUT,23.4,23.5
OF,23.5,23.9
THE,23.9,24.0
CAR,24.0,24.2
AND,24.2,24.4
HAVE,24.4,25.6
A,25.6,25.7
CONFLICT,25.7,26.2
WITH,26.2,26.7
A,26.7,26.8
BROKEN,26.8,27.8
MIRROR,27.8,28.1
MIRROR,28.1,28.2
HAS,28.2,30.2
ALSO,30.2,30.6
WITH,30.6,31.1
A,31.1,31.6
WOMAN,31.6,32.1
AND,32.1,33.3
DURING,33.3,34.4
THE,34.4,34.4
CONFRONTATION,34.4,34.8
THE,39.1,42.6
MAN,42.6,42.9
WHO,42.9,43.0
OWNS,43.0,43.1
THE,43.1,43.3
CAR,43.3,43.6
SAYS,43.6,45.7
THAT,45.7,46.1
THE,46.1,46.4
MAN,46.4,46.6
WHO,46.6,46.7
HAS,46.7,47.4
TO,47.4,47.4
BUY,47.4,47.7
HIM,47.7,47.8
A,47.8,47.9
NEW,47.9,48.0
MIRROR,48.0,48.4
BUT,48.4,50.0
THEN,52.6,53.4
THE,53.4,53.5
MAN,53.5,53.8
WHO,53.8,54.1
BROKE,54.1,54.3
THE,54.3,54.8
MIRROR,54.8,55.6
SAYS,55.6,56.0
THAT,56.0,56.2
OH,56.2,56.6
LIKE,56.6,58.0
YOU'RE,58.0,58.2
A,58.2,59.1
RAPPER,59.1,59.5
MONEY,0.0,0.6000000000000001
WHAT,0.6000000000000001,1.0
DO,1.0,1.1
YOU,1.1,1.2
NEED,1.2,1.3
ME,1.3,1.5
TO,1.5,1.6
BUY,1.6,1.7000000000000002
THE,1.7000000000000002,1.8
MIRROR,1.8,2.1
BEFORE,2.1,2.1
THEY,2.1,2.9
GET,2.9,3.0
INTO,3.0,3.3
A,3.3,3.4
CONFLICT,3.4,3.9
AND,3.9,4.8
CLOSES,4.8,10.2
WITH,10.2,11.0
A,13.0,13.4
GUN,13.4,13.7
SHOP,13.7,13.8
YOU,13.8,14.1
DON'T,14.1,14.3
KNOW,14.3,14.4
WHO,14.4,14.6
GETS,14.6,14.8
SHOT,14.8,15.2
THE,15.2,16.7
NEXT,16.7,17.1
PART,17.1,17.7
IS,17.7,18.3
AN,18.3,19.7
OVERVIEW,19.7,20.2
OF,20.2,20.6
THE,20.6,20.8
LANDSCAPE,20.8,21.6
OF,21.6,21.7
THE,21.7,22.0
NEIGHBORHOOD,22.0,22.7
THAT,22.7,22.8
WERE,22.8,22.9
LOOKING,22.9,23.0
AT,23.0,23.2
SO,23.2,23.6
YOU,23.6,23.8
SEE,23.8,24.0
BASKETBALL,24.0,24.7
COURT,24.7,25.0
EXCETERA,25.0,27.8
AND,27.8,29.1
NEXIUM,29.1,30.3
OPEN,30.3,30.7
WITH,30.7,32.0
ONE,33.6,34.6
OF,34.6,34.7
THE,34.7,34.9
MEN,34.9,35.2
WHO,35.2,35.4
WERE,35.4,35.7
IN,35.7,36.2
THE,36.2,36.3
CAR,36.3,36.6
IN,36.6,36.7
THE,36.7,36.8
FIRST,36.8,36.9
SCENE,36.9,37.6
LAYING,37.6,39.4
IN,39.4,39.5
BED,39.5,39.8
WITH,39.8,40.9
A,42.3,42.6
WOMAN,42.6,43.2
AND,43.2,44.3
SHE,44.3,44.9
IS,44.9,45.2
LISTENING,45.2,45.6
TO,45.6,46.3
MUSIC,46.3,46.6
AND,46.6,47.1
HIS,47.1,47.3
HEADPHONES,47.3,47.8
AND,47.8,47.9
MAKES,47.9,48.3
A,48.3,48.4
WOMAN,48.4,48.7
UP,48.7,49.0
AND,49.0,50.4
WHEN,50.4,51.5
SHE,51.5,51.6
WAKES,51.6,52.0
UP,52.0,52.0
SHE,52.0,52.3
ASKS,52.3,52.8
WHY,52.8,53.1
HE'S,53.1,53.7
AWAKE,53.7,54.3
AND,54.3,54.8
HE,54.8,55.0
EXPLAINS,55.0,55.5
THAT,55.5,55.5
HE,55.5,55.7
HAD,55.7,56.2
A,56.2,56.9
VERY,56.9,57.4
WEIRD,57.4,57.9
DREAM,57.9,58.4
IN,58.4,59.3
WHICH,59.3,59.5
OH,8.2,8.5
AND,8.5,9.0
WHICH,9.0,9.3
SHE,9.3,9.9
WAS,9.9,10.2
SWIMMING,10.2,11.1
AND,11.1,11.4
WATER,11.4,11.9
AND,11.9,12.7
UNDERNEATH,12.7,13.2
THE,13.2,13.3
WATER,13.3,13.7
THERE,13.7,13.9
WAS,13.9,14.0
A,14.0,14.0
BUNCH,14.0,14.3
OF,14.3,14.5
SEAWEED,14.5,15.8
THAT,15.8,16.3
APPEARED,16.3,16.8
TO,16.8,16.8
BE,16.8,17.0
HANDS,17.0,17.6
AND,17.6,18.8
GRABBED,18.8,19.8
MY,19.8,20.1
LINES,20.1,20.6
THAT,20.6,20.7
WERE,20.7,20.8
TRYING,20.8,21.0
TO,21.0,21.1
CALL,21.1,21.4
HIM,21.4,22.0
SO,22.0,24.3
SHE,25.6,26.1
USES,26.1,26.6
THIS,26.6,27.0
DREAM,27.0,27.3
IS,27.3,27.4
A,27.4,27.5
METAPHOR,27.5,27.8
FOR,27.8,28.1
THE,28.1,28.2
SUNSPOT,28.2,28.8
IF,28.8,29.6
HE,29.6,29.8
DOESN'T,29.8,30.2
KEEP,30.2,30.3
TRYING,30.3,30.8
OR,30.8,30.8
KEEP,30.8,31.1
SWIMMING,31.1,31.4
LIKE,31.4,31.7
EVERYONE,31.7,32.6
AROUND,32.6,32.7
AND,32.7,33.0
WE'LL,33.0,33.1
TRY,33.1,33.3
AND,33.3,33.3
PULL,33.3,33.6
HIM,33.6,33.8
DOWN,33.8,34.0
AND,34.0,36.4
SO,36.4,36.6
THE,36.6,37.0
WOMAN,37.0,37.2
ASKED,37.2,37.6
JOKINGLY,37.6,40.1
ASKED,40.1,40.9
WAS,40.9,42.7
BECAUSE,42.7,42.8
HE,42.8,43.2
MENTIONS,43.2,43.6
THAT,43.6,43.6
IT'S,43.6,44.8
A,44.8,45.0
WOMAN,45.0,45.4
THAT,45.4,45.5
TELLS,45.5,45.8
HIM,45.8,45.9
THAT,45.9,46.0
I,46.0,46.2
NEED,46.2,46.6
TO,46.6,46.6
KEEP,46.6,46.8
SWIMMING,46.8,47.1
SO,47.1,47.3
THAT,47.3,47.5
THE,47.5,48.5
HANDS,48.5,48.8
ON,48.8,48.9
YOU,48.9,50.0
AND,51.1,51.8
HE,51.8,52.0
SAYS,52.0,52.4
OH,52.4,52.5
DON'T,52.5,53.0
WORRY,53.0,53.1
LIKE,53.1,53.7
IT,53.7,54.3
WAS,54.3,54.5
UGLY,54.5,54.7
THAT,54.7,55.3
LIKE,55.3,55.5
AN,55.5,55.6
ATTRACTIVE,55.6,56.1
AND,56.1,57.4
BASE,59.3,59.9
HURT,0.0,0.2
LIKE,0.2,0.30000000000000004
JOKING,0.30000000000000004,1.2
WITH,1.2,1.4
EACH,1.4,1.6
OTHER,1.6,1.9
THE,3.0,4.0
MAN,4.0,4.2
TRIES,4.2,4.5
TO,4.5,4.6
KISS,4.6,4.9
THE,4.9,5.0
GIRL,5.0,5.1
BUT,5.1,6.7
SHE,6.7,7.0
PULLS,7.0,7.5
AWAY,7.5,7.6
AND,7.6,8.0
TELLS,8.0,8.3
HIM,8.3,8.4
THAT,8.4,8.4
SHE,8.4,8.7
HAS,8.7,8.8
MORNING,8.8,9.1
BREATH,9.1,9.6
BUT,10.6,11.3
SHE,11.3,11.6
PERCEIVES,11.6,12.1
TO,12.1,12.1
TRY,12.1,12.3
AND,12.3,12.4
KISS,12.4,12.7
HER,12.7,12.8
AND,12.8,13.1
JOKES,13.1,13.6
THAT,13.6,14.0
HE,14.0,14.3
CHASED,14.3,15.7
THE,15.7,15.8
CARDI,15.8,16.3
THAT,16.3,16.4
SHE,16.4,16.8
HAD,16.8,17.0
LAST,17.0,17.3
NIGHT,17.3,17.4
AND,17.4,18.2
I,18.2,18.2
WILL,18.2,18.4
DEFINITELY,18.4,18.5
END,18.5,19.0
UP,19.0,19.1
KISSING,19.1,19.3
AND,19.3,20.7
IN,20.7,21.1
THE,21.1,21.1
MIDDLE,21.1,21.4
OF,21.4,21.5
KISSING,21.5,22.1
SHE,22.1,22.9
TELLS,22.9,23.5
ME,23.5,23.6
SHE,23.6,25.5
WANTS,25.5,26.3
EARN,28.0,28.5
A,28.5,28.7
NOTE,28.7,28.9
THAT,28.9,29.0
SHE,29.0,29.4
LOVES,29.4,29.8
HIM,29.8,29.9
AND,29.9,31.1
WHEN,31.1,31.3
SHE,31.3,31.7
LAST,31.7,32.5
SHE,32.5,32.8
GETS,32.8,33.0
UPSET,33.0,33.2
BECAUSE,33.2,33.5
HE,33.5,33.7
DOESN'T,33.7,34.0
SAY,34.0,34.2
I,34.2,34.5
LOVE,34.5,34.8
YOU,34.8,35.0
BACK,35.0,35.1
TO,35.1,35.4
HER,35.4,35.6
AND,35.6,36.8
SHE,36.8,37.0
STORMED,37.0,37.5
OUT,37.5,37.6
OF,37.6,37.6
THE,37.6,37.8
ROOM,37.8,38.0
INTO,38.0,38.2
THE,38.2,38.3
BATHROOM,38.3,38.7
TO,38.7,38.8
GET,38.8,39.0
READY,39.0,39.3
FOR,39.3,39.5
HER,39.5,39.8
DAY,39.8,40.0
AT,40.0,40.1
WORK,40.1,40.6
WHILE,40.6,41.6
SHE,41.6,41.9
WALKS,41.9,42.8
OUT,42.8,42.8
OF,42.8,43.0
THE,43.0,43.1
ROOM,43.1,43.4
TO,43.4,43.7
GO,43.7,44.1
SEE,44.1,44.4
HIS,44.4,44.6
DAUGHTER,44.6,44.8
WHICH,44.8,45.6
IS,45.6,45.7
AND,45.7,46.9
SHE'S,46.9,47.1
IN,47.1,47.2
A,47.2,47.3
CRIB,47.3,47.7
IN,47.7,47.8
A,47.8,47.9
DIFFERENT,47.9,48.2
ROOM,48.2,48.4
WHILE,51.4,52.1
HOLDING,52.1,53.3
HIS,53.3,53.5
DAUGHTER,53.5,54.0
OF,54.0,54.8
THE,54.8,55.0
WOMAN,55.0,55.2
WHO,55.2,55.6
IS,55.6,56.3
NOT,56.3,56.6
MADE,56.6,57.0
IF,57.0,57.5
SHE'S,57.5,57.8
HIS,57.8,58.0
WIFE,58.0,58.1
OR,58.1,58.4
HIS,58.4,58.4
GIRLFRIEND,58.4,58.7
OR,58.7,59.9
IT'S,0.0,0.4
LIKE,0.4,0.5
AN,0.5,0.6000000000000001
ACQUAINTANCE,0.6000000000000001,1.1
SAYS,1.1,1.8
THAT,1.8,2.1
SHE'S,2.1,2.7
GOING,2.7,2.7
TO,2.7,2.9
BE,2.9,3.0
HOME,3.0,3.3
LATE,3.3,4.0
BECAUSE,4.0,4.4
SHE,4.4,4.8
HAS,4.8,5.0
A,5.0,5.0
DATE,5.0,5.6
WHICH,5.6,7.7
INTRODUCES,7.7,8.7
THEIR,8.7,8.9
RELATIONSHIP,8.9,9.8
HE'S,11.4,12.4
CLEARLY,12.4,12.8
UPSET,12.8,13.2
BY,13.2,13.5
THE,13.5,13.8
FACT,13.8,13.9
THAT,13.9,14.1
SHE,14.1,14.2
HAS,14.2,14.6
A,14.6,14.6
DATE,14.6,15.0
WHEN,15.0,15.9
I,15.9,16.0
GET,16.0,16.2
INTO,16.2,16.4
A,16.4,16.5
SMALL,16.5,16.9
ARGUMENT,16.9,17.2
BECAUSE,17.2,17.7
SHE,17.7,17.8
TOLD,17.8,18.0
HIM,18.0,18.4
THAT,18.4,18.5
SHE,18.5,19.8
DOESN'T,19.8,20.2
WANT,20.2,20.3
