SOUL,0.6000000000000001,1.5
EPISODE,1.5,2.1
OPENS,2.1,3.0
WITH,3.0,3.6
A,3.6,4.6
PAPERBOY,4.6,6.3
AND,6.3,6.7
ERNIE,6.7,7.2
WHICH,7.2,7.4
IS,7.4,7.5
THE,7.5,7.6
NAME,7.6,7.7
OF,7.7,7.8
MAIN,7.8,8.1
CHARACTER,8.1,8.2
SITTING,8.2,9.4
IN,9.4,10.0
IN,13.7,14.1
LIKE,14.1,14.4
A,14.4,14.5
JAILHOUSE,14.5,15.7
IS,15.7,16.9
OFFICE,16.9,17.5
AND,17.5,19.6
THEY'RE,19.6,19.8
BOTH,19.8,20.0
TALKING,20.0,21.1
ABOUT,21.1,21.5
WHAT,21.5,21.6
HAPPENED,21.6,22.1
AND,22.1,22.2
THEY'RE,22.2,23.4
MAKING,23.4,23.6
SPAWN,23.6,24.3
OF,24.3,24.6
THE,24.6,24.8
INVESTIGATORS,24.8,25.6
WHO,25.6,25.9
TRIED,25.9,26.1
TO,26.1,26.2
TURN,26.2,26.4
THE,26.4,26.5
WATER,26.5,26.7
EACH,26.7,26.9
OTHER,26.9,27.2
MUSIC,27.2,38.0
VIDEOS,38.0,38.5
KIND,38.5,40.2
OF,40.2,40.3
ARGUING,40.3,40.8
OVER,40.8,40.9
WHETHER,40.9,41.2
OR,41.2,41.4
NOT,41.4,41.6
HE,41.6,42.6
IS,42.6,42.7
IN,42.7,43.0
A,43.0,43.0
WAY,43.0,49.0
WHICH,49.0,50.3
CONFIRMS,50.3,50.8
THE,50.8,50.9
FACT,50.9,50.9
THAT,50.9,51.2
SHE,51.2,51.3
IS,51.3,51.8
ONE,51.8,52.6
OF,52.6,52.7
THE,52.7,52.8
GIRLS,52.8,53.0
FROM,53.0,53.1
TV,53.1,53.4
ANIMATED,53.4,53.8
VIDEO,53.8,54.0
PAPER,55.1,57.1
BOY,57.1,57.2
IS,57.2,57.7
CALLED,57.7,58.4
ARE,0.0,0.2
THE,0.2,0.30000000000000004
OFFICE,0.30000000000000004,0.5
TO,0.5,0.7000000000000001
GET,0.7000000000000001,0.8
DISCHARGED,0.8,1.4
BECAUSE,1.4,1.7000000000000002
SHE'S,1.7000000000000002,3.0
BEEN,3.0,3.1
BAILED,3.1,3.6
OUT,3.6,3.7
AND,3.7,4.5
WHEN,4.5,4.7
SHE,4.7,4.9
ASKS,4.9,5.5
WHAT,5.5,5.7
THE,5.7,6.4
CHARGES,6.4,7.2
FOR,7.2,7.5
ERNIE,7.5,8.1
SO,8.1,8.3
I,8.3,8.3
CAN,8.3,8.6
BAIL,8.6,8.8
HIM,8.8,9.0
OUT,9.0,9.1
TOLD,9.1,12.5
HIM,12.5,12.8
THAT,12.8,13.1
ERNIE,13.1,13.6
HAS,13.6,13.8
BEEN,13.8,14.0
PROCESSED,14.0,14.6
YET,14.6,14.7
AND,14.7,15.8
THEY,15.8,16.3
HAVE,16.3,16.5
TENSION,16.5,16.9
KIND,16.9,17.5
OF,17.5,17.5
GOT,17.5,17.6
INTO,17.6,17.9
AN,17.9,17.9
ARGUMENT,17.9,18.0
AND,18.0,19.4
THEN,19.4,19.6
GIVE,19.6,20.9
HER,20.9,20.9
A,20.9,21.0
BOY,21.0,21.1
SAYS,21.1,21.5
I,21.5,21.6
HATE,21.6,21.7
THIS,21.7,21.9
PLACE,21.9,22.3
AND,22.3,22.6
WALKS,22.6,23.0
OUT,23.0,23.1
ON,23.1,23.8
HIS,23.8,24.0
WAY,24.0,24.2
OUT,24.2,24.3
HE,24.3,24.7
WAS,24.7,24.8
GREETED,24.8,25.1
BY,25.1,25.3
HIS,25.3,25.8
ASSOCIATES,25.8,26.4
IN,26.4,26.5
THE,26.5,26.6
FIRST,26.6,26.9
EPISODE,26.9,27.0
AND,27.0,28.4
I'M,28.4,28.6
BEFORE,28.6,28.9
THEY,28.9,29.1
CAN,29.1,29.3
LEAVE,29.3,29.6
A,29.6,29.7
SECURITY,29.7,30.3
GUARD,30.3,30.4
WAS,30.4,30.8
UP,30.8,31.0
TO,31.0,31.2
HIM,31.2,31.5
AND,31.5,32.7
HE,32.7,37.3
ASKED,37.3,37.7
ME,37.7,38.3
PICTURES,38.3,40.1
OF,40.1,40.4
HIM,40.4,40.6
WITH,40.6,40.8
PAPERBOY,40.8,41.4
THEN,48.3,49.5
WE,49.5,50.2
SEE,50.2,50.5
A,50.5,50.9
CLIP,50.9,51.4
OF,51.4,51.8
ERNIE,51.8,52.6
SITTING,55.9,57.0
WITH,1.2,1.7000000000000002
ALL,1.7000000000000002,2.0
THE,2.0,2.1
OTHER,2.1,2.4
PEOPLE,2.4,2.8
TRYING,2.8,3.2
TO,3.2,3.2
BE,3.2,3.4
CHARGED,3.4,5.7
A,5.7,5.9
PROCESS,5.9,6.5
IN,6.5,7.2
A,7.2,7.3
ROOM,7.3,7.8
WHERE,7.8,8.5
A,8.5,9.4
SECURITY,9.4,10.0
OR,10.0,10.2
HE'S,10.2,10.4
A,10.4,11.9
SECURITY,11.9,12.3
GUARD,12.3,12.6
TELLS,12.6,13.1
YOU,13.1,13.2
THAT,13.2,14.0
YOU'RE,14.0,14.2
