OKAY,1.4,3.3
SO,3.3,3.8
THE,3.8,4.2
EPISODE,4.2,4.6
STARTS,4.6,5.0
OUT,5.0,5.4
AND,5.4,5.9
TABOR,5.9,7.2
BRIAN,7.2,7.6
ERNST,7.6,8.4
ORANGE,8.4,9.1
ARTIST,9.1,9.9
IN,9.9,14.9
JAIL,14.9,15.1
WEATHER,15.1,16.6
IN,16.6,16.8
THE,16.8,16.8
JAIL,16.8,17.0
WAITING,17.0,17.4
ROOM,17.4,17.7
THERE'S,17.7,18.7
ANY,18.7,18.9
OF,18.9,19.0
THESE,19.0,19.1
TWO,19.1,19.3
CHAIRS,19.3,19.6
UP,19.6,19.8
AGAINST,19.8,20.0
THE,20.0,20.1
WALL,20.1,20.6
AND,20.6,20.8
THE,20.8,21.0
CAMERAS,21.0,21.3
PAN,21.3,21.9
SO,21.9,22.2
THAT,22.2,22.4
IN,22.4,22.7
THE,22.7,22.8
UPPER,22.8,23.1
RIGHT,23.1,23.5
HAND,23.5,23.7
CORNER,23.7,24.0
IS,24.0,25.3
PRETTY,25.3,26.0
BEAT,26.0,26.3
UP,26.3,26.4
GUY,26.4,27.3
BEHIND,27.3,27.6
THE,27.6,27.7
GLASS,27.7,28.2
AND,28.2,28.4
SEEMS,28.4,29.1
TO,29.1,29.1
BE,29.1,29.3
LIKE,29.3,29.4
SYMBOLIC,29.4,30.0
OF,30.0,30.1
LIKE,30.1,30.6
YOU,31.7,32.0
KNOW,32.0,32.2
LIKE,32.2,32.4
YOU'RE,32.4,32.6
EITHER,32.6,32.7
BEHIND,32.7,33.0
THE,33.0,33.2
GLASS,33.2,33.5
YOU'RE,33.5,33.6
IN,33.6,33.7
FRONT,33.7,33.9
OF,33.9,34.0
IT,34.0,34.2
AND,34.2,34.4
LIKE,34.4,34.7
THAT'S,34.7,34.9
WHAT,34.9,35.1
IT'S,35.1,35.3
LIKE,35.3,35.4
BEHIND,35.4,35.7
THE,35.7,35.8
GLASS,35.8,36.2
LIKE,36.2,36.4
YOU,36.4,36.5
HAVE,36.5,36.6
A,36.6,36.7
BLACK,36.7,36.8
GUY,36.8,37.2
I,37.2,37.6
LIKE,37.6,38.0
YOU'RE,39.2,39.7
IN,39.7,40.3
THE,40.3,40.4
HOSPITAL,40.4,40.6
GOWN,40.6,41.4
KIND,41.4,41.8
OF,41.8,41.8
LIKE,41.8,42.2
CRAZY,42.2,42.6
I,48.5,48.9
GOT,48.9,49.0
SIGHT,49.0,49.3
WORD,49.3,49.7
CENA,49.7,50.9
LAST,50.9,51.8
A,52.4,52.8
MAN,52.8,53.1
TODAY,53.1,53.3
ANYWAY,53.3,53.7
WAITING,53.7,54.3
AROUND,54.3,54.4
THERE,54.4,54.6
TALKING,54.6,55.2
AND,55.2,55.3
LIKE,55.3,55.8
YOU,55.8,55.9
SAID,55.9,56.1
SOMETHING,56.1,56.4
LIKE,56.4,56.7
YOU,56.7,56.9
THINK,56.9,57.1
THE,57.1,57.2
GUYS,57.2,57.6
INSIDE,0.0,1.2
I,1.2,1.4
DON'T,1.4,1.4
KNOW,1.4,1.6
WHAT,1.6,1.7000000000000002
YOU'RE,1.7000000000000002,1.8
TALKING,1.8,1.9
ABOUT,1.9,2.1
SO,2.1,2.5
EARN,2.5,2.9
SAYS,2.9,3.1
THAT,3.1,3.3
THEY,3.3,3.6
WERE,3.6,3.6
BOYS,3.6,3.8
I,3.8,4.1
DON'T,4.1,4.2
KNOW,4.2,4.3
WHAT,4.3,4.4
YOU'RE,4.4,4.6
TALKING,4.6,4.7
ABOUT,4.7,4.9
LIKE,4.9,5.8
WHEN,5.8,6.8
I,6.8,6.9
ESPECIALLY,6.9,7.1
DON'T,7.1,7.4
KNOW,7.4,7.5
WHAT,7.5,7.6
YOU'RE,7.6,7.7
TALKING,7.7,7.8
ABOUT,7.8,8.0
IN,8.0,8.3
THIS,8.3,8.5
VERY,8.5,8.7
ROOM,8.7,8.8
AT,8.8,9.1
THIS,9.1,9.2
TIME,9.2,9.8
SO,12.0,12.4
ANYWAY,12.4,12.8
THEY,12.8,13.7
SEE,13.7,13.8
THIS,13.8,14.0
GIRL,14.0,14.3
THIS,14.3,15.0
GIRL,15.0,15.2
I,15.2,15.5
THINK,15.5,15.6
FOR,15.6,15.9
THE,15.9,16.0
VIDEO,16.0,16.3
THE,16.3,16.5
PAPER BOY,16.5,16.9
