OKAY,1.3,1.9
SO,1.9,2.6
EPISODE,2.6,4.9
STARTS,4.9,5.8
WERE,5.8,6.0
THERE,6.0,6.2
IN,6.2,6.9
THE,6.9,7.9
PARKING,7.9,8.3
LOT,8.3,8.8
OUTSIDE,8.8,10.0
OF,10.0,10.3
LIKE,10.3,10.8
A,10.8,10.9
AROUND,12.4,13.0
twenty-four,13.0,13.3
HOURS,13.3,13.8
SERVICE,13.8,14.0
SING,14.0,15.0
THE,15.0,17.2
MAIN,17.2,17.6
CHARACTERS,17.6,18.4
LIKE,18.4,18.6
EARN,18.6,19.3
OR,19.3,19.9
ANYTHING,19.9,20.1
AND,20.1,21.5
HE'S,21.5,22.0
IN,22.0,22.4
A,22.4,22.4
CAR,22.4,22.9
WITH,22.9,23.3
PAPER,23.3,23.6
BOY,23.6,23.9
WHICH,23.9,24.5
IS,24.5,24.7
COUSIN,24.7,25.1
NAMED,25.1,25.4
ALFRED,25.4,25.9
LIKE,25.9,26.2
THE,26.2,26.4
PAPER,26.4,26.7
WAS,26.7,27.0
HIS,27.0,27.3
RAPPER,27.3,28.9
NAME,28.9,29.1
AND,30.7,31.5
THEY,31.5,31.9
GET,31.9,32.1
INTO,32.1,32.5
A,32.5,32.5
FIGHT,32.5,33.2
BECAUSE,33.2,34.2
SOMEONE,34.2,34.6
KNOCKS,34.6,35.2
THE,35.2,36.2
MIRROR,36.2,36.7
OF,36.7,37.0
THE,37.0,37.0
SIDE,37.0,37.4
MIRROR,37.4,37.6
OFF,37.6,37.8
THE,37.8,37.9
CAR,37.9,38.3
AND,42.0,42.5
SO,42.5,42.6
THEY,42.6,42.8
GOT,42.8,42.9
OUT,42.9,43.1
OF,43.1,43.1
THE,43.1,43.2
CAR,43.2,43.4
AND,43.4,43.7
THEY,43.7,43.8
START,43.8,44.1
ARGUING,44.1,44.2
ABOUT,44.2,44.6
IT,44.6,45.0
AND,45.0,45.1
THEY,45.1,45.2
EAT,45.2,45.4
AND,45.4,45.5
THEN,45.5,45.6
THEY,45.6,45.7
ALL,45.7,46.0
LIKE,46.0,46.2
TAKE,46.2,46.4
OUT,46.4,46.6
THEIR,46.6,46.7
GUNS,46.7,47.1
IF,47.1,47.3
THEY'RE,47.3,47.6
GOING,47.6,47.7
TO,47.7,47.8
SHE,50.7,51.0
OR,51.0,51.2
ANOTHER,51.2,51.5
AND,51.5,51.9
THEN,51.9,52.3
IT,53.3,53.7
KIND,53.7,54.0
OF,54.0,54.0
LIKE,54.0,56.1
CAMERA,56.1,56.6
ANGLE,56.6,56.9
ZOOMS,56.9,57.3
OUT,57.3,57.4
AND,57.4,58.3
SEE,58.3,58.4
IF,58.4,58.6
MY,58.6,58.7
BOBBIN,58.7,59.1
IT,59.1,59.3
LIKE,59.3,59.9
YOU,0.1,0.5
SHOULD,0.5,0.6000000000000001
LIKE,0.6000000000000001,0.7000000000000001
A,0.7000000000000001,0.8
SHOCK,0.8,1.1
OFF,1.1,1.3
WHEN,1.3,1.5
IT,1.5,1.6
CHANGES,1.6,2.0
AND,2.0,3.1
THE,3.1,3.2
END,3.2,3.4
THE,3.4,3.5
EPISODE,3.5,4.0
LIKE,4.0,4.3
STARTS,5.3,5.9
THEIR,5.9,6.1
KIND,6.1,6.5
OF,6.5,6.6
AND,6.6,6.8
IT,6.8,6.9
HAS,6.9,7.1
LIKE,7.1,7.3
EAGLE-EYE,7.3,9.3
VIEW,9.3,9.5
LIKE,9.5,10.8
TRAFFIC,10.8,11.5
AND,11.5,11.6
I,11.6,11.7
THINK,11.7,11.9
IT'S,11.9,12.1
MAYBE,12.1,12.3
THEY'RE,12.3,12.5
IN,12.5,12.5
LA,12.5,13.0
OR,13.0,13.1
SOMETHING,13.1,13.6
AND,13.6,14.7
THEN,14.7,14.8
IT,14.8,14.9
FAST,14.9,15.2
FORWARD,15.2,15.5
TO,15.5,16.0
THE,16.0,16.3
MAIN,16.3,16.6
CHARACTER,16.6,16.8
EARN,16.8,19.9
WAKING,19.9,20.6
UP,20.6,20.6
IN,20.6,21.0
BED,21.0,21.4
WITH,21.4,23.8
HIS,23.8,25.4
PARTNER,26.0,26.6
I,26.6,27.0
DON'T,27.0,27.2
REMEMBER,27.2,27.5
HER,27.5,27.7
NAME,27.7,27.7
BUT,27.7,28.6
AT,28.6,31.1
FIRST,31.1,31.2
I,31.2,31.4
THOUGHT,31.4,31.5
THEY,31.5,31.7
WERE,31.7,31.8
DATING,31.8,32.1
BUT,32.1,33.3
I,33.3,33.4
THINK,33.4,33.6
THAT,33.6,33.6
THEY,33.6,33.9
EITHER,33.9,35.0
WERE,35.0,35.5
DATING,35.5,35.9
OR,35.9,36.0
MARRIED,36.0,36.3
BUT,36.3,36.4
NOW,36.4,36.5
THEY'RE,36.5,36.7
NOT,36.7,36.8
AND,36.8,39.6
HE'S,39.6,39.8
JUST,39.8,39.8
LIVING,39.8,40.3
THERE,40.3,40.5
BECAUSE,40.5,40.7
HE,40.7,41.4
NEEDS,41.4,43.2
SOME,43.2,43.8
PLACE,43.8,44.0
AND,44.0,44.3
THEY,44.3,44.4
HAVE,44.4,44.6
A,44.6,44.6
KID,44.6,44.8
TOGETHER,44.8,45.0
SO,45.0,46.4
HE,46.4,46.9
IS,46.9,47.5
AWAKE,47.5,48.0
LISTENING,48.0,49.6
TO,49.6,50.2
MUSIC,50.2,50.8
WHEN,50.8,51.1
SHE,51.1,51.8
TURNS,51.8,53.5
OVER,53.5,53.7
LIKE,53.7,53.9
TAKES,53.9,54.1
THE,54.1,54.2
HEADPHONES,54.2,54.6
OFF,54.6,54.7
HIS,54.7,55.0
HEAD,55.0,55.4
AND,57.9,58.3
THEN,58.3,58.6
THEY,58.6,59.0
START,59.0,59.6
TO,59.6,59.8
MAKE,0.0,0.6000000000000001
OUT,0.6000000000000001,0.9
AND,0.9,1.1
SHE,1.1,1.4
SAYS,1.4,1.8
TELL,1.8,2.1
ME,2.1,2.2
THAT,2.2,2.4
YOU,2.4,2.6
LOVE,2.6,2.7
ME,2.7,2.9
AND,2.9,3.3
HE,3.3,3.5
LAUGHS,3.5,4.1
KIND,4.1,5.0
OF,5.0,5.1
INTO,5.1,5.4
SAYS,5.4,5.7
OKAY,5.7,6.0
AND,6.0,6.1
THEN,6.1,6.3
SHE,6.3,6.4
GETS,6.4,6.6
REALLY,6.6,6.7
MAD,6.7,6.9
AT,6.9,7.1
HIM,7.1,7.5
AND,7.5,9.9
THEN,9.9,10.8
SHE,10.8,11.0
GETS,11.0,11.5
UP,11.5,11.6
OUT,11.6,11.7
OF,11.7,11.8
BED,11.8,11.9
ANSWER,13.2,14.3
TO,14.3,14.5
GET,14.5,14.7
READY,14.7,15.1
AND,15.1,15.7
SO,15.7,15.9
EARN,15.9,16.4
EARN,16.4,16.5
GETS,18.4,19.0
UP,19.0,19.2
TO,19.2,19.7
AND,19.7,20.3
GOES,20.3,20.6
AND,20.6,20.8
PICKS,20.8,21.0
UP,21.0,21.4
HIS,21.4,21.6
DAUGHTER,21.6,22.8
WHO'S,22.8,23.1
IN,23.1,23.2
THE,23.2,23.3
ROOM,23.3,23.5
OVER,23.5,23.7
AND,23.7,25.6
THEN,25.6,26.0
HIS,27.2,28.7
WIFE,28.7,30.1
OR,30.1,30.4
EX-GIRLFRIEND,30.4,32.0
I,32.0,33.3
FORGOT,33.3,33.6
HER,33.6,33.7
NAME,33.7,33.7
SAYS,34.8,35.7
THAT,35.7,35.9
IF,35.9,36.2
HE'S,36.2,36.3
GOING,36.3,36.4
TO,36.4,36.5
KEEP,36.5,36.7
STAYING,36.7,37.1
HERE,37.1,37.3
THEN,37.3,38.7
HE,38.7,38.8
NEEDS,38.8,39.0
TO,39.0,39.1
PAY,39.1,39.3
RENT,39.3,39.8
AND,39.8,41.8
HE,41.8,42.6
SAYS,42.6,42.9
THAT,42.9,43.0
HE'LL,43.0,44.4
GET,44.4,44.7
MONEY,44.7,45.1
HER,45.1,45.8
BY,45.8,46.0
TONIGHT,46.0,46.6
AND,46.6,46.7
YES,46.7,47.9
WHEN,47.9,48.1
SHE'S,48.1,48.3
GOING,48.3,48.4
TO,48.4,48.5
GET,48.5,48.6
HOME,48.6,49.3
AND,49.3,50.0
SHE,50.0,50.7
SAYS,50.7,51.7
THAT,51.7,52.0
SHE'LL,52.0,52.2
BE,52.2,52.3
HOME,52.3,52.6
TILL,52.6,52.9
eleven,52.9,53.6
BECAUSE,53.6,54.6
OF,54.6,55.9
A,55.9,56.9
DATE,56.9,57.6
I,57.6,59.0
THINK,59.0,59.3
HE'S,59.3,59.5
LIKE,59.5,59.7
SURPRISED,0.0,0.7000000000000001
THAT,0.7000000000000001,1.1
SHE,1.1,1.8
IS,1.8,2.3
SEEING,2.3,2.5
OTHER,2.5,2.7
PEOPLE,2.7,3.3
SO,3.3,4.3
THEN,4.3,5.0
AFTER,5.0,5.2
THIS,5.2,5.4
THE,5.4,6.2
SCENE,6.2,6.6
AND,6.6,6.7
THEIR,6.7,7.3
HOUSE,7.3,7.7
AND,7.7,8.2
IT,8.2,8.6
FLASHES,8.6,9.4
TO,9.4,9.7
HIM,9.7,10.2
EARN,10.2,10.8
AT,10.8,11.5
WORK,11.5,11.9
AND,11.9,13.0
I,13.0,13.0
THINK,13.0,13.3
SHE,13.3,13.5
IS,13.5,13.7
WORKING,16.0,16.7
AT,16.7,17.0
THE,17.0,17.1
AIRPORT,17.1,17.4
TRYING,17.4,18.3
TO,18.3,18.5
SELL,18.5,19.4
I,20.4,20.8
DON'T,20.8,20.9
KNOW,20.9,21.0
PROBABLY,21.0,21.2
SOME,21.2,21.5
TYPE,21.5,21.7
OF,21.7,21.8
MEMBERSHIP,21.8,22.6
OR,22.6,23.9
SOMETHING,23.9,24.2
FOR,24.2,25.4
A,25.4,25.5
SPECIFIC,25.5,26.2
AIRLINE,26.2,27.0
INTO,27.0,27.8
HIS,27.8,28.0
FRIENDS,28.0,28.1
WORKING,28.1,29.7
AND,33.5,34.9
HIS,34.9,35.3
FRIEND,35.3,35.9
OR,35.9,36.3
HIS,36.3,36.4
LIKE,36.4,36.7
COWORKERS,36.7,37.4
ARE,37.4,37.5
TALKING,37.5,37.7
ABOUT,37.7,38.1
THIS,38.1,39.3
IS,39.3,39.5
DENISE,39.5,39.9
ON,39.9,40.1
PAPER BOY,40.1,40.6
AND,40.6,42.0
HOW,42.0,42.1
IT'S,42.1,42.3
GOING,42.3,42.3
TO,42.3,42.4
BE,42.4,42.5
LIKE,42.5,42.7
A,42.7,42.8
BIG,42.8,43.0
HEAD,43.0,43.5
AND,43.5,44.8
