SO,0.0,1.9
FINISH,1.9,3.4
THE,3.4,3.7
VIDEO,3.7,3.9
OR,3.9,4.4
THE,4.4,4.6
EPISODE,4.6,5.0
STARTS,5.0,5.4
WITH,5.4,5.5
PAPERBOY,5.5,5.9
IN,5.9,6.1
EARNEST,6.1,6.5
IN,6.5,6.7
JAIL,6.7,7.1
IS,7.1,7.3
INSIDE,7.3,8.0
A,8.0,8.0
COFFEE,8.0,8.5
AND,8.5,9.4
THEY,9.4,9.7
SEE,9.7,10.0
OTHER,10.0,10.3
PEOPLE,10.3,10.8
IN,10.8,11.0
THERE,11.0,11.3
FROM,11.3,13.3
SOME,13.3,13.7
VIDEO,13.7,14.9
AND,14.9,16.6
THEN,16.6,17.1
FILLED,17.1,18.3
OUT,18.3,18.7
HE,18.7,19.5
ASKED,19.5,19.9
THE,19.9,20.0
LADY,20.0,20.4
AT,20.4,20.8
THE,20.8,20.9
FRONT,20.9,21.9
DESK,21.9,22.1
OR,22.1,22.8
NOT,22.8,23.0
WHAT'RE,25.2,26.2
NOT,26.2,26.5
EARNEST,26.5,26.9
IS,26.9,27.0
JULY,27.0,27.3
TOO,27.3,27.4
AND,27.4,28.0
THEN,28.0,28.4
SHE,28.4,28.7
TELLS,28.7,28.9
SYSTEM,28.9,30.6
THE,31.6,32.6
PAPER,32.6,33.0
BOY,33.0,33.2
MEETS,33.2,33.6
UP,33.6,33.7
WITH,33.7,34.0
DARIUS,34.0,34.6
AFTER,34.6,35.1
THEY,35.1,35.8
LEAVE,35.8,36.1
AND,36.1,36.4
IT'S,36.4,36.7
VERY,36.7,36.9
CLEAR,36.9,37.3
FROM,37.3,37.5
HERE,37.5,37.7
ON,37.7,37.8
OUT,37.8,37.9
THAT,37.9,38.1
PAPER,38.1,38.4
BOYS,38.4,38.6
FAMOUS,38.6,39.1
NOW,39.1,39.4
BECAUSE,39.4,39.7
IT'S,39.7,39.7
ALL,39.7,40.2
ON,40.2,40.9
THE,40.9,41.0
POLICE,41.0,41.3
OFFICER,41.3,41.3
TRIES,41.3,41.7
TO,41.7,41.8
GET,41.8,42.0
A,42.0,42.0
PICTURE,42.0,42.2
WITH,42.2,42.4
HIM,42.4,42.5
AND,42.5,42.8
THEN,42.8,43.2
BUT,43.2,43.8
THEN,43.8,44.2
IT,44.2,46.2
WOULD,46.2,46.5
GO,46.5,55.8
TO,55.8,56.3
A,56.3,56.5
PLACE,56.5,57.1
