SO,0.2,2.6
THIS,2.6,2.8
EPISODE,2.8,3.5
STARTS,3.5,4.1
IN,4.1,4.4
I,5.9,6.3
THINK,6.3,6.5
IT'S,6.5,7.1
IN,7.1,7.3
JAIL,7.3,8.1
SO,8.1,9.0
ALFRED,9.0,9.9
AND,9.9,10.6
ALFRED,12.4,13.2
AND,13.2,13.7
ERNEST,13.7,14.3
ARE,14.3,14.5
SITTING,14.5,15.0
OUTSIDE,15.0,15.4
LIKE,15.4,17.0
THIS,17.0,17.2
ROOM,17.2,17.8
AND,19.1,19.7
THEY'RE,19.7,20.0
TALKING,20.0,20.2
ABOUT,20.2,20.6
WHETHER,20.6,21.1
THEY,21.1,21.4
THINK,21.4,21.8
THE,21.8,21.8
GUY,21.8,22.0
DIED,22.0,22.3
AND,22.3,23.4
WHENEVER,23.4,23.7
AND,23.7,24.1
THEY'RE,24.1,24.2
KIND,24.2,24.4
OF,24.4,24.6
LIKE,24.6,24.6
JOKING,24.6,25.1
ABOUT,25.1,25.4
IT,25.4,25.6
AND,25.6,26.4
THEN,26.4,26.6
ALFRED,26.6,28.1
SEES,28.1,28.6
THIS,28.6,28.8
GIRL,28.8,29.3
LIKE,29.3,30.7
ON,30.7,30.8
THE,30.8,30.9
OTHER,30.9,31.0
SIDE,31.0,31.1
OF,31.1,31.4
THE,31.4,31.4
ROOM,31.4,31.8
AND,31.8,32.6
SHE'S,32.6,34.0
HE,34.0,34.5
SAYS,34.5,34.8
THAT,34.8,35.0
HE,35.0,35.2
KNOWS,35.2,35.5
HER,35.5,35.8
AND,35.8,36.6
THEN,36.6,38.1
AND,39.3,39.8
THEN,39.8,40.1
DARKNESS,40.1,40.3
IS,40.3,40.6
LIKE,40.6,40.8
NO,40.8,40.9
YOU,40.9,41.1
DON'T,41.1,41.2
AND,41.2,41.7
I,41.7,42.4
DO,42.4,43.4
AND,43.4,43.7
THEN,43.7,43.9
SO,43.9,44.1
HE,44.1,44.2
HE,44.2,44.3
DOESN'T,44.3,44.9
SUCK,44.9,45.2
COCK,45.2,45.7
AND,45.7,46.3
SHE,46.3,52.2
LOOKS,52.2,52.5
OVER,52.5,52.8
YOUR,52.8,53.8
NAME,53.8,53.9
OR,53.9,54.8
SOMETHING,54.8,55.1
