SO,1.0,1.4
THE,1.4,1.8
EPISODE,1.8,2.6
STARTS,2.6,3.4
WITH,3.4,4.4
ON,4.4,5.4
THE,5.4,6.0
MAIN,6.0,6.2
CHARACTER,6.2,6.7
AND,6.7,7.4
HIS,7.4,7.9
COUSIN,7.9,8.6
OR,8.6,10.0
PAPER BOY,10.0,11.3
IN,11.3,11.5
A,11.5,11.6
CAR,11.6,12.0
AND,12.0,13.1
SOMEONE,13.1,13.4
KNOCKS,13.4,14.5
THAT,14.5,15.4
WHAT,15.4,16.2
ARE,16.2,16.3
THE,16.3,16.4
SIDE,16.4,16.8
MIRRORS,16.8,16.8
OF,16.8,17.2
A,17.2,17.3
CAR,17.3,17.6
OVER,17.6,17.8
TO,17.8,18.6
EARN,18.6,18.8
BRUSHES,18.8,19.3
OUT,19.3,19.3
OF,19.3,19.5
THE,19.5,19.6
CAR,19.6,19.9
WASHES,19.9,21.3
OUT,21.3,21.6
OF,21.6,21.7
THE,21.7,21.8
CAR,21.8,22.1
AND,22.1,22.3
TRIED,22.3,22.6
TO,22.6,22.6
TELL,22.6,22.8
HIM,22.8,23.0
NOT,23.0,23.2
TO,23.2,23.3
TAKE,23.3,23.6
THE,23.6,24.5
MONEY,24.5,24.8
AND,24.8,25.8
NOT,25.8,25.9
TOUCH,25.9,26.2
THE,26.2,26.4
MONEY,26.4,26.6
AND,26.6,28.3
THEN,28.3,28.4
BUT,28.4,29.1
ANYWAYS,29.1,31.4
AN,31.4,31.6
EARN,31.6,31.8
FOLLOWS,31.8,32.3
HAVE,32.3,32.7
A,32.7,33.3
TALK,33.3,33.9
TO,33.9,34.0
THIS,34.0,34.3
GUY,34.3,34.7
AND,34.7,35.3
THIS,35.3,35.6
GIRL,35.6,36.1
AND,36.1,37.7
THEN,37.7,38.1
THEY,38.1,38.3
REVEAL,38.3,38.6
THAT,38.6,38.8
ALIENS,38.8,39.0
ACTUALLY,39.0,39.6
PAPER BOY,39.6,40.0
THIS,40.0,40.3
NEW,40.3,40.5
RAPPERS,40.5,41.1
CAME,41.1,41.2
OUT,41.2,41.4
WITH,41.4,41.6
THE,41.6,41.7
SONG,41.7,41.7
EVERYONE'S,41.7,42.5
REALLY,42.5,42.7
INTO,42.7,43.1
AT,43.1,43.4
SINGING,43.4,43.9
AND,43.9,45.8
THEN,45.8,46.1
EASIER,47.2,47.8
GUNSHOT,47.8,48.5
AND,48.5,48.7
THE,48.7,48.9
SCREEN,48.9,49.7
GOES,49.7,49.7
BLACK,49.7,50.4
AND,50.4,50.9
THEN,50.9,51.1
YOU,51.1,51.6
SEE,51.6,51.9
STANDING,53.7,55.2
OVER,55.2,55.5
THE,55.5,55.7
CITY,55.7,55.9
OF,55.9,56.0
ATLANTA,56.0,56.5
NEIGHBORHOODS,56.5,57.9
SUPER,57.9,58.7
NICE,58.7,58.9
HOUSES,58.9,59.6
AND,0.0,0.4
THAT,0.4,0.5
ARE,0.5,0.7000000000000001
NOT,0.7000000000000001,0.9
TOO,0.9,1.2
NICE,1.2,1.3
NEIGHBORHOOD,1.3,2.1
MORE,2.1,2.8
RUN-DOWN,2.8,3.1
BEAT,3.1,3.7
UP,3.7,3.9
HOUSES,3.9,4.4
AND,4.4,6.0
THEN,6.0,6.2
THAT,6.2,6.4
WORKS,6.4,6.7
ATLANTA,6.7,7.0
FLASH,7.0,7.5
CROSS,7.5,7.8
THE,7.8,8.0
SCREEN,8.0,8.4
AND,8.4,8.8
BIG,8.8,9.6
RED,9.6,9.9
SPONGE,9.9,10.5
AND,10.5,11.9
THEN,11.9,12.3
YOU,12.3,12.5
SEE,12.5,12.7
A,12.7,13.0
HERNANDEZ,13.0,13.8
CRAWL,13.8,14.2
IN,14.2,14.3
BED,14.3,14.8
AND,14.8,16.0
HAS,16.0,16.7
IPHONES,16.7,17.6
ON,17.6,17.8
BLACK,17.8,18.0
HEADPHONES,18.0,18.4
AND,18.4,19.0
HE'S,19.0,19.2
HE'S,19.2,19.9
LISTENING,19.9,20.2
TO,20.2,20.4
MUSIC,20.4,20.9
AND,20.9,22.3
THEN,22.3,22.8
THE,22.8,22.9
GIRL,22.9,23.1
WAKES,23.1,23.3
UP,23.3,23.6
LIKE,23.6,24.4
WHY,24.4,24.6
ARE,24.6,24.7
YOU,24.7,24.8
UP,24.8,25.2
ABBY,25.2,26.5
TAKES,26.5,26.8
OFF,26.8,26.9
THE,26.9,27.0
HEADPHONES,27.0,27.9
THEY,27.9,28.8
START,28.8,29.0
KISSING,29.0,29.3
AND,29.3,29.9
SHE'S,29.9,30.5
LIKE,30.5,30.7
TELL,30.7,31.0
ME,31.0,31.0
YOU,31.0,31.2
LOVE,31.2,31.5
ME,31.5,31.6
AND,31.6,32.4
STARTS,32.4,32.9
LAUGHING,32.9,33.0
AND,33.0,34.1
SHE,34.1,34.6
IS,34.6,34.8
KIND,34.8,35.0
OF,35.0,35.1
PUSHES,35.1,35.3
HIM,35.3,35.6
OFF,35.6,35.8
AND,35.8,37.1
SAYS,37.1,37.6
WHY,37.6,38.1
YOU,38.1,38.2
ALWAYS,38.2,38.6
LAUGH,38.6,39.1
WHEN,39.1,39.2
I,39.2,39.4
WHEN,39.4,40.4
I,40.4,40.5
ASKED,40.5,40.8
YOU,40.8,41.0
THAT,41.0,41.0
HE,41.0,41.4
WAS,41.4,41.5
LIKE,41.5,41.6
I,41.6,41.8
LOVE,41.8,42.1
YOU,42.1,42.2
SHE'S,42.2,42.7
LIKE,42.7,42.8
NOW,42.8,43.2
AND,43.2,44.0
SHE,44.0,44.2
GOT,44.2,44.6
OUT,44.6,45.2
OF,45.2,45.3
BED,45.3,45.5
AND,45.5,46.3
THEN,46.3,46.4
SHE,46.4,46.6
GOES,46.6,46.8
TO,46.8,47.0
THE,47.0,47.1
BATHROOM,47.1,48.4
SHE'S,48.4,49.4
WRITING,49.4,49.6
A,49.6,49.6
BIG,49.6,49.8
T-SHIRT,49.8,50.1
AND,50.1,51.1
EARN,51.1,51.4
GOES,51.4,51.6
INTO,51.6,52.0
A,52.0,52.2
LITTLE,52.2,52.7
GIRLS,52.7,53.1
ROOM,53.1,53.2
LODI,53.2,53.8
WHO,53.8,54.3
HAPPENS,54.3,54.8
TO,54.8,54.8
BE,54.8,54.9
THEIR,54.9,55.1
DAUGHTER,55.1,55.5
AND,55.5,57.1
THEN,57.1,57.9
WHO'S,57.9,58.5
THE,58.5,58.7
GIRL,58.7,59.0
AND,0.0,1.7000000000000002
THE,1.7000000000000002,1.8
MOTHER,1.8,2.0
OF,2.0,2.3
LODI,2.3,2.9
TEACHER,2.9,6.5
CONFERENCES,6.5,6.9
AT,6.9,7.2
SCHOOL,7.2,7.7
AND,7.7,8.3
I,8.3,8.4
WON'T,8.4,8.6
BE,8.6,8.7
BACK,8.7,8.7
UNTIL,8.7,9.2
LIKE,9.2,9.4
TEN THIRTY,9.4,9.8
AND,9.8,10.9
WHAT,10.9,12.2
ARE,12.2,12.3
YOU,12.3,12.3
GOING,12.3,12.4
TO,12.4,12.5
BE,12.5,12.6
DOING,12.6,12.7
WITH,12.7,12.9
THE,12.9,13.0
PARENTS,13.0,13.6
THAT,13.6,13.8
YOU'RE,13.8,14.1
GOING,14.1,14.2
TO,14.2,14.3
BE,14.3,14.3
OUT,14.3,14.7
FOR,14.7,14.8
SO,14.8,15.1
LONG,15.1,15.3
AND,15.3,16.2
HE,16.2,16.4
SAYS,16.4,16.6
WE'LL,16.6,16.7
ACTUALLY,16.7,17.1
HAVE,17.1,17.4
A,17.4,17.6
DATE,17.6,17.8
SO,17.8,19.7
HE,19.7,19.9
HAS,19.9,24.0
EARNED,24.0,25.5
SERIOUSLY,25.5,26.0
I,26.0,26.2
DON'T,26.2,26.4
WANT,26.4,27.0
HER,27.0,27.2
AT,27.2,27.4
YOUR,27.4,27.9
MOM'S,27.9,27.9
HOUSE,27.9,28.5
AGAIN,28.5,28.6
CAN,28.6,29.5
YOU,29.5,29.5
PLEASE,29.5,29.8
GET,29.8,30.0
HER,30.0,30.0
AND,30.0,30.4
HE'S,30.4,30.5
LIKE,30.5,30.7
YEAH,30.7,30.8
YEAH,30.8,30.9
I'LL,30.9,32.7
GET,32.7,32.9
HER,32.9,33.1
AND,33.1,33.7
THEN,33.7,33.8
SHE,33.8,34.0
OR,34.0,34.6
BEFORE,34.6,34.9
THAT,34.9,35.0
SHE'S,35.0,35.3
LIKE,35.3,35.5
I,35.5,35.5
THOUGHT,35.5,35.7
YOU,35.7,35.8
KNOW,35.8,35.9
THAT,35.9,37.1
IT'S,37.1,37.2
YOUR,37.2,37.4
TURN,37.4,37.6
TODAY,37.6,37.9
AND,37.9,38.4
HE,38.4,38.5
SAID,38.5,38.6
YEAH,38.6,38.9
I,38.9,39.0
DO,39.0,39.1
BUT,39.1,39.5
I,39.5,39.6
KNOW,39.6,40.8
I,40.8,40.9
DIDN'T,40.9,41.2
REMEMBER,41.2,41.3
IT,41.3,43.4
