WORD,LENGTH,SIZE,CATEGORY
OHIO,4,large,STATES
CALIFORNIA,10,large,STATES
PENNSYLVANIA,12,large,STATES
FLORIDA,7,large,STATES
MICHIGAN,8,large,STATES
INDIANA,7,large,STATES
ILLINOIS,8,large,STATES
TEXAS,5,large,STATES
MARYLAND,8,large,STATES
VIRGINIA,8,large,STATES
MAINE,5,large,STATES
KENTUCKY,8,large,STATES
CONNECTICUT,11,large,STATES
ALASKA,6,large,STATES
ARKANSAS,8,large,STATES
VERMONT,7,large,STATES
COLORADO,8,large,STATES
DELAWARE,8,large,STATES
OREGON,6,large,STATES
MONTANA,7,large,STATES
HAWAII,6,large,STATES
WYOMING,7,large,STATES
UTAH,4,large,STATES
ARIZONA,7,large,STATES
IOWA,4,large,STATES
OKLAHOMA,8,large,STATES
MISSOURI,8,large,STATES
KANSAS,6,large,STATES
WISCONSIN,9,large,STATES
ALABAMA,7,large,STATES
NEBRASKA,8,large,STATES
GEORGIA,7,large,STATES
