WORD,LENGTH,SIZE,CATEGORY
CHICAGO,7,large,CITIES
HELSINKI,8,large,CITIES
TORONTO,7,large,CITIES
LONDON,6,large,CITIES
PARIS,5,large,CITIES
MIAMI,5,large,CITIES
BOSTON,6,large,CITIES
PHILADELPHIA,12,large,CITIES
DETROIT,7,large,CITIES
DALLAS,6,large,CITIES
ROME,4,large,CITIES
BOMBAY,6,large,CITIES
CLEVELAND,9,large,CITIES
PITTSBURGH,10,large,CITIES
DENVER,6,large,CITIES
MONTREAL,8,large,CITIES
TOKYO,5,large,CITIES
MOSCOW,6,large,CITIES
ATLANTA,7,large,CITIES
BERLIN,6,large,CITIES
STOCKHOLM,9,large,CITIES
JERUSALEM,9,large,CITIES
CAIRO,5,large,CITIES
VANCOUVER,9,large,CITIES
RENO,4,large,CITIES
MADRID,6,large,CITIES
MEMPHIS,7,large,CITIES
SHANGHAI,8,large,CITIES
COPENHAGEN,10,large,CITIES
NAPLES,6,large,CITIES
BRUSSELS,8,large,CITIES
VENICE,6,large,CITIES
