WORD,LENGTH,SIZE,CATEGORY
CARROT,6,small,VEGETABLES
PEA,3,small,VEGETABLES
BEAN,4,small,VEGETABLES
CORN,4,small,VEGETABLES
ZUCCHINI,8,small,VEGETABLES
POTATO,6,small,VEGETABLES
LETTUCE,7,small,VEGETABLES
SPINACH,7,small,VEGETABLES
BEET,4,small,VEGETABLES
BROCCOLI,8,small,VEGETABLES
CELERY,6,small,VEGETABLES
ASPARAGUS,9,small,VEGETABLES
YAMS,4,small,VEGETABLES
TURNIP,6,small,VEGETABLES
GREENBEANS,10,small,VEGETABLES
CABBAGE,7,small,VEGETABLES
CAULIFLOWER,11,small,VEGETABLES
WATERCRESS,10,small,VEGETABLES
LIMABEAN,8,small,VEGETABLES
RADISH,6,small,VEGETABLES
STRINGBEAN,10,small,VEGETABLES
CUCUMBER,8,small,VEGETABLES
ARTICHOKE,9,small,VEGETABLES
RUTABAGA,8,small,VEGETABLES
RHUBARB,7,small,VEGETABLES
WAXBEANS,8,small,VEGETABLES
CHARD,5,small,VEGETABLES
EGGPLANT,8,small,VEGETABLES
PUMPKIN,7,large,VEGETABLES
KOLRABI,7,small,VEGETABLES
ONION,5,small,VEGETABLES
OKRA,4,small,VEGETABLES
